 	c'	est	l'	amant	de	sa	fille	qu'	il	a	battu	hier	</S>
é	0.689608	0.221546	0.0534552	0.00291357	0.00971656	0.0165688	0.00143311	0.0014521	0.00120531	0.00105644	0.000989002	4.83709e-05	7.31485e-06
d	0.125527	0.752658	0.0608241	0.0433661	0.00423923	0.00216119	0.00321452	0.000891612	0.00103479	0.00147507	0.00316324	0.00122994	0.000214883
i	0.213705	0.651275	0.0957791	0.0227928	0.00560653	0.00221682	0.00145779	0.000432089	0.000481303	0.000717558	0.000558204	3.31563e-05	0.00494413
a	0.138755	0.311754	0.32562	0.0522798	0.0269721	0.0112165	0.00974988	0.0038779	0.00289104	0.00561127	0.00340797	0.00144135	0.106423
k	0.0437524	0.131057	0.577447	0.152114	0.0245832	0.00989616	0.00783254	0.00401209	0.00773599	0.0141159	0.0138824	0.00300612	0.0105649
á	0.00214071	0.00963827	0.019621	0.874562	0.0529988	0.00391259	0.00218929	0.0045129	0.00718821	0.00728755	0.00566445	0.000572248	0.00971174
n	0.0090296	0.044107	0.0348906	0.695529	0.059104	0.00795608	0.00683305	0.0192543	0.0438068	0.0282972	0.0168122	0.00183713	0.0325431
g	0.174977	0.101789	0.0814866	0.505546	0.0233665	0.0128521	0.00243819	0.0115762	0.0177954	0.0193458	0.0300642	0.000514656	0.018248
e	0.331066	0.218897	0.15191	0.191784	0.0144785	0.0391809	0.0218207	0.00946398	0.00426555	0.00340533	0.0048406	0.000116607	0.00877056
m	0.138341	0.0941763	0.435493	0.125912	0.0634523	0.0181066	0.00598424	0.0216931	0.0157795	0.018634	0.0134049	0.00170834	0.0473142
á	0.361234	0.0911007	0.146579	0.0514955	0.128267	0.0468114	0.134414	0.0198252	0.00648105	0.00264756	0.0036253	5.63206e-05	0.00746125
m	0.0556602	0.0280261	0.118506	0.191176	0.308042	0.0805366	0.100704	0.0298654	0.0325564	0.0184385	0.0119408	0.0037366	0.0208109
w	0.00694786	0.00853219	0.010369	0.00571581	0.0569603	0.0293269	0.862096	0.00660326	0.00239581	0.00150589	0.00291445	7.48759e-05	0.00655721
á	0.00069536	0.000718041	0.00123161	0.00825432	0.0353504	0.0130444	0.929097	0.00454844	0.00238704	0.000981822	0.000894705	0.000285291	0.00251202
n	0.0836437	0.00774229	0.0276791	0.0288342	0.0591431	0.0541948	0.684179	0.018241	0.0124711	0.00602439	0.00944612	0.00013423	0.0082667
a	0.0425147	0.0241481	0.0602656	0.026334	0.0195881	0.0608121	0.672327	0.0222587	0.0208078	0.00991553	0.0241068	7.33325e-05	0.0168476
y	0.0405345	0.0307854	0.224023	0.12906	0.234812	0.219517	0.0293386	0.0346895	0.0211327	0.0153783	0.0107113	0.00148233	0.00853556
a	0.0216786	0.0182405	0.0809694	0.0479589	0.375555	0.297727	0.0556649	0.0527382	0.0131526	0.0058863	0.00415872	0.0108033	0.0154671
w	0.00461744	0.00339779	0.0214881	0.0107918	0.290286	0.489434	0.0434461	0.0852667	0.0260204	0.00995902	0.00609296	0.00263981	0.00656012
a	0.00674653	0.00911391	0.0313848	0.0400692	0.425758	0.158854	0.0186201	0.0877087	0.0942016	0.0567864	0.0309709	0.00381246	0.0359729
y	0.00137432	0.00134662	0.0112566	0.0117819	0.348372	0.151185	0.0282302	0.130021	0.0832901	0.0706644	0.0400217	0.0106209	0.111835
a	0.00853101	0.00913	0.0205553	0.0148539	0.280066	0.483094	0.0569538	0.0797833	0.0168996	0.00792531	0.00534066	0.00658491	0.0102821
o	0.00453246	0.00173107	0.0147794	0.0031291	0.0760624	0.222337	0.0308572	0.385539	0.159655	0.0566481	0.019226	0.00421614	0.0212868
y	0.00303371	0.0321176	0.0355108	0.138408	0.125043	0.12059	0.109323	0.0947272	0.0958393	0.0796813	0.0246212	0.111748	0.0293569
ú	0.00291168	0.0111686	0.0276636	0.0294404	0.0906591	0.456654	0.154162	0.0571948	0.0356897	0.0380783	0.0160056	0.0166292	0.0637429
r	0.00237592	0.00287296	0.0160006	0.0106427	0.110042	0.565961	0.0749643	0.0567807	0.0308165	0.026475	0.0167976	0.00338451	0.0828865
u	0.00109414	0.000739032	0.0185683	0.0347007	0.154796	0.382102	0.0309444	0.107516	0.117217	0.0593847	0.0559528	0.00467113	0.0323143
m	0.000311385	0.000224307	0.00231584	0.00179464	0.0211971	0.0626435	0.0114484	0.386495	0.283187	0.145742	0.0542006	0.00533186	0.0251086
