 	les	champignons	de	savane	qu'	ils	vendent	sont	pourris	</S>
a	0.933605	0.0346599	0.0242289	0.00308478	0.00245259	0.00132496	0.000106111	0.000486428	3.3424e-05	1.76675e-05
k	0.150361	0.827115	0.0136644	0.00703895	0.000260121	7.23622e-05	7.24596e-05	0.000439297	0.000737992	0.000238998
ó	0.0235214	0.94222	0.00384163	0.0265649	0.000383595	0.000336336	0.0004471	7.8493e-05	0.00219055	0.000416365
o	0.00374565	0.969049	0.00610055	0.0170595	0.000287925	0.000111947	0.000121438	0.000142089	0.000717057	0.0026649
m	0.19811	0.0715534	0.634023	0.0435679	0.0295082	0.00230672	0.00355566	0.00708253	7.54133e-05	0.0102175
á	0.203438	0.0497677	0.144391	0.131774	0.367712	0.0428894	0.00392574	0.0191279	0.00372733	0.0332465
á	0.201568	0.00987711	0.103301	0.365103	0.100529	0.195641	0.0103351	0.00376682	0.00107147	0.00880829
k	0.0340298	0.018918	0.168968	0.397159	0.066546	0.164648	0.0608301	0.0434623	0.00550222	0.0399369
i	0.00242337	0.0268309	0.0436942	0.714405	0.0309203	0.0650949	0.0948204	0.00501558	0.00466357	0.0121323
r	0.0161262	0.072169	0.121657	0.458623	0.0339884	0.219869	0.0455375	0.00270516	0.00658987	0.0227344
á	0.0179011	0.0626091	0.0786601	0.605815	0.122971	0.0399588	0.00798219	0.00242172	0.00359205	0.0580899
b	0.00353809	0.000635447	0.0675075	0.092604	0.406596	0.323681	0.0585334	0.0231735	0.00571191	0.0180191
á	0.00383348	0.000184159	0.00264471	0.00518628	0.0210816	0.887048	0.0764523	0.000334178	0.00314581	8.92202e-05
a	0.00227567	4.08882e-05	0.00446956	0.00509907	0.0628759	0.702088	0.218938	0.00114209	0.00198205	0.00108817
á	0.00197446	0.00646095	0.0260369	0.0949282	0.0277646	0.0502696	0.499581	0.162552	0.0665306	0.0639018
m	0.0121513	0.0170996	0.0387318	0.0192141	0.0107069	0.00607376	0.12638	0.589504	0.0861701	0.0939683
i	0.00649772	0.00314715	0.028591	0.00959916	0.0197957	0.0105664	0.0349726	0.501656	0.196109	0.189066
b	0.00139688	0.00353135	0.00516076	0.0110886	0.00303783	0.00271598	0.0443673	0.157248	0.611187	0.160266
ω	7.73521e-05	0.000913726	0.000177359	0.000290875	0.00011159	0.000218334	0.00918548	0.00258432	0.983499	0.00294216
ω	3.14301e-05	0.000656679	0.000435408	0.0030557	0.000561462	0.00102863	0.0289397	0.00896326	0.938789	0.0175385
</S>	0.00787884	0.00106189	0.0217079	0.0105942	0.0471226	0.00539719	0.0216457	0.695531	0.0697854	0.119275
