 	la	tortue	a	double	carapace	</S>
k	0.401847	0.58119	0.0159727	0.000749495	0.000192212	4.79437e-05
ú	0.0609882	0.930663	0.00659371	0.000735023	0.000772036	0.000247509
s	0.0241948	0.886221	0.060091	0.0120911	0.00453512	0.012867
u	0.15907	0.797216	0.0233044	0.00852934	0.00773988	0.00414037
a	0.301648	0.138492	0.534008	0.0133382	0.000855821	0.0116576
d	0.133812	0.0362206	0.577319	0.0648265	0.0077124	0.180109
i	0.0898852	0.00824539	0.627017	0.169025	8.75592e-05	0.10574
p	0.200236	0.0107055	0.203999	0.301155	0.0233786	0.260526
é	0.041584	0.0187525	0.102254	0.534775	0.202903	0.0997304
e	0.00822371	0.00462872	0.122415	0.562733	0.0947962	0.207204
p	0.0201011	0.00476062	0.0634431	0.562661	0.186366	0.162668
a	0.00694638	0.0041965	0.0106712	0.265194	0.579325	0.133667
a	0.00130853	0.00300563	0.011426	0.227904	0.5339	0.222455
p	0.0204541	0.00543851	0.0268055	0.14017	0.292015	0.515117
é	0.00316814	0.00176306	0.00307521	0.108231	0.651069	0.232694
e	0.000966821	0.00105615	0.00370494	0.100194	0.557006	0.337072
p	0.010865	0.00343393	0.00934265	0.0412596	0.122796	0.812303
a	0.00436633	0.00455892	0.00317728	0.0603258	0.619265	0.308307
a	0.00163539	0.00142268	0.00155053	0.0274478	0.380104	0.58784
</S>	0.0321057	0.0101155	0.0215116	0.044865	0.0344777	0.856924
