 	je	l'	ai	accusé	de	vol	au	tribunal	</S>
n	0.84736	0.130024	0.0176327	0.00153252	0.00106366	0.000461152	0.00178875	0.000113521	2.40757e-05
g	0.977061	0.0202536	0.00158952	6.74723e-05	0.000148571	7.02027e-05	0.000320115	0.000481571	7.59724e-06
á	0.797207	0.166126	0.0238253	0.00165097	0.00112791	0.000300097	0.0008842	0.00883136	4.72829e-05
í	0.118413	0.479146	0.28263	0.0311367	0.0142157	0.00472732	0.00641731	0.0199873	0.0433268
t	0.0281291	0.146505	0.413698	0.366428	0.0187239	0.00993563	0.00212334	0.00427042	0.0101867
έ	0.0003606	0.039432	0.220754	0.671303	0.0294882	0.0263342	0.00262701	0.00143099	0.00827054
ε	0.031197	0.156913	0.224472	0.392844	0.0880307	0.0586643	0.0226605	0.00676467	0.0184542
w	0.0655885	0.137284	0.354616	0.0803309	0.270095	0.0485161	0.0279857	0.00601163	0.00957252
a	0.00434344	0.0378266	0.0778501	0.336383	0.362527	0.142286	0.0215649	0.00565742	0.0115621
y	0.0095856	0.030248	0.0527568	0.0313152	0.488036	0.284821	0.0636953	0.0111587	0.0283832
í	0.001441	0.0250206	0.0315054	0.190665	0.441456	0.172098	0.0807984	0.0340688	0.0229467
b	0.0331593	0.0407852	0.0456401	0.0192717	0.251332	0.207705	0.195754	0.17889	0.0274615
h	0.0148674	0.00910215	0.0471094	0.0340522	0.225817	0.495921	0.0996805	0.0421415	0.0313086
a	0.00162595	0.00727548	0.0294373	0.0571931	0.172617	0.465259	0.10647	0.0127032	0.147418
ó	7.96898e-05	0.00108537	0.00504223	0.017377	0.179188	0.46702	0.277351	0.013979	0.0388785
m	0.000245762	0.00205579	0.00378557	0.00683253	0.0548929	0.232104	0.345593	0.301831	0.0526592
í	0.000813994	0.0056205	0.00235211	0.00122809	0.0438151	0.0435451	0.141734	0.353587	0.407304
s	0.000339566	0.00446957	0.00362865	0.0024901	0.0253429	0.070254	0.170936	0.593512	0.129027
i	0.000398984	0.000661648	0.000245822	9.85168e-05	0.00181096	0.00882537	0.0131577	0.950543	0.0242579
m	5.37664e-05	0.000397786	0.000537193	0.000308821	0.00557931	0.0350636	0.0553503	0.705218	0.197491
á	0.000457051	0.00303519	0.00193429	0.000875247	0.0344458	0.0231362	0.083151	0.498294	0.354671
a	0.00320528	0.00484651	0.00373395	0.00262061	0.0125822	0.026117	0.0940218	0.585948	0.266925
k	0.00161946	0.003561	0.0059454	0.0105461	0.0218226	0.0778565	0.097401	0.581519	0.199728
á	0.000488853	0.00216244	0.00802362	0.0697512	0.0540274	0.266925	0.158109	0.0733225	0.367189
n	0.00246125	0.00303456	0.00546425	0.00870644	0.0388152	0.406038	0.1052	0.0538132	0.376467
i	0.000994005	0.000475182	0.00131212	0.0164711	0.0147545	0.120332	0.0639839	0.305694	0.475983
</S>	0.00277169	0.00371775	0.00695265	0.00583442	0.019842	0.0582123	0.159663	0.186808	0.556198
