 	le	vent	bombe	la	toile	</S>
ω	0.873441	0.124247	0.000230685	0.00102949	0.000957706	9.3705e-05
p	0.0115936	0.982079	0.00406242	0.000590133	0.00147936	0.00019571
ε	0.00286867	0.986181	0.00565228	0.000189962	0.00444193	0.000665776
p	0.0477469	0.892829	0.00721505	0.00412433	0.0138743	0.0342108
ε	0.611586	0.321153	0.0295237	0.00354428	0.00895571	0.0252368
ó	0.686856	0.084846	0.0500855	0.0881763	0.00306228	0.0869743
n	0.0103128	0.0132991	0.851361	0.0842715	0.00718214	0.0335738
y	0.0141806	0.000887175	0.869992	0.0956135	0.00060839	0.0187182
á	0.00609842	0.00751279	0.955555	0.0244592	0.00199976	0.00437473
l	0.0307985	0.0255889	0.557193	0.274388	0.00753774	0.104494
í	0.0270311	0.00845546	0.506034	0.339545	0.0252936	0.0936412
ω	0.0353095	0.00159589	0.0644922	0.847915	0.0106803	0.040007
k	0.00134116	0.00535937	0.142844	0.36831	0.458865	0.0232809
á	5.80921e-05	0.00211257	0.00374487	0.00479786	0.981314	0.00797205
n	0.000550261	0.00315492	0.0602297	0.0136935	0.813592	0.108779
d	0.00194067	0.0125022	0.201916	0.314679	0.312756	0.156207
á	0.00229742	0.00377197	0.429015	0.158509	0.158256	0.248151
</S>	0.0075524	0.00204354	0.00847851	0.258885	0.202824	0.520216
