 	dans	ce	village	on	ne	veut	plus	de	cette	femme	parce	qu'	elle	est	trop	arrogante	</S>
s	0.323396	0.375237	0.229139	0.0457232	0.00350837	0.000258689	0.00696115	0.00490349	0.00409103	0.000457793	0.00122631	0.00315045	0.000823006	0.000453894	0.000548748	0.000104064	1.80633e-05
á	0.193461	0.459928	0.287272	0.00784605	0.00703153	0.000295798	0.00479406	0.00496524	0.0102924	0.00882987	0.00306339	0.00267932	0.00106646	0.00215002	0.002906	0.000449612	0.00296884
p	0.0557251	0.322562	0.593749	0.0045933	0.00254975	0.000567559	0.000994695	0.00141666	0.0047431	0.00903843	0.00172156	0.00146838	0.000316204	0.000155834	0.000143089	0.00010112	0.00015418
o	0.00436328	0.0343574	0.907544	0.00391935	0.00130509	0.000583589	0.00296224	0.00277654	0.000897867	0.00437471	0.0223507	0.00233332	0.00672474	0.000866763	0.000499267	0.000984404	0.00315623
o	0.0137346	0.0426213	0.918994	0.00611454	0.0045134	0.0037307	0.00199046	0.00122137	0.000739908	0.00189209	0.00203287	0.000427816	0.0010602	0.000212181	0.000141294	8.11898e-05	0.000491628
y	0.298879	0.220017	0.0374364	0.228092	0.141852	0.0140173	0.0139745	0.00646056	0.00641364	0.00364677	0.00213044	0.00408162	0.00458585	0.00455961	0.00218481	0.000383317	0.0112855
é	0.156513	0.228129	0.078795	0.249981	0.123368	0.0287623	0.0150925	0.0118236	0.0285598	0.0135537	0.00766721	0.0181687	0.00951826	0.0111798	0.0102257	0.000259006	0.00840278
á	0.1215	0.152262	0.044598	0.391651	0.0739204	0.0100114	0.0163248	0.015005	0.0359463	0.00710298	0.0102265	0.0517008	0.0140615	0.012951	0.0115414	0.00262984	0.0285662
b	0.0426202	0.0225651	0.0127901	0.159528	0.233323	0.370707	0.0366551	0.01697	0.00727028	0.0128044	0.00510263	0.00280865	0.00799563	0.0195018	0.0181064	0.00297563	0.0282761
h	0.0179208	0.0160563	0.00164872	0.25811	0.236415	0.197193	0.110402	0.0680381	0.011915	0.00389964	0.0111417	0.00652305	0.0179536	0.0176976	0.00555436	0.00393745	0.0155929
i	0.0786464	0.0727452	0.00587227	0.244886	0.149414	0.164867	0.154594	0.0612806	0.00869874	0.00108123	0.0116004	0.00306132	0.0129814	0.00907904	0.00511341	0.00207232	0.0140063
i	0.0450179	0.0483075	0.0200688	0.311289	0.139802	0.0797229	0.119874	0.0415318	0.0209918	0.00613022	0.020478	0.0173693	0.0161693	0.0133932	0.00534215	0.0122463	0.0822665
k	0.0140008	0.00980506	0.00589662	0.199223	0.17142	0.105471	0.192947	0.0700405	0.0166426	0.0103797	0.0210391	0.0159614	0.0228562	0.0179171	0.0105414	0.0230887	0.0927692
á	0.00269453	0.00507225	0.00220046	0.0405051	0.0477085	0.327827	0.245944	0.0780362	0.00721445	0.00336299	0.0983292	0.00676824	0.0324713	0.0136307	0.00653387	0.0416085	0.0400933
m	0.00320562	0.0040974	0.00744705	0.0502888	0.0161808	0.596192	0.125918	0.047018	0.00385336	0.00490463	0.0455415	0.00917549	0.0183544	0.00836993	0.00577778	0.0104739	0.0432012
b	0.0270142	0.00981279	0.000281817	0.0414507	0.0965371	0.0655209	0.274413	0.271022	0.126181	0.0206735	0.0217502	0.0145642	0.0104148	0.00442999	0.00125181	0.00113854	0.0135436
í	0.0707365	0.0267355	0.00481765	0.0389292	0.122181	0.0514777	0.181566	0.195924	0.0399667	0.0180424	0.0681866	0.0371654	0.0420488	0.00756969	0.002783	0.0042427	0.0876276
m	0.00742813	0.00575488	0.0021698	0.0559697	0.0594126	0.0259943	0.247134	0.183365	0.181913	0.0560926	0.0348216	0.0652991	0.0293666	0.0114992	0.00488216	0.00221264	0.026685
ó	0.0171844	0.0123435	0.000762049	0.0199729	0.0391937	0.00816201	0.115778	0.308373	0.112283	0.147356	0.0662799	0.0369521	0.049702	0.014335	0.00279057	0.000681353	0.0478514
y	0.00476501	0.0090576	0.00183051	0.0183249	0.0266453	0.00672226	0.121206	0.188529	0.135217	0.144565	0.228571	0.041253	0.0375442	0.00807647	0.00418833	0.0156363	0.00786674
ú	0.00556686	0.00724509	0.000406343	0.00316749	0.0170486	0.055728	0.0400274	0.0637605	0.236094	0.431435	0.0911171	0.0227602	0.00655049	0.00597884	0.00578753	0.000780869	0.00654587
r	0.0121318	0.00750798	0.000110755	0.00429401	0.0260903	0.0466502	0.110972	0.140797	0.332375	0.15688	0.0635799	0.0270564	0.0108095	0.00900544	0.00823273	0.00211106	0.0413969
u	0.00270393	0.00419915	9.5716e-05	0.00516997	0.0324615	0.00658395	0.122327	0.180638	0.285813	0.152805	0.105689	0.0449021	0.012398	0.0104511	0.00586531	0.00250356	0.0253939
w	0.000534648	0.000762401	0.000130756	0.0107204	0.0253102	0.00635475	0.0777596	0.106519	0.224991	0.0992595	0.0775451	0.221547	0.0793868	0.0400367	0.0143221	0.00145733	0.0133626
ó	0.002362	0.00903397	0.00366025	0.0262741	0.0236554	0.00397993	0.0851991	0.0815346	0.0657381	0.0180559	0.252833	0.146732	0.17719	0.0426579	0.0283379	0.00429693	0.0284584
k	0.000669285	0.000752998	0.000589554	0.00307821	0.00460648	0.00102947	0.0333445	0.0600749	0.0879156	0.0706407	0.155578	0.194612	0.243073	0.0766979	0.0310415	0.00369928	0.0325961
a	0.00049682	0.00161928	0.000841282	0.00235442	0.00216955	0.00396189	0.107624	0.149924	0.0276139	0.0176432	0.406649	0.0269615	0.155366	0.0266203	0.0129008	0.0322864	0.024968
á	0.000371163	0.000810282	0.000946721	0.00163824	0.000942863	0.00639809	0.0355677	0.0438614	0.011392	0.0262018	0.419759	0.0602491	0.210014	0.0712031	0.0228637	0.0229598	0.0648203
t	0.000898145	0.000629862	0.000300201	0.00620926	0.00397438	0.00131845	0.00864653	0.0175193	0.0331277	0.0596173	0.0620009	0.295469	0.208443	0.173855	0.0841942	0.005063	0.0387337
s	0.000531998	0.00262556	0.00242243	0.00229265	0.00175078	0.00134912	0.0286339	0.040826	0.0490027	0.0131327	0.30055	0.0502699	0.230439	0.0923507	0.0997172	0.0321651	0.0519405
í	0.000133471	0.000217283	0.000256814	0.000461648	0.00021731	0.00126865	0.0143821	0.0339905	0.0203983	0.0039153	0.350589	0.12057	0.223163	0.0913903	0.0742951	0.028545	0.0362075
n	0.00223386	0.00324457	0.000481183	0.00555763	0.00135644	0.00227045	0.0263836	0.0403268	0.0320079	0.00611552	0.261452	0.176631	0.196664	0.111247	0.0606358	0.0324526	0.0409398
a	0.0107239	0.0114589	0.000969041	0.00159471	0.00151828	0.00052363	0.0120652	0.0308575	0.0605818	0.0441685	0.262341	0.128882	0.135362	0.0473545	0.0253939	0.0370015	0.189204
w	0.000371962	0.000556375	0.000154182	0.00190369	0.00196736	0.000360772	0.0063499	0.0128396	0.042561	0.0358309	0.0655718	0.177638	0.198502	0.242526	0.172307	0.00629463	0.0342653
a	0.00241476	0.0056104	0.00100584	0.00681908	0.00339969	0.000693779	0.0182818	0.0330139	0.0563096	0.0144039	0.169934	0.184369	0.248408	0.105519	0.0978018	0.00567988	0.0463359
a	0.000620472	0.00189457	0.000654503	0.00153268	0.000953989	0.000192598	0.00542589	0.00949419	0.0320425	0.00938107	0.0547199	0.179424	0.199861	0.209169	0.187529	0.0159905	0.0911141
p	0.00361211	0.00209105	0.000113861	0.00301028	0.0106478	0.00607276	0.00952055	0.00689932	0.00709764	0.00544932	0.00547155	0.0118186	0.0469887	0.309791	0.419933	0.0200724	0.13141
é	5.91298e-05	0.000129411	0.000295714	0.000707407	0.00126313	0.00407883	0.00810992	0.00966232	0.00480774	0.0068468	0.0693017	0.00991996	0.0994659	0.232684	0.36744	0.0596529	0.125575
n	0.000139205	0.000129362	0.000144453	0.000493911	0.00082784	0.0043051	0.00780683	0.00916295	0.0094234	0.00711644	0.0546533	0.0290851	0.0850233	0.187407	0.336495	0.0896964	0.17809
d	0.000185482	0.000331276	0.000135868	0.00109871	0.00124975	0.00061887	0.0110367	0.0148045	0.014921	0.00909939	0.0879768	0.0770048	0.13234	0.249701	0.223689	0.0927292	0.0830774
í	0.000461739	0.000773216	0.000298229	0.00169053	0.00218731	0.0011814	0.0119545	0.0181146	0.0232191	0.0208821	0.0913925	0.118897	0.107386	0.193536	0.201463	0.0473935	0.159169
b	0.000440478	0.000949474	0.000642378	0.0023194	0.00118774	0.000107392	0.00704003	0.0156426	0.038	0.00882695	0.0310854	0.159181	0.108289	0.154464	0.212001	0.0867176	0.173107
v	0.00298109	0.0159506	0.000205589	0.030508	0.00157145	0.000308945	0.0148081	0.0711122	0.0315202	0.00441768	0.0626059	0.0927248	0.0800761	0.0552893	0.0489192	0.421292	0.0657094
ú	0.00094694	0.000605351	5.60304e-06	0.000334365	0.000125424	0.00012236	0.00367396	0.0173472	0.00633044	0.000381258	0.0145174	0.0254483	0.0373992	0.0539688	0.0484546	0.667357	0.122982
n	0.000252979	0.000489965	3.4892e-05	8.34251e-05	0.000311436	0.000384363	0.0070099	0.0106034	0.0112055	0.00152778	0.028314	0.0111106	0.027825	0.107522	0.224559	0.40277	0.165995
d	0.000597715	0.000879759	0.000206909	0.000141568	0.00056156	0.000100623	0.00309147	0.00512933	0.00973043	0.00400998	0.0158148	0.0119477	0.0163499	0.0667618	0.0737196	0.572024	0.218933
u	0.00041417	0.00057568	9.84515e-05	0.000154435	0.000552336	0.000173335	0.00274965	0.00449548	0.0107468	0.0040063	0.00759046	0.00378642	0.00374157	0.0195781	0.0230321	0.627124	0.29118
</S>	0.00473655	0.00568595	0.000372761	0.00109562	0.00165737	0.000309104	0.00588149	0.00794732	0.0216264	0.00621013	0.0168018	0.0459084	0.0388069	0.109437	0.100317	0.211141	0.422065
