 	il	voudrait	partir	à	brazaville	mais	il	n'	a	pas	d'	argent	</S>
w	0.991082	0.00255787	0.00119148	0.00171083	0.000740722	0.000851328	0.000309541	0.000399703	0.000223543	0.000198288	0.000679192	5.24196e-05	2.85883e-06
a	0.985296	0.0072016	0.00420915	0.00173672	0.000272814	0.000340112	0.00018519	0.000142373	7.24121e-05	5.0396e-05	0.000306683	0.000185657	1.07451e-06
á	0.559091	0.330649	0.0467314	0.0073821	0.00372799	0.00904599	0.00511448	0.00957996	0.00701992	0.00312926	0.0100278	0.00266849	0.0058325
k	0.164296	0.759123	0.0249148	0.0115497	0.00370482	0.00242081	0.00504878	0.0065785	0.00465284	0.00260197	0.00694335	0.000677118	0.00748827
á	0.00719852	0.969812	0.00608796	0.00325115	0.000168986	0.0014976	0.00211421	0.00154229	0.00103208	0.000639973	0.000513144	5.59465e-05	0.00608629
n	0.013673	0.834055	0.0851516	0.00876935	0.000756607	0.0053092	0.00221182	0.0146725	0.00913696	0.00691776	0.0024642	0.000158727	0.0167229
y	0.0322343	0.847453	0.0518468	0.00624351	0.00334979	0.00440697	0.00557648	0.00826678	0.00631171	0.00439977	0.00428644	0.000454034	0.0251708
í	0.0426103	0.802474	0.0918247	0.009945	0.00328063	0.00688312	0.00483258	0.00518731	0.00523657	0.00511356	0.00624002	0.001767	0.0146057
i	0.173791	0.257478	0.377298	0.0741215	0.0191991	0.00986603	0.0138589	0.00929462	0.0112512	0.0131895	0.0151486	0.00516387	0.0203396
d	0.0122734	0.148202	0.62229	0.154561	0.00894686	0.0150359	0.00617117	0.00550706	0.006336	0.00404932	0.00417874	0.00280607	0.00964249
z	0.000598542	0.0163308	0.676334	0.240137	0.0216403	0.0228614	0.0011635	0.00468047	0.00136313	0.00126632	0.000793503	0.00297525	0.00985551
w	0.00060249	0.00336898	0.731088	0.178671	0.032324	0.0303469	0.00123669	0.00421246	0.00120985	0.00184583	0.00140269	0.00158166	0.0121102
a	0.00416778	0.00326762	0.641214	0.242447	0.0130154	0.0526839	0.00673909	0.00937063	0.00235281	0.00193914	0.0040823	0.0105274	0.00819382
l	0.000864115	0.00619083	0.407517	0.371632	0.0325981	0.0274249	0.00595278	0.0144288	0.00728497	0.00979907	0.0121382	0.0100125	0.0941566
á	0.00381565	0.0332982	0.172309	0.230149	0.0554042	0.0556694	0.0315022	0.0278771	0.0329913	0.0296333	0.0136246	0.0111011	0.302625
n	0.00535872	0.0157495	0.11449	0.344504	0.23591	0.105768	0.0319107	0.0158758	0.014504	0.0126168	0.0219615	0.0168269	0.0645246
g	0.000681837	0.000658074	0.00738203	0.0403727	0.906794	0.0189905	0.00362171	0.00113202	0.00104059	0.000860504	0.00234314	0.00776144	0.00836142
y	0.000376307	0.000250356	0.0103304	0.079306	0.873007	0.0209386	0.00277753	0.000925304	0.00115989	0.00122522	0.00144847	0.0066904	0.00156408
