 	si	tu	fais	du	mal	aux	autres	tu	n'	auras	pas	une	longue	vie	</S>
w	0.716942	0.0765818	0.0279151	0.0202551	0.0217804	0.0322059	0.0228225	0.020024	0.0108463	0.0152489	0.017873	0.00986627	0.00694641	0.000544427	0.000147699
á	0.519049	0.0263599	0.0212105	0.0490386	0.0649782	0.0677134	0.114212	0.0329594	0.0108266	0.0513204	0.0251785	0.00833459	0.00391153	0.00458053	0.000326993
á	0.110625	0.0681832	0.131125	0.0246738	0.0136368	0.0557597	0.0344624	0.0875184	0.0459131	0.125723	0.0748147	0.0671521	0.0597135	0.0181091	0.0825907
n	0.194197	0.547274	0.0885445	0.0183842	0.0159662	0.0126823	0.0110058	0.0106234	0.00476614	0.00680325	0.00367814	0.00498349	0.0292998	0.00463184	0.0471598
ω	0.225002	0.688623	0.00876759	0.00495074	0.0117314	0.00601489	0.00407806	0.00976763	0.000856318	0.00348281	0.00177992	0.00202732	0.0137444	0.00501595	0.0141578
l	0.0361276	0.494909	0.170334	0.0683035	0.0319861	0.0172279	0.0105839	0.0195701	0.00230371	0.0120673	0.00450262	0.00773846	0.0428591	0.0221211	0.0593653
ó	0.0509147	0.0789916	0.233896	0.164024	0.036637	0.0278629	0.00525449	0.0180066	0.0256696	0.035019	0.0398194	0.0373833	0.0382573	0.0248251	0.183439
o	0.0706162	0.098746	0.111041	0.251356	0.0801328	0.0544935	0.00943129	0.0457513	0.0180949	0.0398038	0.035542	0.0411443	0.0424692	0.0320292	0.069349
p	0.0302145	0.112616	0.491195	0.215096	0.0151173	0.00712946	0.0093158	0.00428664	0.0108777	0.014086	0.00835809	0.010449	0.0125033	0.0205553	0.0382004
é	0.00337441	0.0193934	0.48077	0.270059	0.00550236	0.00569521	0.00291569	0.00848776	0.026141	0.0254268	0.023944	0.0259865	0.00752968	0.0177651	0.0770089
n	0.00479713	0.0464231	0.35513	0.258038	0.0265239	0.0215144	0.0105211	0.0276722	0.0443423	0.0388116	0.033778	0.046751	0.0163988	0.0140775	0.0552205
d	0.0280203	0.086956	0.322252	0.310034	0.057409	0.0377403	0.012045	0.0159494	0.0147495	0.0222648	0.0197749	0.0150502	0.00762931	0.00670604	0.0434192
á	0.0463508	0.128398	0.222107	0.274068	0.10754	0.0496748	0.00720813	0.0237005	0.00551671	0.015776	0.0103126	0.0115364	0.00652354	0.0122185	0.0790699
o	0.00519913	0.0285165	0.026993	0.171251	0.360302	0.272822	0.0378051	0.054062	0.0103468	0.0106499	0.00595139	0.00635943	0.00403319	0.0010569	0.00465189
k	0.00378378	0.0190944	0.0579861	0.158788	0.180954	0.186125	0.225074	0.0477955	0.0545489	0.0194502	0.00835993	0.00941527	0.00766574	0.00960248	0.0113569
y	0.00138346	0.00121365	0.0298819	0.136176	0.0772019	0.0937786	0.229808	0.0310967	0.178599	0.0439749	0.0497648	0.0348185	0.0057348	0.0263965	0.0601709
á	0.00113767	0.00124079	0.0373697	0.294618	0.06362	0.11825	0.0709084	0.09616	0.141222	0.0438909	0.0508097	0.0432323	0.00306967	0.0116269	0.0228441
b	0.00358515	0.00875868	0.0129749	0.0354527	0.0958269	0.260134	0.0961829	0.192592	0.115661	0.0417727	0.0404859	0.0237667	0.0104579	0.00248056	0.0598689
a	0.00703724	0.0026713	0.0205454	0.0240724	0.0589507	0.124905	0.30239	0.136643	0.136219	0.0803913	0.0551244	0.02398	0.00362835	0.0103856	0.0130552
r	0.000310763	0.000703881	0.00059242	0.00406631	0.0814315	0.109159	0.515545	0.1232	0.0711319	0.041939	0.0248469	0.014248	0.00211787	0.00236186	0.00834506
e	0.00389744	0.00698272	0.00892156	0.0124101	0.0613961	0.146479	0.122555	0.268164	0.0219234	0.0632941	0.0267412	0.0207233	0.0222106	0.017071	0.197231
p	0.000362047	0.00259897	0.00127767	0.0060701	0.0378891	0.127937	0.137983	0.416918	0.105179	0.0535479	0.0321983	0.0292008	0.0313335	0.00209717	0.0154075
ώ	0.0020738	0.000954478	0.00328997	0.00900026	0.00744143	0.0342536	0.031889	0.166809	0.488098	0.0768785	0.104244	0.0535289	0.00487656	0.00341106	0.0132522
ω	7.57118e-05	0.000140647	0.000252066	0.00262978	0.00474962	0.0137446	0.0188324	0.0990999	0.269525	0.0879099	0.170559	0.210862	0.0255626	0.033171	0.0628861
y	0.000684618	0.000856741	0.00157718	0.00282345	0.00440075	0.0246042	0.0269821	0.065117	0.238301	0.231203	0.153667	0.139689	0.0769397	0.00898691	0.0241667
á	0.0030696	0.0092802	0.00559039	0.0126833	0.044362	0.0732623	0.0239241	0.23364	0.0845014	0.113642	0.0778259	0.124503	0.110784	0.0419078	0.0410236
m	0.00140909	0.00541059	0.00154449	0.00395994	0.0297767	0.0375787	0.0200722	0.128912	0.0842457	0.11791	0.137167	0.169921	0.208527	0.0203309	0.0332347
b	0.000341195	0.00019015	0.00104683	0.00687058	0.044264	0.10743	0.092014	0.0396142	0.0526893	0.272093	0.11502	0.11055	0.031634	0.0437312	0.0825126
é	0.000342507	6.51503e-05	0.00047521	0.00313541	0.0285995	0.0502957	0.188755	0.0206801	0.0281396	0.345241	0.0867601	0.0972299	0.00656288	0.0310798	0.112639
m	0.000269886	0.000110477	0.00066068	0.00402713	0.0218542	0.0546319	0.105901	0.0168161	0.0527297	0.326627	0.176437	0.183438	0.0102491	0.0114954	0.0347517
