 	il	tomba	aveugle	à	la	suite	de	sa	blessure	</S>
w	0.824915	0.125259	0.0137915	0.0151806	0.013107	0.00173489	0.00295303	0.00226189	0.000743934	5.3503e-05
a	0.740201	0.101855	0.0735839	0.0435297	0.0309972	0.00106848	0.00294214	0.00422134	0.00158483	1.70742e-05
á	0.286681	0.116932	0.341847	0.151606	0.0710092	0.00640212	0.0124172	0.00809998	0.000912088	0.00409363
b	0.103624	0.467028	0.0473787	0.0922137	0.0720226	0.0712384	0.0502262	0.0494293	0.00897301	0.0378657
h	0.0466275	0.585042	0.0944298	0.0906686	0.0909274	0.0360026	0.0222738	0.0069469	0.00080085	0.0262803
i	0.0229517	0.810139	0.0320288	0.0613698	0.0371375	0.016187	0.00900089	0.0029785	0.000590737	0.00761556
á	0.00983972	0.279154	0.247174	0.216447	0.0893737	0.0194729	0.0256398	0.0113129	0.00466791	0.0969188
m	0.0824835	0.133383	0.255019	0.353974	0.12423	0.0231832	0.0110807	0.00741251	0.00235127	0.00688367
í	0.00266689	0.0283818	0.91277	0.0348989	0.0187704	0.000836414	0.000733949	0.000315667	2.51248e-05	0.000600686
s	0.014949	0.0785748	0.403669	0.220745	0.181087	0.0618686	0.0167108	0.00649218	0.00256717	0.0133361
i	0.00448441	0.0360947	0.169471	0.446062	0.264874	0.019658	0.0170322	0.0104234	0.00561038	0.0262899
k	0.00706427	0.0177885	0.102198	0.391525	0.369033	0.0474489	0.0249645	0.0121861	0.00931422	0.0184768
a	0.0147823	0.0148762	0.00383816	0.138811	0.195898	0.574373	0.0278698	0.004655	0.00828568	0.0166101
á	0.00329915	0.0142542	0.0202918	0.14638	0.231251	0.464278	0.0550984	0.0137215	0.00429437	0.0471317
m	0.00607675	0.012351	0.014045	0.11575	0.241116	0.365248	0.126156	0.0572515	0.00908828	0.0529172
ó	0.00711613	0.0101998	0.0443987	0.0873068	0.159536	0.317317	0.184926	0.117129	0.0177274	0.0543434
p	0.00386626	0.0130708	0.00649381	0.0337212	0.0951093	0.531508	0.210499	0.0519475	0.0432894	0.0104945
ó	0.00151147	0.0034967	0.000788086	0.0161581	0.0469585	0.704757	0.129727	0.0357653	0.045631	0.0152068
r	0.000757848	0.00174406	0.00199624	0.0256568	0.0511474	0.6144	0.130616	0.04302	0.0400362	0.0906256
á	0.00204789	0.00373534	0.00191179	0.0244681	0.0830162	0.558857	0.16279	0.0425217	0.0313503	0.0893022
y	0.00862117	0.00604148	0.0154099	0.0384618	0.0492025	0.0535518	0.390328	0.268954	0.103882	0.065547
á	0.0378371	0.0101731	0.0279166	0.145617	0.135541	0.0322252	0.170014	0.10331	0.254499	0.0828665
á	0.0117037	0.00607089	0.0490211	0.0675449	0.0400355	0.0118711	0.0898072	0.134512	0.552775	0.0366587
k	0.00224456	0.00511268	0.00625676	0.0137194	0.0180974	0.0270361	0.139949	0.32237	0.420958	0.044256
ώ	0.000252668	0.00284453	0.000263602	0.00429312	0.00951344	0.0882064	0.160724	0.202931	0.436465	0.0945058
s	5.59866e-05	0.000493885	0.000171403	0.00327471	0.0144282	0.100066	0.224049	0.199878	0.33639	0.121192
ώ	0.000122784	0.000538914	0.00024266	0.00412268	0.0169376	0.102757	0.169914	0.168175	0.280405	0.256785
w	0.000331672	0.00105245	0.00175831	0.00891017	0.0128788	0.0094691	0.115329	0.333332	0.130249	0.386689
a	0.00523106	0.00306895	0.00386622	0.0206761	0.0284311	0.0454729	0.165298	0.300087	0.292507	0.135361
</S>	0.000628377	0.000604732	0.00423537	0.00578068	0.00608942	0.00708611	0.0732547	0.14623	0.370581	0.38551
