 	il	aplanit	le	sol	dans	sa	case	</S>
w	0.976668	0.011595	0.00558987	0.0023042	0.00187699	0.00187908	5.73755e-05	3.00189e-05
a	0.974887	0.00204912	0.00912573	0.00340508	0.00243022	0.00806995	1.55719e-05	1.68997e-05
l	0.568433	0.275745	0.0412795	0.0436482	0.0292316	0.0204944	0.0046264	0.0165427
á	0.106747	0.0758939	0.0498411	0.0497496	0.0769086	0.0219123	0.0165718	0.602375
a	0.378882	0.0876731	0.0749335	0.103157	0.0683544	0.0721503	0.0867262	0.128124
l	0.0158979	0.938143	0.0256106	0.00262619	0.00399076	0.00047616	0.00295541	0.0103
o	0.0121478	0.954372	0.0245113	0.00169971	0.00224535	0.000409212	0.000391135	0.00422385
n	0.0105331	0.907798	0.0645316	0.00303468	0.00329733	0.000319573	0.000374827	0.0101112
d	0.0590595	0.626505	0.22894	0.0214917	0.0184657	0.002244	0.000753	0.0425417
á	0.0442753	0.700378	0.108013	0.0238635	0.0127351	0.00227954	0.00242769	0.106028
t	0.0340481	0.0143726	0.500474	0.340237	0.0548872	0.0440724	0.00707556	0.00483389
s	0.00772953	0.0175903	0.406473	0.3981	0.107968	0.0120552	0.016244	0.03384
ε	0.00172886	0.00872325	0.380741	0.408175	0.154661	0.0223071	0.00867162	0.0149918
n	0.00312543	0.0122964	0.226381	0.55818	0.0753051	0.0204163	0.00891284	0.0953822
g	0.00401815	0.0385851	0.376365	0.261946	0.0910671	0.0210019	0.0153427	0.191674
ε	0.0165024	0.0271404	0.142659	0.744081	0.0304033	0.011921	0.0143104	0.0129825
y	0.00739878	0.00474234	0.185966	0.150629	0.455591	0.129592	0.00966787	0.0564127
á	0.0544534	0.00613503	0.165294	0.248062	0.227394	0.219839	0.0261498	0.0526736
s	0.00863611	0.00178182	0.0616872	0.108934	0.0907784	0.562767	0.15888	0.00653507
á	0.00370494	0.00124955	0.0252796	0.0693722	0.135625	0.176002	0.568068	0.0206981
n	0.00446349	0.000573631	0.0198254	0.0700713	0.129394	0.400617	0.334958	0.0400976
d	0.000151488	0.00038646	0.00402727	0.0565912	0.0254208	0.0366207	0.866123	0.0106789
é	5.65119e-05	0.00159655	0.00270606	0.0155561	0.0224493	0.0227043	0.903526	0.031405
e	0.000154958	0.00401183	0.0426889	0.124869	0.142741	0.11468	0.305321	0.265533
y	0.00215584	0.00190006	0.0163387	0.0444571	0.165329	0.159177	0.0887186	0.521923
á	0.00204409	0.00126841	0.0317341	0.0569619	0.13087	0.417022	0.16164	0.19846
w	0.00154766	0.000408645	0.0187749	0.0386651	0.0373344	0.617974	0.181101	0.104194
a	0.00231747	0.000506303	0.0185939	0.0494265	0.0896415	0.462686	0.204737	0.172091
</S>	0.000593165	0.000142003	0.00619214	0.0193201	0.0613788	0.302465	0.0847464	0.525162
