 	c'	est	ma	fils	aîné	</S>
é	0.770558	0.124213	0.0633591	0.0342202	0.00416267	0.00348672
d	0.264138	0.499694	0.0556389	0.100834	0.073953	0.00574168
i	0.111867	0.559664	0.166444	0.0722295	0.0415671	0.0482281
m	0.109022	0.367933	0.102496	0.0968339	0.0518506	0.271864
w	0.0689699	0.184653	0.0617381	0.524595	0.0105269	0.149517
á	0.0525565	0.0644437	0.0753752	0.494807	0.0486003	0.264217
n	0.141818	0.0699227	0.143176	0.548237	0.00431032	0.0925357
á	0.31971	0.0634785	0.309955	0.181228	0.0357506	0.0898778
y	0.160672	0.20717	0.311044	0.181846	0.0679923	0.0712761
a	0.0663285	0.0856199	0.617414	0.143397	0.0544454	0.0327952
n	0.0269811	0.0215324	0.712781	0.176915	0.0355762	0.0262143
g	0.00165112	0.00160664	0.842443	0.0514674	0.0610341	0.041798
á	0.00139244	0.00129675	0.403686	0.0736033	0.321314	0.198707
y	0.0135919	0.0211142	0.243052	0.232422	0.173786	0.316033
a	0.0158447	0.0201089	0.691367	0.126957	0.107717	0.0380056
i	0.0144115	0.0228401	0.481196	0.0989965	0.155831	0.226725
b	0.0016471	0.00637666	0.0139318	0.0300811	0.421303	0.52666
a	0.0134029	0.076004	0.022983	0.0600144	0.62774	0.199856
a	0.000749458	0.00728094	0.0137396	0.0265716	0.48196	0.469699
y	0.00481007	0.0141714	0.0425612	0.0232415	0.122971	0.792245
a	0.0170496	0.0339163	0.339839	0.0244481	0.368414	0.216333
b	0.00388564	0.00615209	0.119203	0.0123268	0.17782	0.680612
o	0.0137437	0.0379085	0.0684153	0.0393986	0.58959	0.250944
s	0.00172216	0.0288615	0.066894	0.0377179	0.483874	0.380931
ó	0.00181342	0.00421175	0.0091076	0.00289015	0.720315	0.261663
</S>	0.00467578	0.00833568	0.0362564	0.0226319	0.0683366	0.859764
