 	c'	est	toi	qui	va	me	réveiller	de	bon	matin	</S>
o	0.273809	0.215379	0.121482	0.0703994	0.0708365	0.104897	0.0101962	0.0351747	0.0840114	0.00175861	0.0120565
l	0.0058822	0.00231563	0.00246156	0.00975286	0.139095	0.00556685	0.792955	0.010538	0.00618616	0.0094451	0.0158027
a	0.00107418	0.0011323	0.00112109	0.0199601	0.133392	0.00590773	0.71043	0.0319135	0.0154577	0.0219857	0.0576261
n	0.000401348	0.000346758	0.000466081	0.0220659	0.146801	0.00973018	0.757374	0.00881361	0.00612929	0.0031824	0.044689
g	0.0839609	0.0381458	0.0143988	0.100173	0.155601	0.114581	0.256293	0.0434161	0.0559341	0.033518	0.103978
i	0.182119	0.092549	0.021045	0.159757	0.0863376	0.0713448	0.186358	0.0322654	0.0270283	0.0130341	0.128162
s	0.0324678	0.0386294	0.0742723	0.0917097	0.112385	0.273947	0.101725	0.13408	0.103517	0.011443	0.0258244
i	0.0148792	0.023536	0.167226	0.073817	0.115927	0.303531	0.201049	0.040193	0.0127192	0.017763	0.0293595
n	0.00572683	0.0267822	0.119455	0.0357177	0.0244207	0.659696	0.0461957	0.0512268	0.0157062	0.00535178	0.0097212
g	0.000360451	0.00173243	0.124196	0.0248346	0.0313282	0.7112	0.0711373	0.018548	0.00651236	0.00440028	0.00575096
á	0.000509682	0.00456534	0.114686	0.0242349	0.0431507	0.587494	0.121317	0.0496335	0.0069962	0.018443	0.0289702
s	0.000530621	0.00134875	0.00226275	0.0505225	0.0394318	0.306916	0.0837756	0.277461	0.190975	0.0175545	0.0292218
á	0.00356341	0.0059861	0.0116712	0.0199452	0.120282	0.201797	0.315107	0.176896	0.0196873	0.0697054	0.0553597
o	0.00613864	0.0121982	0.0257058	0.0273045	0.0409416	0.394673	0.0473682	0.146905	0.0734695	0.208324	0.0169713
y	0.00218935	0.00144971	0.0013606	0.00516638	0.0193713	0.0259263	0.0782253	0.224326	0.145139	0.363268	0.133577
ó	0.00268681	0.0058416	0.0164284	0.014782	0.0367453	0.139813	0.079585	0.0435245	0.0217864	0.613719	0.0250886
l	0.000150043	0.000242771	0.000168675	0.00301258	0.0139106	0.00797708	0.0753633	0.06859	0.0318747	0.686968	0.111743
o	0.000380155	0.000470921	0.000807205	0.00920059	0.0235953	0.0362294	0.0350623	0.130552	0.190205	0.446947	0.12655
t	0.000187816	0.000581963	0.00103016	0.0237944	0.0214351	0.0318537	0.0468062	0.225202	0.255548	0.164323	0.229238
í	0.00825037	0.00605927	0.00379229	0.00576068	0.0145047	0.0595397	0.00278064	0.15404	0.389225	0.131822	0.224225
n	0.000773492	0.00160505	0.00392785	0.00563606	0.0218219	0.148448	0.0283048	0.145172	0.113343	0.0454935	0.485475
ω	0.000524634	0.000275773	0.000579736	0.00115934	0.00478311	0.0119653	0.00247015	0.0782139	0.0957983	0.0594411	0.744789
</S>	0.000179607	0.00064746	0.0017337	0.00724677	0.00779185	0.0397298	0.0118201	0.213229	0.126754	0.139689	0.451179
