 	ma	femme	m'	a	apporté	le	repas	</S>
m	0.862894	0.126459	0.00415909	0.00329794	0.00100549	0.00150215	0.000536995	0.000144409
w	0.0285467	0.964383	0.00266556	0.00271246	0.000518602	0.000565958	2.95617e-05	0.000578154
á	0.435138	0.549548	0.00505506	0.00620359	0.000441662	0.00065983	0.0027008	0.000252669
s	0.831987	0.137195	0.00329969	0.00704711	0.000809664	0.00219182	0.0034196	0.01405
í	0.38605	0.166181	0.24045	0.0625246	0.0128127	0.013492	0.0052016	0.113288
á	0.559091	0.115591	0.154109	0.0692495	0.0112678	0.0345827	0.00597348	0.0501365
m	0.0476159	0.05903	0.128197	0.280295	0.321157	0.0508902	0.00211516	0.110699
i	0.013945	0.0294754	0.106751	0.474716	0.274222	0.0534566	0.0039805	0.0434537
y	0.0246848	0.0276142	0.0435318	0.295407	0.463405	0.0480202	0.00225102	0.0950859
a	0.149519	0.0469205	0.322807	0.126906	0.241091	0.0415792	0.00171048	0.0694659
á	0.0670333	0.00733031	0.125344	0.128213	0.136527	0.140777	0.0176328	0.377143
n	0.128562	0.00789216	0.40805	0.207537	0.132105	0.0642969	0.0380343	0.0135222
g	0.473087	0.00428332	0.40517	0.0328526	0.0144021	0.0225934	0.0272485	0.0203626
á	0.321302	0.0717964	0.514047	0.0300195	0.0197845	0.023842	0.00556727	0.0136417
l	0.028302	0.000537907	0.0306345	0.130841	0.130236	0.384068	0.246203	0.0491768
i	0.0441416	0.000590852	0.0307229	0.0994216	0.405463	0.18804	0.0197523	0.211868
d	0.0179844	0.00106719	0.00600518	0.0236518	0.128547	0.516889	0.0908579	0.214997
z	0.00258846	0.00035821	0.00611695	0.0110255	0.378521	0.381254	0.0700866	0.150049
á	0.00629564	0.00548329	0.00815583	0.0344519	0.18587	0.442785	0.160071	0.156887
a	0.0102318	0.000456021	0.00343982	0.0113725	0.0445465	0.187244	0.396653	0.346055
</S>	0.000939202	7.9291e-05	0.012211	0.0324801	0.0984401	0.198021	0.114376	0.543453
