 	j'	écris	une	lettre	</S>
n	0.94875	0.0334337	0.0144532	0.00325843	0.000104433
g	0.994904	0.00374881	0.00121817	6.52808e-05	6.41487e-05
á	0.986328	0.0108523	0.00214085	0.000622831	5.61805e-05
l	0.555476	0.127584	0.187089	0.0722346	0.0576166
í	0.658218	0.137205	0.0293641	0.00984442	0.165368
i	0.40074	0.0886605	0.277858	0.0646069	0.168135
k	0.00451691	0.966349	0.0250731	0.0020916	0.00196898
y	5.71092e-05	0.995444	0.00377705	0.000477902	0.000243938
έ	0.000361995	0.976906	0.0163927	0.00466603	0.00167354
m	0.00845237	0.504175	0.297742	0.0725774	0.117053
b	0.001086	0.100258	0.377509	0.128752	0.392395
έ	0.0362819	0.0236746	0.399597	0.160495	0.379952
e	0.0261781	0.00918073	0.429232	0.431538	0.103872
p	0.00472617	0.0169984	0.253738	0.566373	0.158165
y	0.000353491	0.00952064	0.0823944	0.853723	0.0540084
ε	9.86483e-05	0.0282218	0.067828	0.724126	0.179726
m	0.000429924	0.0440412	0.23404	0.496913	0.224577
b	0.000224421	0.00183591	0.0629028	0.536066	0.398971
ω	0.00198526	0.00813501	0.196029	0.446545	0.347305
</S>	0.00204245	0.00171662	0.083505	0.125552	0.787184
