 	la	maman	est	partie	chercher	de	l'	eau	à	la	source	</S>
n	0.971712	0.0231879	0.00217915	0.000127638	0.000167453	0.000980521	0.0012628	0.000140288	9.122e-05	8.31112e-05	5.88449e-05	9.34725e-06
g	0.496568	0.501661	0.00090543	0.000310173	0.000135497	0.000209526	0.000133648	1.35109e-05	3.20546e-05	1.92988e-05	1.07869e-05	1.07585e-06
ó	0.0433659	0.953757	0.000944788	0.000780565	0.000193633	0.000319356	0.00027483	5.70307e-05	8.54153e-05	9.06287e-05	0.000119449	1.15386e-05
o	0.0591465	0.934844	0.000998088	0.00330452	0.00042277	0.000340551	0.000502747	6.86879e-05	4.96129e-05	5.75504e-05	8.73344e-05	0.000177646
á	0.0247304	0.0605118	0.647723	0.183402	0.0483211	0.00812811	0.00555485	0.00912495	0.00387943	0.00126451	0.000342805	0.00701712
m	0.0120133	0.0448883	0.0949108	0.593421	0.205585	0.00879316	0.00273671	0.00121265	0.0143843	0.00942994	0.00429376	0.00833145
i	0.00790938	0.00106648	0.103787	0.675345	0.173117	0.0192585	0.0050311	0.00389827	0.00444289	0.00166501	0.000463978	0.00401535
d	0.00920463	0.00407065	0.0397521	0.752799	0.167869	0.00819385	0.00226651	0.00128621	0.00535227	0.00195454	0.00136769	0.00588326
z	0.002457	0.000429776	0.010008	0.794079	0.162696	0.00957184	0.00309775	0.00105162	0.00452956	0.000590311	0.00153124	0.00995763
w	0.00313978	2.61793e-05	0.00673084	0.745063	0.223594	0.010809	0.00229556	0.00105042	0.00310587	0.000271912	0.00133119	0.00258196
á	0.00907378	5.26394e-05	0.0465847	0.315863	0.257743	0.19585	0.0645136	0.0450785	0.0267772	0.010433	0.00228443	0.0257464
o	0.0114248	0.000143338	0.108306	0.0417979	0.132042	0.306142	0.318698	0.0537043	0.0127319	0.00722051	0.00242024	0.00536876
t	0.00111594	0.000567465	0.0138701	0.117161	0.351819	0.200739	0.139118	0.0761843	0.0552577	0.00907567	0.0208495	0.014242
ó	0.00020584	0.000100711	0.00621115	0.0854821	0.521663	0.181309	0.0952727	0.0255749	0.027152	0.0056982	0.0246206	0.0267094
á	6.24514e-05	7.89616e-05	0.0234913	0.101603	0.313594	0.263662	0.198465	0.0315596	0.0239216	0.00424269	0.0095266	0.0297927
m	0.00227355	3.27574e-05	0.0336351	0.0103694	0.0159517	0.146373	0.330085	0.344233	0.0766247	0.0295225	0.00257583	0.00832364
á	0.00651096	3.61184e-05	0.00457807	0.00624094	0.00406869	0.0293496	0.125251	0.62532	0.0716589	0.0130554	0.00479802	0.109133
a	0.00223673	0.000204872	0.020755	0.00228801	0.00505087	0.0500512	0.138532	0.529882	0.0979586	0.0909846	0.0448562	0.0171996
ó	0.000166889	7.42436e-05	0.001972	0.00304795	0.00836829	0.00806422	0.0143776	0.0726583	0.380609	0.390231	0.0973097	0.0231204
i	0.000110722	0.000211558	0.00532162	0.00510684	0.0126708	0.00695547	0.0107646	0.0315626	0.279912	0.401876	0.231112	0.0143964
t	6.9367e-05	7.12508e-05	0.00451237	0.0161007	0.0171797	0.00593184	0.00526659	0.0380956	0.370234	0.254279	0.165686	0.122573
ó	1.40949e-05	2.00134e-05	0.000520045	0.00468692	0.017178	0.00559187	0.00339397	0.0109947	0.170492	0.126429	0.622015	0.0386639
l	4.56866e-05	1.02344e-05	0.000674519	0.00389439	0.0178159	0.0268391	0.0283606	0.0232596	0.152905	0.0980815	0.479124	0.16899
i	0.00018758	6.10923e-06	0.00034111	0.00315291	0.0158311	0.0205438	0.0162139	0.0275973	0.276113	0.167465	0.23413	0.238419
i	0.00189859	0.000120553	0.00577972	0.00303204	0.0091908	0.0317967	0.0598354	0.0729196	0.145976	0.201303	0.164741	0.303407
</S>	0.000749025	1.73845e-05	0.00266483	0.00333381	0.0100451	0.0111939	0.00643867	0.0092194	0.0750539	0.259991	0.416326	0.204966
