 	la	manière	dont	elles	se	sont	disputées	toutes	les	trois	m'	a	attristé	</S>
e	0.413608	0.430875	0.077776	0.0194931	0.0117767	0.00754639	0.00378078	0.00475455	0.00258357	0.00818487	0.00359376	0.000955364	0.0140188	0.00105399
k	0.00385334	0.00654673	0.00692332	0.03617	0.0348614	0.221344	0.436131	0.00427451	0.0240064	0.0545963	0.026968	0.0464547	0.0868212	0.011049
a	0.00161629	0.000515279	0.000685241	0.139622	0.0604508	0.139819	0.264009	0.017476	0.0621366	0.139445	0.0433483	0.0717928	0.0536971	0.00538704
b	0.00548445	0.015419	0.0143793	0.444413	0.084786	0.0725727	0.102697	0.0137767	0.0292859	0.0840551	0.028816	0.0452939	0.0551949	0.00382592
h	0.00523301	0.0115734	0.0113821	0.274996	0.222296	0.102883	0.0464838	0.0244821	0.0603189	0.056187	0.0188015	0.0290928	0.0252998	0.110971
í	0.00935835	0.009514	0.0320685	0.136584	0.22279	0.158894	0.147367	0.0125799	0.054279	0.0396512	0.0332102	0.0289959	0.0246996	0.0900098
r	0.0347428	0.0880594	0.152842	0.0804192	0.209995	0.124526	0.0257638	0.0316328	0.0375602	0.0278912	0.013815	0.0244478	0.00360253	0.144702
í	0.030526	0.0314304	0.0232448	0.0234524	0.132324	0.194005	0.0602024	0.0186291	0.0502739	0.0201433	0.0576876	0.0463331	0.0146422	0.297106
y	0.151487	0.140029	0.0940577	0.139646	0.119141	0.0685409	0.0258486	0.0551996	0.0406825	0.0367109	0.0213218	0.0198046	0.00966297	0.0778681
é	0.0580932	0.0842882	0.136785	0.00595544	0.0405482	0.0399505	0.0390221	0.0303345	0.0434053	0.0226439	0.0261753	0.0515876	0.00869872	0.412512
é	0.0423076	0.155963	0.198228	0.0536182	0.0702574	0.0785382	0.0540465	0.0474036	0.040849	0.0391835	0.0569212	0.060258	0.0137629	0.0886621
k	0.00231677	0.00166691	0.025232	0.103696	0.0682669	0.157475	0.201133	0.0253047	0.0363085	0.0523747	0.0502377	0.141849	0.0170401	0.117099
a	0.000986477	0.000218112	0.00465457	0.207712	0.0543216	0.127455	0.271646	0.0773475	0.0645673	0.0497393	0.0163327	0.0479718	0.00333242	0.0737151
b	0.00175497	0.000817564	0.0224747	0.40852	0.0621307	0.123173	0.226803	0.0553079	0.0278886	0.0195509	0.00521703	0.0102374	0.00466664	0.0314581
h	0.00104418	0.0006008	0.0091947	0.27777	0.172478	0.205726	0.117534	0.0658644	0.0397748	0.0405112	0.0210506	0.0156907	0.0015423	0.0312181
