 	beaucoup	de	vieillards	sont	avides	de	viande	</S>
i	0.508565	0.33307	0.0965151	0.0376957	0.00466929	0.0189428	0.000395561	0.000146436
d	0.0739079	0.671073	0.215037	0.0231931	0.010905	0.00149474	0.000129634	0.00425934
u	0.0347649	0.784441	0.173644	0.00368085	0.0015358	0.000240742	0.000186433	0.00150649
n	0.0475528	0.275646	0.649746	0.0170061	0.0041011	0.00147275	0.00107517	0.00340033
ú	0.141925	0.32912	0.502542	0.0131003	0.00637559	0.00354937	0.00190574	0.00148222
i	0.132879	0.200193	0.40963	0.153133	0.0525236	0.0200548	0.000263864	0.0313227
y	0.131605	0.13078	0.239817	0.203579	0.165893	0.0391712	0.00638008	0.0827748
í	0.149481	0.101527	0.266636	0.192659	0.106519	0.0405841	0.018007	0.124585
í	0.0560956	0.0186092	0.109533	0.267218	0.119716	0.105947	0.0999163	0.222964
í	0.0246134	0.011024	0.120935	0.439893	0.133359	0.155921	0.0241991	0.0900559
d	0.0237154	0.0494835	0.139348	0.218136	0.306187	0.191357	0.0263059	0.045468
í	0.00370014	0.00393893	0.0424504	0.219758	0.15087	0.0722272	0.00749701	0.499558
l	0.00223518	0.00229796	0.0301296	0.139201	0.264191	0.169327	0.0568832	0.335735
e	0.00373965	0.00380794	0.0147945	0.0331851	0.184824	0.163495	0.0979178	0.498235
b	0.00734519	0.0070172	0.0184466	0.026919	0.298719	0.120317	0.428361	0.092875
a	0.0121	0.0325269	0.0145627	0.0693853	0.604373	0.167383	0.0503022	0.0493671
m	0.00112752	0.00945768	0.00366694	0.0228001	0.666043	0.131508	0.0777769	0.0876193
b	0.0042384	0.0095139	0.0489037	0.0288348	0.240105	0.434851	0.109409	0.124144
á	0.00232153	0.00583713	0.0185806	0.014162	0.167631	0.244117	0.421093	0.126258
</S>	0.00306496	0.00315164	0.0085147	0.0268477	0.0593863	0.222303	0.0243249	0.652407
