 	les	hommes	coupent	du	bois	dans	la	forêt	</S>
a	0.896675	0.0930706	0.00425734	0.00121795	0.000899954	0.00154312	0.00206705	0.000210978	5.81148e-05
b	0.121747	0.860257	0.0124045	0.0017091	0.00115339	0.000985374	0.000976376	0.00057083	0.000196665
a	0.0350413	0.946762	0.0106618	0.00175369	0.00113871	0.000628495	0.00122659	0.00189469	0.000892749
a	0.0212995	0.950015	0.0151231	0.00316581	0.00174575	0.000676898	0.000185171	0.000222544	0.00756645
b	0.175803	0.0840653	0.5043	0.0884541	0.0136505	0.0204363	0.00583018	0.000811647	0.106649
á	0.0966802	0.0160252	0.523664	0.180179	0.0665019	0.0515515	0.0397796	0.00169886	0.0239195
a	0.62458	0.00611591	0.153251	0.129138	0.0241593	0.0134119	0.0115796	0.00562512	0.0321394
k	0.00408318	0.0024299	0.777643	0.165191	0.0347353	0.00494195	0.00228895	0.000879715	0.00780747
y	0.00184498	0.00376813	0.789417	0.134897	0.0567258	0.00467219	0.00132737	0.00177035	0.00557732
ε	0.0341717	0.00601443	0.571523	0.234461	0.13419	0.00634027	0.00178955	0.00559873	0.00591106
r	0.00947205	0.00174642	0.302072	0.286192	0.241842	0.0553489	0.0223903	0.0133831	0.0675525
έ	0.0125196	0.000375777	0.372927	0.354355	0.119465	0.0574579	0.0407806	0.0134114	0.0287078
k	0.0133835	0.000493317	0.0683136	0.303596	0.211934	0.240018	0.115863	0.0305034	0.0158955
ó	0.00562662	0.00190275	0.14507	0.334573	0.360859	0.0276034	0.0067083	0.105146	0.0125107
n	0.00192561	0.000768181	0.0885008	0.163998	0.302866	0.0783946	0.0176595	0.30862	0.0372675
y	0.00670849	0.00275542	0.0476106	0.108501	0.395491	0.236932	0.0742719	0.0741277	0.053601
i	0.002156	0.000222346	0.0295016	0.0970426	0.312542	0.13525	0.0505544	0.170908	0.201823
s	0.00204038	0.000429312	0.018662	0.0455945	0.0966031	0.315285	0.221206	0.11577	0.184409
á	0.00499855	0.000121045	0.00588293	0.0330651	0.0896369	0.109151	0.0657188	0.345999	0.345426
k	0.0124864	0.000280446	0.000817192	0.00642012	0.00562555	0.0167439	0.0514504	0.860965	0.0452107
ώ	0.000142406	0.000156964	0.00139829	0.00207323	0.00394726	0.00542054	0.00603262	0.971614	0.00921487
</S>	0.000164454	0.000215085	0.00416883	0.00333543	0.0103635	0.00909494	0.00797478	0.899902	0.0647809
