 	de	la	manière	dont	on	l'	a	poignardé	il	ne	survivra	pas	</S>
e	0.237739	0.31278	0.0771337	0.31061	0.0166223	0.0321207	0.00546768	0.00119913	0.000855928	0.000898953	0.00299696	0.000318704	0.00125796
m	0.00627186	0.00749014	0.00600236	0.011289	0.00395096	0.164883	0.322537	0.277104	0.0170435	0.0383791	0.0623999	0.060584	0.022066
a	0.0323256	0.00272113	0.00177173	0.00586578	0.00580304	0.152611	0.444983	0.336067	0.00927023	0.00248418	0.00104376	0.00125308	0.00380076
a	0.00333638	0.000871781	0.00151101	0.00410616	0.00725154	0.142637	0.319298	0.351127	0.0354455	0.0243107	0.0436369	0.0240334	0.0424351
l	0.0174276	0.0268254	0.0403154	0.0517144	0.0522406	0.10048	0.211963	0.163811	0.0676878	0.049749	0.0190247	0.013612	0.185149
í	0.00626436	0.00750688	0.0102308	0.0329335	0.0349805	0.0493136	0.103066	0.106464	0.0552953	0.0898331	0.011005	0.0305675	0.462539
y	0.0807073	0.24908	0.239062	0.216003	0.0822031	0.0470013	0.0379842	0.0126546	0.00784453	0.00824587	0.00348831	0.00315438	0.0125721
é	0.108632	0.102524	0.20709	0.367803	0.0129801	0.0365278	0.0379437	0.050344	0.0165815	0.0131289	0.00114199	0.00506684	0.040236
é	0.0398217	0.0703925	0.310215	0.195002	0.039367	0.0764541	0.0672499	0.0417248	0.0159877	0.0206017	0.00247677	0.00791488	0.112792
m	0.00182259	0.00160404	0.00614228	0.02979	0.022785	0.172433	0.224259	0.208458	0.0604658	0.0926894	0.0536207	0.0368388	0.0890916
a	0.000875384	0.000210432	0.00151938	0.0054263	0.027119	0.0839325	0.190382	0.493141	0.108691	0.0658779	0.00589795	0.00219763	0.0147299
í	0.00106511	0.00039232	0.00208995	0.0181922	0.0125089	0.128588	0.223017	0.393625	0.0638695	0.0346462	0.0174108	0.0213034	0.083292
b	0.000923526	0.000541709	0.00306279	0.0245567	0.111969	0.215819	0.265549	0.191444	0.066725	0.0495216	0.0206505	0.0107543	0.0384826
á	0.00034035	0.000133735	0.000417076	0.00334886	0.0693165	0.208348	0.155412	0.236211	0.160088	0.0715638	0.0543737	0.0138106	0.0266365
a	0.00103758	0.00101531	0.00334849	0.0228902	0.415734	0.170131	0.0800788	0.0792794	0.105671	0.0324377	0.0173843	0.0114822	0.0595109
w	0.000396531	0.000434911	0.0036122	0.0202193	0.226959	0.135207	0.163184	0.18374	0.176471	0.0503313	0.0151473	0.00442891	0.0198693
a	0.000430953	0.00095895	0.00628767	0.018535	0.131475	0.231252	0.123892	0.157249	0.159743	0.0645437	0.0172734	0.0160844	0.0722746
a	0.000533198	0.00109894	0.00547314	0.0265625	0.110378	0.0938701	0.0846052	0.244354	0.306408	0.0608761	0.0165352	0.0094023	0.039903
d	0.000948995	0.000724917	0.00374544	0.00860247	0.0291683	0.0881306	0.144938	0.0945736	0.20346	0.289313	0.0848976	0.0247033	0.0267939
í	0.00307281	0.00180038	0.00320926	0.00349629	0.0126282	0.0631424	0.0952762	0.091197	0.0815375	0.388107	0.0167512	0.0310969	0.208685
o	0.00238649	0.0049839	0.00473017	0.00327044	0.0550556	0.0307301	0.0399537	0.0298362	0.108976	0.328739	0.193801	0.105615	0.0919215
b	0.00128942	0.00129656	0.00130118	0.00225265	0.00396381	0.0159256	0.022575	0.0328905	0.0738823	0.156934	0.34713	0.305815	0.0347433
í	0.000117667	0.000374928	0.000527989	0.000564264	0.00143867	0.0123776	0.0100386	0.0174765	0.0172258	0.0471555	0.634282	0.199312	0.0591081
a	3.9722e-05	0.000173001	0.000204079	0.000406647	0.00633285	0.0130648	0.01113	0.0150773	0.0405777	0.0832618	0.264808	0.173221	0.391703
k	9.91792e-05	0.000140037	0.000680776	0.000903386	0.00532872	0.00822484	0.00829545	0.0063826	0.0293378	0.209995	0.274623	0.243593	0.212397
a	3.33981e-05	0.000201129	0.000111483	6.92873e-05	0.000508472	0.00236684	0.00229741	0.00391881	0.0232471	0.0578927	0.403384	0.330629	0.175341
á	1.20791e-05	2.49943e-05	5.66316e-05	8.11814e-05	0.00136111	0.00313155	0.00392084	0.00786672	0.0202393	0.0425276	0.316102	0.270637	0.334039
</S>	0.000758464	0.000685058	0.00213018	0.00544738	0.0262908	0.0247776	0.019179	0.00762133	0.0171674	0.116724	0.123145	0.246357	0.409717
