 	j'	ai	fait	tomber	le	couteau	</S>
n	0.913606	0.0656663	0.0030068	0.00780514	0.0053978	0.0041407	0.000377594
g	0.756264	0.221633	0.00757977	0.00264618	0.0105857	0.000185362	0.00110592
á	0.823488	0.168282	0.00430927	0.0014149	0.00202263	0.000412507	7.12254e-05
í	0.0818684	0.347867	0.177406	0.0940475	0.0380015	0.0192161	0.241593
m	0.00658591	0.203449	0.678047	0.0716902	0.00870931	0.0114431	0.0200756
i	0.00032154	0.0802635	0.540628	0.312428	0.0155975	0.0141584	0.0366025
p	0.0004979	0.0189666	0.759971	0.174264	0.0125589	0.00244029	0.0313021
á	8.66969e-06	0.0018892	0.906749	0.0772091	0.00376671	0.00186551	0.00851133
s	7.07877e-05	0.024527	0.775759	0.144751	0.0367278	0.00407565	0.0140885
í	0.000201315	0.0152832	0.685621	0.207704	0.063334	0.00587381	0.0219831
s	0.00975139	0.0895539	0.130698	0.181296	0.475885	0.0747089	0.0381062
á	0.00469644	0.0119643	0.247642	0.350995	0.268921	0.0434588	0.0723224
i	0.0581345	0.0392762	0.0475017	0.091579	0.598357	0.152592	0.012559
b	0.000228363	0.00147779	0.0122483	0.0765015	0.105714	0.773207	0.0306228
á	1.27464e-05	0.000265882	0.00164354	0.037423	0.015668	0.94156	0.00342647
á	0.000934849	0.00211869	0.00956575	0.0983888	0.018946	0.844311	0.0257349
</S>	0.000228882	0.00603302	0.0142637	0.021208	0.21955	0.232199	0.506517
