 	j'	ai	coupé	la	tige	de	la	mangue	</S>
n	0.846011	0.111469	0.0170078	0.0194526	0.00275673	0.00188489	0.0010929	0.000267576	5.7204e-05
g	0.954737	0.041879	0.000419334	0.00275527	2.19076e-06	5.24029e-05	9.35648e-05	4.94927e-05	1.23112e-05
á	0.687321	0.274298	0.0276153	0.00601397	0.00078455	0.000272395	0.000445053	0.00320477	4.50501e-05
í	0.0542351	0.332378	0.0379833	0.199108	0.0744257	0.0205762	0.0196077	0.0141652	0.24752
m	0.0134181	0.123938	0.791214	0.0119732	0.0371295	0.00689106	0.00197817	0.00152259	0.0119355
i	0.00177073	0.196886	0.573655	0.0904004	0.0446643	0.0166365	0.0267176	0.0273912	0.0218778
k	0.000270115	0.00755766	0.930275	0.0119021	0.0316258	0.00456496	0.0017692	0.00200896	0.0100258
y	3.55925e-06	0.000571295	0.965128	0.0036586	0.0234822	0.00364574	0.000354625	1.17653e-05	0.00314439
é	5.06309e-05	0.0038094	0.952064	0.00992363	0.0251043	0.00599718	0.00116294	0.000113303	0.00177472
n	0.00069945	0.0163078	0.429758	0.301465	0.123853	0.0532053	0.0316818	0.00120702	0.0418226
á	0.000307463	0.00219799	0.623807	0.224546	0.0284879	0.0472756	0.0104953	0.000548064	0.0623341
o	0.0181962	0.0738096	0.0195066	0.530216	0.236104	0.0309808	0.0335265	0.0423835	0.0152773
t	0.000291965	0.00311351	0.0467295	0.046462	0.844803	0.0483185	0.00623328	0.00155732	0.00249086
ó	1.44864e-05	0.000560766	0.042825	0.00927792	0.849594	0.086147	0.00757162	0.000107799	0.00390163
o	1.5835e-05	0.00056675	0.0261263	0.0206891	0.852255	0.0848673	0.0055789	0.000301395	0.00959884
m	2.54788e-05	0.000616304	0.00704501	0.138282	0.0434284	0.607874	0.167641	0.00124932	0.0338384
á	0.000398917	0.00116589	0.0015315	0.0310056	0.00497338	0.214012	0.485391	0.0232091	0.238313
m	0.00285615	0.00919534	0.00242108	0.0620389	0.0352689	0.14367	0.356771	0.340578	0.0471996
b	2.71104e-05	0.000313187	0.000128139	0.00241356	0.000464351	0.0206386	0.148983	0.795293	0.031739
á	1.39159e-06	7.13597e-06	0.000151516	6.15866e-05	0.00012026	0.00100612	0.00673438	0.991323	0.000594698
n	3.12612e-05	4.81651e-05	0.000410034	0.00118949	0.000851527	0.00182273	0.0161494	0.972297	0.00720056
g	0.000124547	0.000453864	0.00846542	0.00599683	0.000786134	0.0516462	0.139425	0.720361	0.0727408
é	0.000196195	0.000605215	0.0134302	0.0113691	0.00496961	0.0465417	0.0820464	0.780896	0.0599453
</S>	5.07745e-05	0.000458356	0.00493196	0.0197872	0.00391797	0.151545	0.14311	0.02872	0.647478
