 	en	tre	eux	une	mouche	ne	peut	traverser	</S>
b	0.292018	0.692924	0.00282604	0.00282372	0.00787805	0.000841789	0.000546687	0.000121279	2.07269e-05
á	0.063912	0.921047	0.0102965	0.00201266	0.00134771	0.000299356	0.000702847	0.000291103	9.06313e-05
a	0.0359852	0.957561	0.00531116	0.000320011	0.000247827	5.58246e-05	0.000130756	0.000169732	0.000218162
á	0.293792	0.342019	0.163865	0.0280916	0.00419363	0.0305456	0.0149777	0.0071258	0.11539
b	0.0827595	0.179126	0.433707	0.13985	0.00546097	0.0414728	0.0400784	0.0236747	0.0538704
a	0.0177287	0.157475	0.467896	0.221943	0.0308828	0.0387649	0.0235839	0.0107826	0.0309435
á	0.0863725	0.0731513	0.37063	0.300878	0.046154	0.0440287	0.0121964	0.0155073	0.051082
a	0.102622	0.0217056	0.401024	0.310463	0.0409107	0.040501	0.0273783	0.0161922	0.0392039
d	0.0213669	0.00830297	0.295846	0.34912	0.157383	0.0902509	0.0268375	0.0230338	0.0278587
í	0.0186289	0.000116299	0.10773	0.325819	0.0337561	0.0771419	0.0147231	0.0488416	0.373244
i	0.0140022	0.00110125	0.055641	0.215099	0.277112	0.254987	0.0584214	0.0277384	0.0958983
k	0.00277124	0.00248192	0.0362697	0.17758	0.511856	0.182149	0.0368773	0.0184905	0.0315246
i	0.000556792	0.000458774	0.00744934	0.0589633	0.617196	0.261483	0.0197219	0.0172944	0.0168761
n	0.000879959	0.000462416	0.0110259	0.0506529	0.533592	0.323845	0.0422034	0.0153066	0.0220318
y	0.00678942	0.000178035	0.0247914	0.169892	0.610103	0.0963568	0.0172247	0.0132308	0.0614338
i	0.00569927	0.000154418	0.00822113	0.0677513	0.69813	0.105709	0.0178056	0.00996222	0.0865672
o	0.0119472	0.000299843	0.019067	0.0593593	0.275982	0.473427	0.0716577	0.0238427	0.0644171
l	0.00581933	0.000757285	0.00463814	0.0400028	0.149636	0.39835	0.161252	0.188906	0.0506391
e	0.0119038	0.000211121	0.0391214	0.115888	0.0274547	0.106633	0.0827672	0.377964	0.238056
a	0.00196292	8.78182e-05	0.00687882	0.0720481	0.106713	0.124279	0.0839927	0.107004	0.497033
o	0.00508643	0.000576072	0.0103179	0.0132196	0.00772466	0.088305	0.2969	0.293207	0.284664
s	0.00421972	0.000911054	0.0155851	0.0801855	0.0308075	0.0687868	0.203053	0.303864	0.292587
w	0.0022794	4.09527e-05	0.00910676	0.0522863	0.00147357	0.00650875	0.0814241	0.465458	0.381422
έ	0.014669	0.000789079	0.0198505	0.0711516	0.00926869	0.0102234	0.0817714	0.480067	0.312209
b	0.000634693	1.06583e-05	0.000379296	0.00523894	0.0110564	0.05631	0.125185	0.177005	0.62418
h	0.0161324	0.00250125	0.0030877	0.00635474	0.0164774	0.0652858	0.373293	0.434677	0.0821912
έ	0.00845852	0.000588694	0.000769376	0.00928014	0.101621	0.0588833	0.237971	0.47187	0.110557
k	0.00632663	0.000306951	0.00180472	0.0102202	0.0337838	0.042784	0.113656	0.29938	0.491738
a	0.036658	0.00315058	0.00414665	0.0100987	0.0540561	0.0549926	0.108444	0.561363	0.167091
á	0.00491623	0.000450385	0.0027848	0.00313372	0.00884186	0.0296403	0.0945032	0.254171	0.601558
</S>	0.0142035	0.00070077	0.0369208	0.0199907	0.00964074	0.0457814	0.0527214	0.227283	0.592757
