 	n'	aies	pas	peur	</S>
o	0.966408	0.0289315	0.002224	0.00224567	0.000191198
t	0.606084	0.27543	0.0743938	0.0357372	0.00835551
á	0.391249	0.233806	0.150877	0.0496843	0.174384
a	0.359514	0.180455	0.0716258	0.040582	0.347824
w	0.562512	0.182983	0.188186	0.0114909	0.0548282
á	0.349231	0.224157	0.155464	0.0644716	0.206677
á	0.281259	0.346966	0.0942788	0.0570396	0.220456
o	0.068241	0.367468	0.450025	0.0275977	0.0866691
d	0.0185621	0.0748372	0.551156	0.281749	0.0736965
z	0.00719328	0.0145324	0.617754	0.0478369	0.312684
é	0.0501248	0.0306852	0.649684	0.0272984	0.242208
l	0.0204982	0.00530061	0.359629	0.242532	0.37204
a	0.00433598	0.0205334	0.287049	0.26006	0.428022
b	0.00449092	0.0142675	0.193572	0.467255	0.320415
ώ	0.00925201	0.00504088	0.104742	0.808715	0.0722499
m	0.000829407	0.0060587	0.025629	0.865192	0.102291
ώ	0.0023203	0.000486886	0.107724	0.699804	0.189665
</S>	0.00771901	0.000891019	0.215168	0.11196	0.664262
