 	on	piège	la	pintade	avec	la	fibre	de	palmier	</S>
k	0.486252	0.236349	0.140796	0.117843	0.011316	0.00197966	6.67598e-05	0.00451322	0.000809186	7.548e-05
á	0.168538	0.250137	0.117064	0.431254	0.0127839	0.00186139	0.00262246	0.00425115	0.0100532	0.00143583
n	0.0708708	0.306611	0.174889	0.309064	0.0339892	0.0083663	0.0361644	0.0034858	0.00710075	0.0494586
g	0.345064	0.146381	0.173902	0.269861	0.0191888	0.00430487	0.011453	0.00105001	0.000618493	0.0281764
a	0.418987	0.143545	0.136746	0.225337	0.0160811	0.0105787	0.0222564	0.00131795	0.000137075	0.0250138
b	0.259478	0.103035	0.290179	0.0956397	0.109549	0.0672761	0.0121873	0.0137513	0.00114525	0.0477599
á	0.107056	0.0617993	0.281094	0.074741	0.202292	0.0757624	0.00892002	0.0341616	0.0579888	0.0961848
a	0.16116	0.063868	0.227539	0.201132	0.192312	0.0659054	0.018885	0.0124033	0.014301	0.0424948
b	0.0185111	0.0237925	0.103884	0.208212	0.187518	0.166534	0.254275	0.00583896	0.00227068	0.0291657
h	0.0266975	0.0548019	0.0684241	0.0624219	0.315307	0.255461	0.115806	0.0115716	0.0437062	0.0458036
í	0.0370221	0.102823	0.0723074	0.123022	0.183596	0.118719	0.258181	0.00581787	0.0531264	0.0453869
á	0.00624254	0.0208018	0.0766672	0.0786501	0.189498	0.15236	0.329113	0.0235052	0.0176653	0.105496
m	0.0113953	0.0111823	0.038351	0.0092573	0.107195	0.559455	0.150499	0.0815581	0.0127548	0.0183525
ó	0.0034974	0.0192469	0.0172905	0.00333389	0.185837	0.349719	0.126332	0.0730984	0.0307396	0.190904
l	0.01538	0.0212955	0.052299	0.0503615	0.125315	0.235571	0.294163	0.0639619	0.115583	0.0260702
e	0.00621054	0.0132719	0.030871	0.0100036	0.0402296	0.19752	0.44991	0.0997372	0.0342115	0.118035
n	0.00159873	0.00725282	0.0189862	0.00903536	0.042835	0.203615	0.465568	0.141624	0.0383837	0.0711018
d	0.00087056	0.00223581	0.00771516	0.00519134	0.0095939	0.0698279	0.730157	0.0716326	0.00907918	0.0936967
ú	0.000181659	0.000680296	0.00226325	0.00317814	0.00352178	0.0301607	0.798692	0.0355547	0.00284071	0.122927
m	0.000140359	0.000288339	0.00514612	0.00868692	0.00375301	0.0336432	0.708581	0.113335	0.00591205	0.120514
a	0.00421521	0.00359058	0.0176441	0.00304362	0.0153597	0.0487544	0.043091	0.41917	0.0571003	0.388032
</S>	0.0024496	0.00203031	0.00947264	0.000735779	0.00320276	0.0210179	0.0414398	0.379699	0.19544	0.344512
