 	il	bascula	en	arrière	</S>
w	0.959752	0.023413	0.0138423	0.00289893	9.33298e-05
a	0.978533	0.00169555	0.016658	0.00309335	1.9952e-05
a	0.428201	0.35082	0.117336	0.00498192	0.0986608
b	0.157243	0.545037	0.123866	0.00969709	0.164156
v	0.197787	0.601912	0.0884188	0.0138908	0.0979914
e	0.0550297	0.851497	0.0575589	0.00544527	0.0304695
m	0.0249379	0.139163	0.15738	0.0267427	0.651776
ó	0.0588488	0.0165559	0.286232	0.326617	0.311747
n	0.0244357	0.0586358	0.139457	0.653281	0.12419
g	0.00187773	0.00600013	0.0366953	0.864707	0.0907201
ω	0.000361786	0.00829116	0.0114045	0.950948	0.0289948
n	0.00011982	0.00447896	0.00680353	0.944569	0.0440292
g	0.00111861	0.0150046	0.0680117	0.337704	0.578161
ω	0.0022903	0.0097736	0.0200624	0.769914	0.19796
</S>	0.00770282	0.00817893	0.190765	0.21679	0.576563
