 	le	remède	est	amer	</S>
b	0.634687	0.344489	0.0203104	0.000223636	0.000290422
v	0.133727	0.768061	0.0962172	0.0011914	0.000803522
e	0.0692085	0.916153	0.0103696	0.00292565	0.00134338
r	0.170147	0.778596	0.0320369	0.000944703	0.0182749
é	0.319611	0.370841	0.114462	0.00763635	0.187449
ó	0.222735	0.23424	0.472379	0.00754851	0.0630974
d	0.197882	0.266437	0.507253	0.0111614	0.0172655
í	0.0802569	0.135621	0.432966	0.0171085	0.334048
l	0.0350129	0.0500857	0.336488	0.145489	0.432925
a	0.0389139	0.0350147	0.296428	0.106974	0.522669
k	0.0598267	0.059729	0.0975669	0.60029	0.182588
a	0.00581207	0.0305345	0.0139852	0.926613	0.0230555
l	0.00308546	0.0257979	0.0242808	0.887839	0.0589967
e	0.00434686	0.0257106	0.0334669	0.75253	0.183946
</S>	0.0112958	0.0243798	0.114708	0.326597	0.52302
