 	c'	est	un	homme	avide	de	richesse	</S>
w	0.529055	0.280226	0.0756578	0.103958	0.00604513	0.00471469	0.000176152	0.000166905
a	0.532413	0.32483	0.0539036	0.055714	0.0022264	0.028684	0.00209673	0.000132845
a	0.187188	0.348838	0.299951	0.0549296	0.00573415	0.0588543	0.00699542	0.0375104
d	0.0293709	0.284536	0.467791	0.114661	0.0394611	0.020675	0.0017549	0.0417498
í	0.0407938	0.340311	0.269684	0.0593868	0.00724232	0.0076507	0.000369897	0.274561
l	0.0191747	0.0771055	0.230831	0.178128	0.0359591	0.0408152	0.00758079	0.410405
a	0.0346846	0.0740317	0.4046	0.138188	0.0129862	0.0564314	0.00230313	0.276775
p	0.0405814	0.0987386	0.370273	0.25672	0.0600178	0.0283476	0.0690924	0.0762297
ó	0.00500465	0.028628	0.116238	0.307841	0.517438	0.00449054	0.0011296	0.0192309
s	0.00276448	0.0135262	0.335007	0.39543	0.198447	0.0322768	0.000285027	0.0222634
á	0.0158071	0.0462784	0.236266	0.25538	0.27618	0.0265584	0.00187448	0.141656
b	0.0305623	0.0239099	0.107018	0.240008	0.285421	0.184565	0.0729812	0.0555341
e	0.00574892	0.0185617	0.0258228	0.0830436	0.560746	0.0543144	0.128618	0.123144
a	0.00109474	0.00382141	0.023537	0.140864	0.481594	0.0699474	0.0780604	0.201081
</S>	0.00438351	0.00642588	0.031682	0.0624865	0.115448	0.514416	0.0230534	0.242104
