 	il	déplie	la	natte	</S>
w	0.990006	0.00688435	0.00220517	0.00083607	6.88224e-05
a	0.903066	0.0670886	0.0251826	0.0045645	9.84447e-05
l	0.752193	0.0599768	0.161552	0.00661241	0.019665
á	0.190519	0.0431549	0.164587	0.0504942	0.551245
a	0.217701	0.365264	0.0859918	0.0629753	0.268068
n	0.026031	0.87363	0.0649171	0.0141306	0.0212908
a	0.0149374	0.911958	0.0577626	0.00215109	0.0131911
a	0.00878712	0.145885	0.772974	0.0388198	0.0335339
n	0.0178838	0.0321902	0.853683	0.0352043	0.0610387
á	0.0566262	0.241243	0.551212	0.0273091	0.12361
i	0.0412095	0.20809	0.588793	0.113159	0.0487484
t	0.00243003	0.0609498	0.118027	0.766255	0.0523386
ω	0.000875303	0.00723553	0.0241615	0.948473	0.019255
ώ	0.0018831	0.00451764	0.0307929	0.936516	0.0262903
</S>	0.0164532	0.00420857	0.283116	0.272466	0.423756
