 	cet	enfant-là	s'	initie	à	la	pratique	du	kyebé-kyebé	</S>
m	0.569978	0.377353	0.0104032	0.00308472	0.0127025	0.00988643	0.0109048	0.00300693	0.0022201	0.000460872
w	0.462371	0.424277	0.0527918	0.0447592	0.00880515	0.00315729	0.000453685	0.0011042	7.17216e-05	0.00220851
á	0.242532	0.652032	0.00593799	0.0929511	0.00428708	0.00149533	0.000285428	0.000202608	0.000120985	0.000155588
n	0.734545	0.153579	0.0122971	0.0295077	0.00705474	0.00444375	0.00203737	0.0011822	0.000254215	0.0550984
a	0.075308	0.815323	0.0325758	0.0482645	0.00844493	0.00350366	0.000791285	0.000772368	2.14436e-05	0.0149947
w	0.656069	0.156883	0.143505	0.0128614	0.0118132	0.00435939	0.00465425	0.00544285	0.000852908	0.00355941
ú	0.311158	0.315336	0.0499022	0.00942886	0.0520959	0.0500558	0.0656604	0.0747087	0.00646684	0.0651879
u	0.184071	0.0883297	0.570991	0.0424694	0.0297913	0.0157394	0.0128293	0.0177072	0.00343827	0.0346343
á	0.0717484	0.0450585	0.600201	0.104915	0.0962676	0.033101	0.0146578	0.0102458	0.00238823	0.0214166
m	0.00184793	0.00649453	0.260384	0.567762	0.0761887	0.0313376	0.0214757	0.00645635	0.0134707	0.014583
i	0.00191414	0.00862394	0.255431	0.559053	0.0868631	0.0518559	0.0216489	0.00788342	0.000475778	0.00625099
b	0.00149318	0.00150169	0.126151	0.789219	0.0426408	0.0161677	0.00908534	0.00269024	0.00236927	0.00868121
h	0.00230041	0.00124314	0.124493	0.756045	0.0647107	0.01689	0.0228031	0.00318297	0.000421511	0.00791002
á	0.00306995	8.99464e-05	0.0136686	0.929119	0.0284438	0.00651833	0.0151699	0.00220447	0.000691732	0.00102477
n	0.000576369	0.000817274	0.0158923	0.286171	0.224954	0.160695	0.221756	0.0312772	0.0242074	0.0336535
d	0.00108797	0.00341716	0.0323954	0.0723588	0.423698	0.32858	0.092835	0.0283192	0.00157623	0.0157327
á	0.00186556	0.00273847	0.017935	0.0511784	0.373484	0.442273	0.0422772	0.0141978	0.000272128	0.0537782
k	0.00089072	0.000649859	0.02666	0.00814388	0.292195	0.430603	0.13186	0.0852117	0.0017904	0.0219953
y	0.000195991	0.00027207	0.0019836	0.00240233	0.0524168	0.258008	0.526006	0.0509982	0.0578239	0.049893
e	0.000171628	1.64401e-05	0.000323227	0.000938915	0.0184785	0.124816	0.516853	0.132753	0.171043	0.0346059
b	0.000177471	1.45441e-05	0.000467866	0.00129731	0.0207306	0.102838	0.465017	0.185573	0.179297	0.0445868
h	0.000107224	2.04153e-05	0.000651867	0.00184768	0.0397171	0.13267	0.32503	0.0784328	0.171867	0.249656
é	0.000574474	0.000335902	0.00195966	0.0164431	0.0771646	0.133715	0.276899	0.134263	0.0633214	0.295325
k	0.000311982	0.000117513	0.00403469	0.00282504	0.0264722	0.0461757	0.128398	0.375717	0.199649	0.216299
y	0.00048548	0.000138402	0.00128009	0.000371685	0.00534894	0.0133689	0.0686839	0.089582	0.763996	0.0567448
e	0.000357468	1.40865e-05	8.27013e-05	0.000133951	0.000777631	0.0027044	0.0147704	0.031443	0.924369	0.0253473
b	0.000196587	5.18814e-06	8.50051e-05	0.000158137	0.0018018	0.00531464	0.0252298	0.0401151	0.866858	0.0602353
h	2.61907e-05	2.86233e-06	2.42441e-05	8.94599e-05	0.00235991	0.011155	0.0428168	0.0556725	0.783732	0.104121
é	0.00189674	0.000286683	0.00117632	0.0121917	0.0185655	0.0277066	0.0416861	0.121552	0.355779	0.419159
</S>	0.000915594	6.86174e-05	0.00101372	0.00241597	0.0115273	0.0188967	0.0525557	0.160105	0.375729	0.376772
