 	le	vent	a	emporté	la	toiture	de	la	maison	du	cultivateur	</S>
o	0.979516	0.0100868	0.00325037	0.00151998	0.00306577	0.000884311	0.000665265	0.000401117	0.00015382	0.00039276	5.5625e-05	8.46285e-06
p	0.00958328	0.986344	0.00214823	0.000565047	0.000151572	0.000190179	8.58284e-05	0.000136798	0.000156944	0.000150078	0.000328013	0.000160184
ε	0.000855112	0.992393	0.00126971	0.000601035	0.000389629	0.00104521	0.00070114	0.00102614	0.000616846	0.000318485	0.000433416	0.000350354
p	0.00647615	0.986315	0.00154176	0.00128156	0.00146309	0.000396658	0.000453802	0.000333859	0.000378987	0.000198662	0.000419005	0.000740935
ε	0.415106	0.498415	0.0540671	0.00674357	0.00383175	0.0033083	0.00422899	0.0021894	0.000888932	0.00124407	0.000552131	0.0094248
ó	0.221775	0.0255161	0.541433	0.0433902	0.0492467	0.00758876	0.0203355	0.0147447	0.00369395	0.0281267	0.00199141	0.0421579
b	0.0513198	0.00998021	0.455886	0.379867	0.0483631	0.0251647	0.00789465	0.00417518	0.00409348	0.00365552	0.00201847	0.00758161
é	0.0124255	0.00066221	0.0879359	0.718998	0.102766	0.0460055	0.0166138	0.00354772	0.00135875	0.00191468	0.00273007	0.00504209
r	0.0119108	0.00413172	0.131714	0.498796	0.10791	0.105381	0.0296232	0.0110233	0.0107348	0.00605764	0.01276	0.0699579
i	0.00505292	0.00659512	0.149107	0.449645	0.143617	0.144897	0.0282568	0.0140691	0.0188566	0.00422373	0.00347375	0.0322053
m	0.0270254	0.000806383	0.180282	0.112416	0.400887	0.174258	0.0570949	0.0174395	0.0051893	0.0102801	0.00221192	0.0121104
w	0.00212383	0.000133551	0.012907	0.188147	0.2661	0.309619	0.126468	0.0387817	0.00762033	0.00463852	0.00421858	0.0392434
a	0.000136417	1.39771e-05	0.00358385	0.127708	0.156881	0.61942	0.0559362	0.0101756	0.00663139	0.00073171	0.00292157	0.0158601
n	0.000621422	3.48359e-05	0.00939364	0.161618	0.225618	0.458617	0.0531524	0.0061995	0.00297815	0.000861288	0.00309006	0.0778154
d	0.0026349	0.000227702	0.0267791	0.0610161	0.271901	0.469148	0.0739985	0.0160101	0.0401434	0.00370723	0.00262948	0.0318043
z	0.000418768	0.00022768	0.00960866	0.0418113	0.102747	0.612799	0.075776	0.016473	0.0572939	0.00180602	0.00206852	0.0789701
á	0.000314533	0.000787534	0.00562148	0.0151169	0.0922137	0.693613	0.0866696	0.0284175	0.0508252	0.00212038	0.00234024	0.0219601
m	0.00426219	0.000155706	0.058586	0.0310724	0.18009	0.136601	0.340874	0.0992718	0.0673813	0.0296785	0.00816884	0.0438575
á	0.00310618	0.000189849	0.00853605	0.0133787	0.0862622	0.112473	0.286088	0.161619	0.0270171	0.0715484	0.0179846	0.211797
n	0.00486888	0.000241854	0.00258599	0.00169707	0.0451055	0.0700097	0.119217	0.25389	0.258694	0.0796971	0.154196	0.00979727
d	0.000561093	5.54378e-06	0.000505117	0.000564385	0.0127131	0.018605	0.0572461	0.091927	0.779383	0.0270307	0.00272954	0.00872897
é	0.000130583	9.65065e-05	0.000167785	0.000133644	0.00172478	0.0216683	0.0338411	0.0721566	0.84393	0.0105819	0.00333095	0.0122383
e	3.64859e-05	0.00016603	0.00126425	0.000662482	0.0128891	0.0584561	0.113462	0.206692	0.491637	0.059583	0.0144441	0.0407076
y	0.000460776	0.000111529	0.00484888	0.00103432	0.0121314	0.00611214	0.0980567	0.225356	0.129586	0.347597	0.0554423	0.119263
á	0.000988153	0.000250037	0.00887047	0.00143074	0.0151873	0.00576135	0.0872823	0.250939	0.254271	0.21559	0.0404071	0.119023
o	0.0010571	4.15145e-05	0.00332438	0.0034102	0.0144344	0.00314408	0.0268344	0.112394	0.109301	0.419343	0.262665	0.0440519
t	4.43645e-05	0.000110954	0.00226124	0.00355652	0.0038136	0.00142951	0.00803229	0.0258812	0.0581434	0.17797	0.646766	0.0719905
s	0.000158274	0.00139242	0.00811341	0.0289453	0.00743183	0.00654303	0.027242	0.0537168	0.0776366	0.0797363	0.603617	0.105467
έ	9.54293e-05	0.000553695	0.00104547	0.0119831	0.00743851	0.00680821	0.0497249	0.106319	0.0892669	0.055414	0.615549	0.0558019
i	8.05272e-05	9.69077e-06	0.000673926	0.00549878	0.00780707	0.00146265	0.0408427	0.0814065	0.0480786	0.104995	0.223342	0.485802
n	0.000618517	2.11727e-05	0.0022528	0.00133244	0.0109224	0.00200247	0.0265067	0.0747851	0.0617109	0.265206	0.189761	0.36488
g	0.00124696	6.55922e-05	0.003953	0.00487996	0.0230023	0.0180667	0.0469135	0.0930675	0.266198	0.210268	0.132593	0.199746
o	0.00417367	0.000115101	0.00142788	0.000747246	0.0124397	0.0240839	0.0591848	0.125173	0.499224	0.102991	0.0386486	0.131791
n	0.00011273	2.93351e-05	0.00015882	0.000545274	0.00755111	0.00751555	0.0328946	0.0950857	0.327745	0.0674476	0.0659505	0.394964
d	0.00173606	0.000584552	0.00834398	0.00625716	0.0251659	0.0212659	0.0678671	0.0847219	0.15182	0.113774	0.104644	0.41382
a	0.00160133	0.00110027	0.00126411	0.00194867	0.00549148	0.0148669	0.0240674	0.0406041	0.263981	0.0271396	0.0614421	0.556493
</S>	0.000708216	0.000248334	0.00191662	0.00115267	0.00582444	0.00328639	0.0430712	0.101522	0.102359	0.201179	0.0991948	0.439538
