 	il	a	approuvé	le	jugement	du	chef	</S>
w	0.922603	0.0582581	0.00503391	0.010714	8.72319e-05	0.00262211	0.000587878	9.41156e-05
a	0.847538	0.0877657	0.0219462	0.0398272	0.000159522	0.00256014	0.000186687	1.63113e-05
á	0.101249	0.764768	0.0796722	0.0428295	0.0005048	0.0097568	0.000330127	0.000888905
b	0.0340031	0.425574	0.467287	0.0274913	0.0123159	0.0149015	0.00238272	0.0160438
é	0.0523464	0.156489	0.544961	0.0722404	0.121644	0.00501665	0.000274674	0.047028
n	0.0022504	0.0874401	0.877805	0.0184069	0.00516335	0.00120951	0.00158966	0.00613477
y	0.00635107	0.0688638	0.751409	0.13263	0.0032553	0.0172459	0.00313482	0.0171097
i	0.0165608	0.161698	0.645285	0.156055	0.00311949	0.00868639	0.00149905	0.00709722
m	0.0605507	0.0503646	0.195415	0.477073	0.14869	0.0457522	0.00625507	0.0158994
b	0.0261958	0.0148298	0.0393249	0.217004	0.620704	0.0133239	0.00938822	0.0592296
a	0.000744781	0.000678857	0.0266484	0.0962579	0.849161	0.00382523	0.00348755	0.0191964
e	0.00429529	0.00435284	0.0491755	0.299568	0.536242	0.0456605	0.00193635	0.0587694
y	0.00137099	0.00841234	0.0164349	0.0969191	0.0904339	0.467595	0.16688	0.151954
á	0.00360819	0.0285236	0.0354922	0.109404	0.0110407	0.290455	0.335407	0.186069
o	0.00339244	0.0083227	0.0229849	0.0338084	0.00374142	0.277253	0.458111	0.192386
k	0.00027807	0.0033405	0.00437307	0.00755023	0.00645516	0.0558106	0.838059	0.0841334
o	7.20544e-05	0.000558856	0.00267592	0.00103011	0.00384407	0.00632044	0.979615	0.00588396
n	4.51249e-05	0.000403388	0.00484319	0.00276848	0.0109123	0.00907541	0.955346	0.0166059
d	0.000352218	0.000619419	0.000675683	0.00114591	0.00277132	0.00658688	0.920659	0.0671893
z	0.000456515	0.000295214	0.000543056	0.000616847	0.00195704	0.00412503	0.945913	0.046093
i	0.000112221	0.000135207	0.0005658	0.00150165	0.00811458	0.0073188	0.93108	0.0511716
</S>	0.0068716	0.0134897	0.00881112	0.0179358	0.00637695	0.137946	0.0368954	0.771674
