 	les	femmes	percent	les	oreilles	pour	porter	les	boucles	</S>
a	0.920833	0.0742893	0.000681718	0.00153655	0.00085027	0.00112322	0.000244482	0.000374913	5.45038e-05	1.17822e-05
y	0.0626042	0.924434	0.0114985	0.000355614	0.000180409	0.000162983	0.000443742	0.000103139	0.000185287	3.22104e-05
ú	0.24302	0.693848	0.0513008	0.00402017	0.00230165	0.00109112	0.00249243	0.000317728	0.000466262	0.00114162
r	0.368542	0.619664	0.00147515	0.00101744	0.000601117	0.000937668	0.00161798	0.000488004	0.00230135	0.0033555
u	0.658293	0.318516	0.0032016	0.00346012	0.0043884	0.00327155	0.00124543	0.00136198	0.00223767	0.00402413
b	0.321783	0.0351473	0.357079	0.108727	0.0262343	0.0340075	0.00869815	0.0406364	0.00414638	0.0635411
á	0.413436	0.0122346	0.119386	0.224405	0.0979551	0.0620662	0.00777086	0.0350791	0.00107845	0.0265896
a	0.286629	0.0431302	0.319238	0.20087	0.0476178	0.0249693	0.0270528	0.0168195	0.00228547	0.0313876
t	0.00533725	0.0221432	0.696545	0.123161	0.0438877	0.0114749	0.0712488	0.00379349	0.000727147	0.0216822
ú	0.00171439	0.00310192	0.909627	0.0199609	0.0414566	0.00356709	0.0109608	0.000943565	0.00142857	0.00723928
b	0.0169823	0.0241072	0.819019	0.0460233	0.0649235	0.0053372	0.0064201	0.00139226	0.00339922	0.0123965
h	0.0533164	0.00291045	0.605444	0.0807736	0.227838	0.0219279	0.000826585	0.00269118	0.000695935	0.00357594
á	0.0238755	0.00721867	0.259471	0.307477	0.262778	0.0781018	0.00290482	0.0117679	0.00517153	0.0412342
a	0.0243265	0.00320557	0.0299228	0.326857	0.327096	0.213265	0.0406761	0.013773	0.00386666	0.0170114
t	0.00904712	0.0126661	0.017525	0.153275	0.31199	0.246931	0.225975	0.0135133	0.00271947	0.00635777
ú	0.000642929	0.000233552	0.0198819	0.0709911	0.588861	0.157998	0.113184	0.0144734	0.0153574	0.0183762
e	0.00151938	0.000502278	0.0142269	0.0845803	0.566045	0.171231	0.0606414	0.0130924	0.0306552	0.0575061
m	0.0034541	0.00043251	0.00124686	0.056589	0.154182	0.526162	0.0884702	0.13852	0.0109617	0.0199813
í	0.00836221	0.00542464	0.000125203	0.013423	0.0905946	0.399402	0.0762803	0.210645	0.0292501	0.166492
l	0.00290273	0.0010793	0.000633151	0.0165236	0.0217155	0.104303	0.600504	0.188101	0.03082	0.0334177
á	0.00220358	0.00175479	0.000515644	0.0206246	0.0124346	0.0763708	0.602175	0.171808	0.0069238	0.105189
r	0.0014688	0.000174295	0.000158986	0.00671516	0.00576366	0.0558804	0.44599	0.273822	0.131312	0.0787142
a	0.00100079	0.0010454	0.000350934	0.00765093	0.00710129	0.0362478	0.63023	0.245049	0.0272293	0.0440944
l	0.0002575	9.64096e-05	0.000260861	0.00569757	0.00606568	0.0519997	0.163513	0.448142	0.113037	0.21093
á	0.00279069	0.00082959	0.0032212	0.0207686	0.012299	0.0412937	0.224233	0.239982	0.0623235	0.392259
m	0.00687048	0.000942564	0.000797634	0.0142021	0.00625644	0.0326728	0.0476163	0.335281	0.480803	0.0745581
y	0.0034393	0.0173638	5.59864e-05	0.00424886	0.00623133	0.0629493	0.0654853	0.326369	0.332081	0.181776
e	0.000362216	0.000451523	5.55665e-05	0.000423986	0.00538429	0.0147276	0.0327594	0.0622963	0.768086	0.115453
r	0.000450176	0.000512715	0.00225533	0.00280286	0.00754091	0.0140612	0.0549798	0.134837	0.430726	0.351835
é	0.000653173	0.00556097	0.000658298	0.00204403	0.00602413	0.0144223	0.077114	0.140161	0.440776	0.312586
m	0.000295064	0.000353189	0.000524461	0.004749	0.00565516	0.0329386	0.049841	0.184982	0.185702	0.534959
á	0.0097377	0.000694405	0.00466752	0.0243929	0.0491373	0.105035	0.0120169	0.42693	0.13786	0.229529
t	0.00740384	0.00108375	0.00226085	0.0231098	0.0154823	0.0416968	0.0288796	0.256088	0.417446	0.206549
ú	0.000197867	5.52615e-05	0.00157059	0.00268297	0.00641112	0.00635038	0.00200445	0.0271048	0.867826	0.0857969
e	0.000171953	0.000115716	0.000231889	0.000304528	0.000831499	0.00114287	0.00200767	0.0111774	0.711463	0.272553
</S>	0.00248641	0.000455123	0.00258147	0.0113189	0.00986563	0.0299838	0.00939429	0.212758	0.0883962	0.632761
