 	le	fruit	sauvage	esie	est	acide	</S>
e	0.52794	0.424093	0.0258252	0.00830269	0.0131081	0.000364417	0.000366057
s	0.0860589	0.634965	0.171482	0.0770299	0.0232666	0.0035031	0.00369501
i	0.248874	0.537722	0.0691205	0.107748	0.0123656	0.00792588	0.0162436
έ	0.109256	0.234341	0.0887223	0.068534	0.0446118	0.129563	0.324972
é	0.0843996	0.114396	0.115598	0.11959	0.177689	0.00315045	0.385176
d	0.126205	0.0958383	0.0391861	0.0934134	0.463167	0.0358402	0.14635
í	0.00344656	0.0058491	0.00342606	0.00758835	0.0771965	0.0194393	0.883054
l	0.00250651	0.00241943	0.0196139	0.170605	0.1673	0.281933	0.355621
a	0.00230768	0.00540375	0.01107	0.0112118	0.0665023	0.308254	0.595251
n	0.00204662	0.00233835	0.0041531	0.0069757	0.0342477	0.846879	0.103359
g	0.00247452	0.00449627	0.00244241	0.00357696	0.0312183	0.580412	0.375379
a	0.00421683	0.0106168	0.00407609	0.0108259	0.0616603	0.586477	0.322127
n	0.000102136	0.000124304	0.000154577	0.000554045	0.00371964	0.823133	0.172213
y	0.00883975	0.0154	0.00239692	0.000822562	0.0109292	0.28116	0.680452
i	0.000231208	0.000341549	0.00019917	0.000624972	0.00321273	0.523915	0.471476
</S>	0.000712861	0.00129502	0.000500937	0.000967532	0.0230348	0.0598186	0.91367
