 	les	buffles	se	sont	affolés	</S>
a	0.498212	0.455817	0.0453469	0.000571414	1.76552e-05	3.47022e-05
n	0.0154645	0.978541	0.00527175	0.000467786	0.000183613	7.09009e-05
d	0.0795386	0.904922	0.0123514	0.000732412	1.39902e-05	0.00244123
z	0.0123042	0.984455	0.00227231	0.000265065	1.47333e-05	0.000688848
á	0.0147822	0.98118	0.00264191	0.000100452	2.98842e-06	0.00129197
a	0.125717	0.829627	0.0225009	0.00177497	0.000167817	0.0202128
á	0.117427	0.024529	0.806538	0.0393444	0.000857453	0.0113044
b	0.0122668	0.00624693	0.124874	0.806225	0.0316632	0.0187241
á	0.0192944	0.02502	0.148117	0.67543	0.0606473	0.0714914
l	0.0270998	0.0196137	0.0888645	0.384297	0.334665	0.145459
í	0.0515136	0.00635	0.243438	0.488459	0.133732	0.0765071
o	0.0833929	0.00624661	0.0833216	0.211671	0.338142	0.277225
b	0.00565256	0.0044863	0.00578026	0.155336	0.724481	0.104264
h	0.00228468	0.00193231	0.00708343	0.0533617	0.896043	0.0392948
ó	0.0042039	0.000992321	0.0116635	0.124877	0.733638	0.124625
a	0.0189125	0.00575501	0.0144341	0.102486	0.19005	0.668362
</S>	0.128006	0.0113386	0.0393371	0.227806	0.013503	0.580009
