 	si	je	meurs	enterrez-moi	dans	la	forêt	oyoa	avec	une	guitare	sur	la	poitrine	</S>
w	0.969799	0.0174704	0.00270352	9.13526e-05	0.00340769	0.00210518	0.00299072	9.54214e-05	0.000481031	0.000261454	6.69075e-05	0.000258013	0.000245244	2.14508e-05	2.72897e-06
á	0.972448	0.0250708	0.000309058	3.10692e-06	0.000745452	0.000629782	0.000564452	6.02504e-05	8.92252e-05	2.59524e-05	4.65889e-06	2.52456e-05	2.34076e-05	5.91495e-07	5.21825e-07
á	0.439948	0.259651	0.0678914	0.0286041	0.0132261	0.0290604	0.0206694	0.0267464	0.0355398	0.018089	0.00616502	0.00910898	0.0082624	0.00170055	0.0353368
n	0.115155	0.673042	0.0914643	0.00772678	0.0199177	0.0114194	0.0113692	0.00572507	0.00925919	0.00494136	0.00427993	0.00867674	0.00953652	0.0035793	0.0239074
g	0.175886	0.788983	0.00815821	0.000454694	0.0056363	0.00241831	0.00168223	0.00124798	0.0017205	0.00141289	0.00164499	0.00229084	0.00164747	9.58879e-05	0.00672063
á	0.0396065	0.923885	0.0225452	0.000801969	0.00220113	0.00158444	0.000849701	0.00244933	0.00159823	0.000682662	0.000680931	0.000791015	0.000755179	0.000122782	0.00144598
i	0.093178	0.394354	0.221727	0.0119695	0.0528519	0.0322565	0.0328639	0.00645576	0.0207061	0.017472	0.00899586	0.0302953	0.0230705	0.00312829	0.050675
w	0.00238889	0.0928612	0.814267	0.0443125	0.00725776	0.00802938	0.00356763	0.00771793	0.00782184	0.00409482	0.00100215	0.000772329	0.000943821	0.00270586	0.0022567
é	0.00200455	0.103383	0.743833	0.0305391	0.0295342	0.0248398	0.0108581	0.0137816	0.0210858	0.00823699	0.00181427	0.00249749	0.0031667	0.000494103	0.00393116
l	0.00349515	0.104066	0.736797	0.0796217	0.0217624	0.0076744	0.00548135	0.00338266	0.00704579	0.00461543	0.00262074	0.00279065	0.00251722	0.00110094	0.0170286
é	0.00569081	0.0972198	0.565867	0.0511768	0.105082	0.0483498	0.0372629	0.00433962	0.0160945	0.014579	0.00910283	0.00891632	0.0095751	0.001343	0.0254007
e	0.00998499	0.231398	0.320776	0.0775342	0.223159	0.0346872	0.0293855	0.00543297	0.0140796	0.00890021	0.00541608	0.0146468	0.007872	0.00139274	0.0153339
k	0.000356982	0.00473747	0.14398	0.761631	0.0201585	0.0220979	0.00465767	0.00647411	0.00962027	0.00627887	0.0028112	0.0016394	0.00103832	0.00892608	0.00559226
u	2.88143e-05	0.000432191	0.0664425	0.821972	0.0282294	0.0371824	0.00782778	0.00573453	0.0120797	0.00598055	0.00194673	0.00174419	0.00100286	0.00439868	0.00499736
n	2.19156e-05	0.000188828	0.0217343	0.906637	0.016191	0.0153887	0.00216905	0.000899599	0.00400896	0.00617063	0.00406585	0.000875842	0.00086723	0.00132835	0.0194531
d	0.000840335	0.00147254	0.0202446	0.686703	0.0777734	0.0798917	0.00930092	0.00191756	0.0119939	0.0321083	0.0303299	0.00582894	0.00435515	0.000659872	0.0365797
á	0.00404996	0.00533404	0.0478036	0.575803	0.10353	0.138194	0.0178074	0.00875094	0.0127219	0.0284339	0.0291423	0.00495519	0.00267157	0.000421054	0.020381
n	0.00308222	0.00465954	0.00664774	0.0481123	0.314651	0.370351	0.19595	0.0171265	0.0120575	0.00700854	0.0041585	0.00634808	0.0020394	0.000540378	0.00726748
g	0.0148077	0.0341658	0.00607551	0.0228653	0.144014	0.429504	0.0998246	0.0550449	0.0165136	0.0220267	0.0494116	0.0285874	0.0189312	0.00197116	0.0562566
á	0.0290291	0.0677624	0.00498874	0.0238443	0.0798243	0.261868	0.143123	0.272387	0.0324217	0.0247561	0.0336685	0.00871888	0.00684301	0.00346516	0.00730072
s	5.77359e-05	0.000202539	0.00120274	0.00361443	0.0403471	0.213493	0.396753	0.134583	0.0890625	0.0550487	0.0225211	0.0259491	0.0115475	0.00138339	0.00423453
á	0.000363216	0.00152774	0.0078885	0.0107919	0.0923955	0.176305	0.119229	0.304038	0.0748484	0.0608555	0.0606473	0.0363852	0.0145412	0.0022827	0.0379004
o	0.000875713	0.00150127	0.000793174	0.00496311	0.0222255	0.076342	0.229817	0.480362	0.0567506	0.0546558	0.0405124	0.0119235	0.00670827	0.00839882	0.00417105
y	1.92677e-05	0.000474941	0.0044821	0.0533471	0.00518013	0.04712	0.0570986	0.566043	0.128205	0.0845199	0.0333807	0.00584767	0.00193016	0.0106375	0.00171361
o	6.32755e-05	0.00167938	0.00451791	0.0130908	0.0117212	0.029747	0.0513315	0.808649	0.0290262	0.0280573	0.013444	0.00226101	0.00185046	0.00178554	0.00277564
á	0.000141343	0.00114243	0.00246994	0.0468665	0.00922683	0.0667672	0.0526031	0.529344	0.050586	0.0737818	0.0477075	0.00458367	0.00351814	0.0119674	0.0992939
l	3.95483e-05	0.000279705	0.00062177	0.00219394	0.0162451	0.0417793	0.133033	0.0750432	0.256875	0.21303	0.114082	0.0812137	0.0331423	0.00496915	0.0274528
e	0.000414857	0.00139525	0.00186398	0.00566275	0.0177222	0.04481	0.0438697	0.0731284	0.214517	0.215013	0.186832	0.0485152	0.0326768	0.0134314	0.100148
n	1.45675e-05	0.000317127	0.000446917	0.00176896	0.00417224	0.0195215	0.0723415	0.078319	0.244422	0.304182	0.172655	0.045557	0.0248225	0.0126005	0.0188586
d	0.00027533	0.00255391	0.00193642	0.01061	0.0129587	0.0366592	0.01998	0.178402	0.137116	0.218622	0.311462	0.0286323	0.0178033	0.00263715	0.0203522
ú	4.01812e-05	0.000276282	0.000327315	0.00634238	0.00333961	0.0196062	0.0186046	0.208513	0.107168	0.179838	0.369678	0.0293506	0.0141345	0.00657793	0.0362034
m	3.63945e-05	8.33818e-05	9.66954e-05	0.00296756	0.00552958	0.021829	0.015132	0.101343	0.0902956	0.251963	0.410473	0.0420567	0.0296274	0.00404867	0.024518
a	0.0018385	0.00154113	0.000988444	0.000332028	0.013645	0.0191149	0.0590396	0.00813848	0.127809	0.177151	0.226439	0.167264	0.0882403	0.00605002	0.102409
s	1.27621e-05	0.000151352	0.000141443	0.000244873	0.00261738	0.00396926	0.0117129	0.0028624	0.0807775	0.121935	0.131736	0.285173	0.229227	0.0275336	0.101905
a	3.86345e-05	0.000174885	0.000930086	0.00237256	0.016592	0.0151176	0.0217569	0.0261789	0.109906	0.180421	0.312431	0.125838	0.102902	0.0311042	0.054237
a	1.35055e-05	0.000106242	0.000142453	0.000382394	0.00685258	0.00470532	0.0245807	0.0130261	0.0463173	0.096278	0.234961	0.235198	0.202054	0.0728029	0.0625798
m	2.5591e-05	0.000657482	0.00132249	0.00382824	0.00575448	0.00684039	0.0054092	0.0109195	0.0649251	0.101755	0.156459	0.176173	0.208987	0.15036	0.106583
ó	2.29879e-05	0.000340084	0.00307473	0.000527607	0.00704297	0.00361963	0.00403908	0.00935898	0.066481	0.143754	0.137049	0.263861	0.159309	0.0147992	0.18672
t	8.73168e-06	0.000124397	0.000981704	0.00049623	0.00522838	0.0076822	0.0156298	0.00951152	0.0689701	0.122153	0.096698	0.161447	0.206819	0.242128	0.0621209
é	3.11913e-06	6.48656e-05	0.000145265	0.00235347	0.000534805	0.00176818	0.00172426	0.00360251	0.0240213	0.064552	0.0832408	0.0138475	0.0303688	0.723583	0.0501899
m	1.31681e-06	7.16373e-06	1.85844e-05	0.000532492	0.000162766	0.000532987	0.00142826	0.00101461	0.0201536	0.0457191	0.0643784	0.0259661	0.0467766	0.679462	0.113846
a	2.72475e-06	1.2533e-05	0.000204888	0.00024632	0.00113906	0.00189924	0.00116192	0.00096578	0.042322	0.0932735	0.130212	0.229208	0.196204	0.0706285	0.23252
</S>	8.29803e-06	0.000141549	0.000216855	0.00043682	0.00229259	0.00210069	0.00297401	0.00084152	0.0184613	0.0358776	0.0533196	0.117142	0.161906	0.0968978	0.507383
