 	cet	homme-ci	est	un	grand	sorcier	</S>
m	0.635282	0.220459	0.0219745	0.0477837	0.0647509	0.00411491	0.00563493
o	0.748313	0.249822	0.000384223	0.000214056	0.000531089	0.000160965	0.00057468
r	0.579629	0.405758	0.00414985	0.00102767	0.00280121	0.00245462	0.00418009
o	0.744632	0.186302	0.00603948	0.00401716	0.0072786	0.0308358	0.0208948
w	0.818607	0.119492	0.0552462	0.00175629	0.000835659	0.000242725	0.00382056
ó	0.570274	0.0299523	0.229648	0.0685662	0.0527959	0.00489349	0.0438701
a	0.135838	0.00315308	0.392234	0.0809503	0.034537	0.0040085	0.349279
d	0.00411451	0.00122493	0.344921	0.45511	0.0884139	0.00912052	0.0970953
í	0.011963	0.00560865	0.112094	0.615875	0.0455565	0.00554077	0.203362
e	0.00871563	0.000312626	0.20803	0.46087	0.168645	0.0246642	0.128763
k	0.00213391	0.000884237	0.01048	0.432	0.235199	0.165885	0.153417
i	0.000159908	0.000119741	0.00669611	0.0984097	0.105256	0.694462	0.0948969
í	0.000431073	0.000347482	0.0200924	0.103092	0.214388	0.385798	0.275851
n	0.00232576	0.000105958	0.0271002	0.150865	0.411015	0.124971	0.283616
a	0.00578872	0.000328619	0.00358499	0.141011	0.319594	0.200526	0.329167
</S>	0.00110881	6.10987e-05	0.0166345	0.0468602	0.152317	0.0881408	0.694878
