 	tu	gaspilles	de	l'	argent	</S>
n	0.885373	0.0136347	0.0519166	0.04707	0.00123497	0.000771234
ω	0.992758	0.000421833	0.000950419	0.00518227	0.000637185	4.98435e-05
l	0.42379	0.401279	0.0402808	0.0308711	0.0884582	0.0153204
ó	0.0557706	0.104105	0.0411865	0.0236124	0.0147885	0.760537
o	0.45697	0.314598	0.0719358	0.0300256	0.0374676	0.0890029
p	0.00350667	0.928235	0.0557725	0.00207965	0.00138341	0.00902311
ώ	0.00144735	0.938692	0.0376417	0.00105075	0.000827307	0.0203412
s	0.0226915	0.812827	0.135966	0.00811222	0.00315582	0.0172472
ώ	0.146358	0.551248	0.19561	0.0283174	0.00224893	0.0762173
ώ	0.0543827	0.170131	0.380762	0.3112	0.028002	0.055522
m	0.0457854	0.0049969	0.341729	0.528932	0.0580808	0.0204764
b	0.000617995	0.00248605	0.0648115	0.137498	0.627332	0.167254
ó	0.000132973	0.0002833	0.0159092	0.0253737	0.95241	0.00589082
n	0.000817037	0.00721708	0.0349926	0.00948252	0.925153	0.0223374
g	0.0302513	0.00615401	0.0492768	0.110201	0.683964	0.120153
ω	0.161745	0.00355187	0.022903	0.0491046	0.736642	0.0260532
</S>	0.00485317	0.00208495	0.0731555	0.209319	0.259767	0.450821
