 	on	recherchait	une	bouffée	d'	air	frais	</S>
l	0.558423	0.132366	0.248107	0.015521	0.0372626	0.00640626	5.11052e-05	0.00186234
é	0.238891	0.665587	0.0623675	0.011373	0.0187053	0.000212908	0.000555686	0.00230758
d	0.0935431	0.758881	0.0711905	0.0582118	0.00956361	0.00192324	0.000367848	0.00631842
z	0.00713554	0.820619	0.0632353	0.00789968	0.00288518	0.00190172	0.000276195	0.0960475
e	0.00931644	0.770994	0.189511	0.0073288	0.00750826	0.000829037	7.88333e-05	0.0144337
l	0.0186317	0.176227	0.0854582	0.00647929	0.0158343	0.00589004	0.0147288	0.67675
é	0.0359447	0.165805	0.194078	0.0293198	0.0691369	0.0136495	0.00375975	0.488307
e	0.0548137	0.0647838	0.35489	0.310795	0.116614	0.0271616	0.00407705	0.0668645
y	0.02908	0.0686007	0.222704	0.325525	0.101221	0.110007	0.0719114	0.0709508
é	0.00331076	0.0873313	0.15286	0.257977	0.296978	0.0829868	0.0513057	0.0672502
n	0.00522122	0.0610873	0.145491	0.0720793	0.215918	0.0491186	0.0519311	0.399154
g	0.0201182	0.0253963	0.13765	0.392988	0.37036	0.0114417	0.00313987	0.0389059
á	0.0553492	0.0976004	0.247369	0.3403	0.200837	0.00434318	0.00178099	0.052421
y	0.0153421	0.00572356	0.128217	0.225485	0.538781	0.0623751	0.00829807	0.0157773
a	0.0161308	0.029733	0.256177	0.200668	0.338965	0.136523	0.00394997	0.0178524
á	0.0189871	0.0249384	0.144583	0.149261	0.45393	0.154271	0.0176795	0.0363497
o	0.00536342	0.00384254	0.0103146	0.0885129	0.110835	0.674374	0.0373598	0.0693983
p	0.00325101	0.0112263	0.00746603	0.00644208	0.0170732	0.480856	0.443146	0.0305392
ε	9.2057e-05	0.000361039	0.000271203	0.000220612	0.00302994	0.058439	0.916018	0.0215679
p	0.00192883	0.000790649	0.00410998	0.00478189	0.0410249	0.117917	0.763512	0.0659344
ε	0.0121967	0.00828146	0.0147337	0.0223236	0.171845	0.212525	0.366757	0.191338
</S>	0.00216313	0.000500117	0.00454432	0.0318953	0.0606732	0.0568155	0.294805	0.548603
