 	je	suis	en	train	de	manger	l'	igname	yaa	</S>
n	0.74276	0.088603	0.0562493	0.0725066	0.03533	0.000173078	0.00406317	6.24181e-05	1.12719e-05	0.000240762
g	0.92814	0.0617006	0.00715597	0.000167258	0.000849129	1.13395e-05	0.00161678	3.09395e-05	5.0269e-05	0.000278008
á	0.807709	0.142776	0.0407103	0.000355694	0.000931145	0.00148108	0.0052325	0.00034857	0.000105924	0.000349905
b	0.0685824	0.461364	0.401902	0.0183366	0.00835183	0.00382443	0.010585	0.00232701	0.000288141	0.0244388
ó	0.136882	0.107969	0.307639	0.413757	0.022174	0.00317871	0.00287165	0.00055705	0.000190945	0.00478085
l	0.0332064	0.179857	0.454767	0.153591	0.120749	0.0339933	0.0175974	0.0038966	0.000303963	0.00203825
í	0.40236	0.126794	0.0365012	0.00277515	0.0992832	0.0233322	0.128095	0.00962438	0.00170154	0.169533
i	0.433869	0.197828	0.0713166	0.00620588	0.151883	0.0587353	0.0390959	0.0137183	0.00197008	0.0253781
d	0.00345029	0.012385	0.0105893	0.000745914	0.0326399	0.898542	0.00491999	0.0264102	0.00785077	0.00246634
z	0.000429424	0.00345273	0.00150456	0.000136165	0.00280314	0.977621	0.000816826	0.00917854	0.00358347	0.000474193
á	0.00619844	0.00269229	0.000525429	9.15083e-06	0.00212975	0.981316	0.000551222	0.00560377	0.000764575	0.000209315
á	0.00228889	0.00857894	0.00352196	0.00113797	0.0898156	0.205944	0.119349	0.38469	0.124346	0.0603277
y	0.00380571	0.00287869	0.00166724	0.00100134	0.0841215	0.0174498	0.252874	0.440979	0.179902	0.0153203
a	0.000426302	0.00351317	0.00223934	4.83905e-06	0.00544842	0.0081156	0.0377297	0.422126	0.486751	0.0336455
á	0.00137202	0.00111998	0.000504018	3.7485e-06	0.00438618	0.00424687	0.0192677	0.177677	0.782178	0.00924507
</S>	0.00154016	0.00287303	0.00264232	0.000487613	0.0171943	0.00726284	0.0717252	0.289154	0.318595	0.288526
