 	son	père	est	un	homme	bienveillant	</S>
t	0.230919	0.766034	0.00164403	0.000464218	0.000718389	0.000203225	1.7693e-05
á	0.0119184	0.986657	0.000752968	0.000357406	0.000142446	0.000111395	6.03808e-05
á	0.0288607	0.858123	0.0560868	0.0252542	0.00624674	0.00255448	0.0228739
y	0.23779	0.308797	0.308736	0.040816	0.00765388	0.00365713	0.0925496
a	0.398591	0.0596906	0.3419	0.0903268	0.00387844	0.0146797	0.0909337
w	0.964603	0.00823975	0.0183077	0.00411447	0.000131505	0.00051864	0.00408504
a	0.50744	0.0700857	0.155155	0.187108	0.0210625	0.0241801	0.0349688
a	0.452805	0.0538481	0.373482	0.0896823	0.0167853	0.0025602	0.0108374
d	0.00606554	0.00086657	0.591016	0.2747	0.0851777	0.00816827	0.0340061
í	0.00763623	0.0002025	0.381995	0.297671	0.0140314	0.0125133	0.285951
m	0.0395954	0.00015137	0.26301	0.383615	0.133291	0.0219319	0.158406
o	0.00664797	0.000448247	0.0988402	0.288256	0.0715379	0.365619	0.16865
r	0.00144082	0.00116264	0.145013	0.405929	0.229552	0.0911939	0.125708
o	0.0237901	0.000530994	0.0561125	0.453938	0.0467848	0.35085	0.0679929
ω	0.00973272	4.97548e-05	0.0674672	0.0705135	0.0451965	0.111544	0.695497
n	0.00146763	2.62673e-05	0.0440784	0.160857	0.399998	0.27614	0.117432
έ	0.00254234	0.000150512	0.00517154	0.0351199	0.0123178	0.609792	0.334906
</S>	0.00162607	4.2141e-05	0.0392948	0.164299	0.0319249	0.161878	0.600936
