 	il	y	a	une	petite	brouille	entre	eux	</S>
é	0.33403	0.460819	0.117215	0.0294879	0.0344739	0.00228415	0.0203494	0.00121635	0.00012397
d	0.0776814	0.386525	0.140344	0.269609	0.090425	0.0228613	0.00577118	0.00553435	0.00124946
í	0.0302798	0.0617401	0.0936454	0.443963	0.255984	0.0609711	0.00683669	0.00405517	0.042525
l	0.00500446	0.0319834	0.150788	0.222475	0.242062	0.0472919	0.0426141	0.00445526	0.253326
a	0.025433	0.0230892	0.255969	0.111936	0.0696679	0.0323936	0.0141561	0.0280754	0.43928
y	0.0177356	0.0223345	0.13723	0.183508	0.109436	0.149706	0.1108	0.0971842	0.172066
a	0.00109373	0.0049347	0.0215584	0.200083	0.0990642	0.414547	0.0320062	0.0075056	0.219207
á	0.00280885	0.00182728	0.017733	0.0708034	0.0478236	0.128163	0.0285181	0.0598065	0.642516
ω	0.0138754	0.0114161	0.200831	0.162143	0.223412	0.133214	0.190839	0.0321868	0.0320826
t	0.000435518	0.00131452	0.0118902	0.0503778	0.0595372	0.782981	0.062119	0.0247867	0.00655822
ω	0.000169883	0.000995802	0.00655395	0.0452479	0.0310963	0.818238	0.0223391	0.00382786	0.0715316
o	0.0020668	0.0092073	0.0531348	0.0878777	0.0677805	0.384952	0.304304	0.0114662	0.0792112
p	0.00859743	0.00526555	0.0572115	0.053792	0.174518	0.0454147	0.205942	0.357675	0.0915843
á	0.0199789	0.0308305	0.0438172	0.0514389	0.0828008	0.353952	0.274287	0.0372184	0.105676
n	0.00714839	0.00611382	0.0223567	0.00997606	0.0196333	0.0740667	0.149301	0.388234	0.323169
y	0.00797936	0.00309505	0.00904557	0.0134809	0.0257096	0.0939482	0.381634	0.283392	0.181716
á	0.00836097	0.00401154	0.0045422	0.00819925	0.0173295	0.385047	0.285622	0.0921059	0.194782
á	0.00915384	0.00281891	0.0270668	0.0163998	0.0430435	0.0148701	0.107498	0.482639	0.296509
b	0.00400125	0.00688765	0.0509222	0.0232999	0.0370599	0.0171273	0.178605	0.428948	0.253149
á	0.00912652	0.01922	0.0229448	0.00881685	0.0373105	0.0126439	0.241932	0.608317	0.0396883
a	0.00714248	0.00925856	0.0104038	0.00419488	0.0153623	0.00865137	0.459401	0.285882	0.199704
</S>	0.00144955	0.00226833	0.0153904	0.0146554	0.0154616	0.00827684	0.0797416	0.129229	0.733528
