 	ils	se	sont	brouillés	</S>
b	0.979104	0.0153507	0.00305339	0.00189539	0.000596782
á	0.945305	0.0340457	0.0191305	0.00111192	0.000407111
a	0.932944	0.0490261	0.00857782	0.000931153	0.00852093
á	0.199357	0.320644	0.341691	0.0163224	0.121985
b	0.0198586	0.485293	0.402198	0.0489897	0.0436607
h	0.0959657	0.570211	0.222891	0.0135056	0.0974262
í	0.0500491	0.582009	0.182638	0.0219889	0.163316
o	0.00939567	0.11066	0.11164	0.177524	0.59078
t	0.00859437	0.0781185	0.167664	0.509375	0.236248
s	7.32586e-05	0.0417044	0.0112438	0.882834	0.0641442
a	0.00244051	0.248092	0.0714566	0.539872	0.13814
o	0.00274145	0.0337413	0.05834	0.115624	0.789553
t	0.0020835	0.0463955	0.153759	0.113568	0.684194
s	0.000737041	0.0500382	0.0739718	0.457365	0.417888
a	0.000187491	0.0522193	0.0382853	0.794626	0.114682
</S>	0.000904793	0.00444971	0.0215159	0.0546462	0.918483
