 	il	ne	sent	pas	cette	odeur	</S>
w	0.78511	0.158728	0.00362838	0.0247333	0.0212234	0.00486655	0.00170969
a	0.768197	0.11825	0.00122475	0.00871135	0.0979111	0.00506455	0.0006413
a	0.293209	0.578947	0.0278377	0.0196501	0.045277	0.00119212	0.0338867
d	0.0601997	0.537465	0.109826	0.0720689	0.0668074	0.0239075	0.129726
í	0.0263108	0.573014	0.15521	0.0258328	0.0147948	0.00076771	0.204069
t	0.0102412	0.064937	0.316549	0.141434	0.05797	0.0239435	0.384925
s	0.0151819	0.0823119	0.464413	0.309476	0.0463327	0.0400262	0.0422575
o	0.0028759	0.0258831	0.538708	0.31869	0.0717602	0.0273706	0.0147119
l	0.003369	0.0177856	0.457048	0.344342	0.0743167	0.0763936	0.0267455
o	0.0192042	0.060615	0.230076	0.3295	0.10383	0.0743948	0.18238
y	0.00356485	0.0330482	0.0607824	0.419056	0.231	0.170367	0.0821812
é	0.00963529	0.0271781	0.063456	0.209878	0.25553	0.211985	0.222338
n	0.0016307	0.00502562	0.020771	0.0506662	0.166298	0.686628	0.068981
o	0.00386644	0.00591081	0.00824752	0.0794536	0.451927	0.161667	0.288927
b	0.00224498	0.0171341	0.020391	0.124882	0.2858	0.0854748	0.464073
ó	0.00826378	0.0074866	0.00544429	0.177558	0.14939	0.110286	0.54157
n	0.00475824	0.00460722	0.00834315	0.151461	0.258631	0.230165	0.342034
d	0.018005	0.0119054	0.00820708	0.0879891	0.496027	0.0888183	0.289048
a	0.00121927	0.0018795	0.00326525	0.0105828	0.103338	0.0416919	0.838023
k	0.00057388	0.00170264	0.00212944	0.0191937	0.151708	0.0348763	0.789816
a	0.00483929	0.0112195	0.0103963	0.242513	0.187288	0.335564	0.20818
á	0.000564275	0.00199347	0.0028735	0.0481421	0.111469	0.0452954	0.789662
</S>	0.00204366	0.00831195	0.00774228	0.0248446	0.0922761	0.00975725	0.855024
