 	il	se	trouve	là	où	on	vend	la	viande	</S>
w	0.610994	0.245941	0.0509456	0.0249245	0.0233614	0.0197409	0.014225	0.00885906	0.000828055	0.00018085
a	0.498816	0.187107	0.0603931	0.0375227	0.103441	0.050154	0.00391467	0.042865	0.0156849	0.000101429
a	0.12796	0.347542	0.326648	0.0514976	0.0486884	0.0347024	0.0115331	0.0383223	0.00540415	0.00770142
d	0.0474261	0.349829	0.210591	0.0871203	0.0728001	0.0630851	0.0486144	0.0639691	0.00159437	0.0549701
i	0.024101	0.235332	0.258528	0.138066	0.0779872	0.0695627	0.0105814	0.0250574	0.0018179	0.158968
ó	0.00773716	0.145895	0.189891	0.214499	0.197323	0.0854599	0.0270569	0.0421084	0.00146551	0.0885643
e	0.01008	0.0960195	0.147079	0.255439	0.180095	0.146809	0.120149	0.0247037	0.0054554	0.0141714
b	0.0036729	0.0883977	0.094979	0.328762	0.081395	0.088341	0.164965	0.0388401	0.0212884	0.0893589
é	0.00458847	0.0821318	0.0257382	0.208275	0.0321517	0.0798075	0.533503	0.0186067	0.00311575	0.0120816
e	0.0071465	0.104609	0.0614642	0.218726	0.0842824	0.188323	0.195492	0.0206922	0.00301247	0.116251
y	0.00830609	0.0155412	0.0923714	0.134542	0.148099	0.287724	0.227835	0.0601309	0.00298894	0.0224611
é	0.00803962	0.0285202	0.213632	0.215686	0.156318	0.0945643	0.0184773	0.0791179	0.0765532	0.109091
é	0.0036956	0.0105099	0.0888286	0.110249	0.327261	0.215806	0.0361602	0.11136	0.0449131	0.0512162
k	0.00166173	0.0153129	0.0216869	0.0489524	0.06376	0.159053	0.431195	0.165868	0.0726468	0.0198639
i	0.000355797	0.00380484	0.00317984	0.0165281	0.00681236	0.013376	0.890733	0.0330216	0.00390099	0.0282874
r	4.44068e-05	0.000964276	0.0012428	0.0112497	0.00442115	0.0111798	0.908241	0.0156038	0.00310469	0.0439482
á	0.00132695	0.00506651	0.0326547	0.159797	0.0693576	0.0848165	0.28679	0.112235	0.0319334	0.216022
b	0.00537875	0.0050564	0.0286159	0.0573201	0.159558	0.26398	0.103303	0.234716	0.0445037	0.0975684
á	0.0237305	0.0332635	0.0165828	0.0316792	0.0954652	0.450719	0.125972	0.127133	0.0281915	0.0672623
a	0.0208207	0.0296262	0.00984767	0.029864	0.114332	0.431549	0.125752	0.0898348	0.0347028	0.113671
n	0.000623014	0.00521804	0.0117188	0.0190474	0.0231552	0.056746	0.182052	0.399405	0.124691	0.177344
y	0.0038531	0.0140735	0.0288979	0.0344698	0.0745609	0.071069	0.0107538	0.151764	0.344216	0.266343
a	0.00119268	0.00378486	0.0119393	0.0123256	0.0295862	0.0264922	0.00393746	0.100123	0.620368	0.190252
m	0.000210397	0.000795308	0.00435677	0.00651457	0.00881444	0.0180421	0.0347766	0.190632	0.204375	0.531482
a	0.00334443	0.00611095	0.0345611	0.0389358	0.0522431	0.0258277	0.0150112	0.363091	0.349406	0.111468
</S>	0.00188618	0.00428309	0.0181396	0.0119094	0.033518	0.030364	0.0286726	0.324232	0.0364332	0.510561
