 	il	n'	y	a	plus	de	juge	dans	notre	vil-	lage	</S>
p	0.311311	0.19251	0.200807	0.116003	0.0360913	0.0319689	0.0654882	0.0248345	0.0129985	0.00418079	0.0031998	0.000605611
o	0.0433892	0.14513	0.0300706	0.067831	0.0857765	0.0931328	0.270211	0.101765	0.0340194	0.0720981	0.0544937	0.00208221
o	0.0206495	0.156922	0.0792486	0.110609	0.0561995	0.0448436	0.0892861	0.0597238	0.0127329	0.030979	0.169525	0.169282
y	0.0383355	0.213659	0.225569	0.229617	0.066015	0.033525	0.026126	0.0498775	0.026213	0.0191298	0.000777781	0.0711563
á	0.0578997	0.114825	0.129093	0.193649	0.0481859	0.0477743	0.0154341	0.0378297	0.0943268	0.0357153	0.00307053	0.222197
b	0.177858	0.0564875	0.158297	0.137999	0.0247718	0.0311929	0.0164038	0.0236234	0.30959	0.0112305	0.00517251	0.0473738
í	0.142202	0.0317318	0.0375214	0.0400692	0.0191003	0.0219997	0.0505442	0.0488976	0.595477	0.00738427	0.000156677	0.00491577
s	0.181876	0.037776	0.0354738	0.0268914	0.0136651	0.0195366	0.0630046	0.0404435	0.559784	0.00937712	0.00111616	0.0110558
í	0.0313706	0.0181292	0.0145597	0.0173695	0.0124188	0.0137444	0.0157821	0.0443962	0.757511	0.0138377	0.000106616	0.0607742
é	0.0059524	0.0311657	0.129079	0.134065	0.153842	0.0631963	0.0861679	0.0541288	0.0270088	0.0679917	0.00333661	0.244066
b	0.00379304	0.0307384	0.05123	0.148687	0.192514	0.0540504	0.0753198	0.0733487	0.0202774	0.211608	0.0255574	0.112875
h	0.00140058	0.0156235	0.0341357	0.0586713	0.151166	0.0600904	0.157122	0.242359	0.0572251	0.142522	0.00438116	0.0753035
i	0.000933744	0.0130863	0.0464892	0.0566662	0.133185	0.115232	0.152992	0.207914	0.0727556	0.129437	0.00853337	0.0627744
k	0.00141883	0.007474	0.022866	0.0319511	0.093764	0.126915	0.0779381	0.171246	0.100168	0.182878	0.0180379	0.165343
á	0.0012861	0.00379346	0.00808288	0.0202202	0.1048	0.11209	0.329987	0.138461	0.159589	0.0883119	0.0184941	0.0148843
n	0.00792669	0.015097	0.0366342	0.051837	0.119715	0.177394	0.268611	0.13007	0.102854	0.0172591	0.031333	0.0412686
i	0.00288886	0.00583947	0.0160994	0.0477679	0.167908	0.157013	0.273603	0.101058	0.100342	0.0569182	0.00717519	0.0633873
k	0.00132786	0.00559261	0.0439725	0.0576944	0.093293	0.142569	0.0758226	0.207623	0.142794	0.187238	0.00732354	0.0347498
a	0.000986437	0.00885299	0.00698397	0.0182189	0.106858	0.103317	0.289171	0.165222	0.0735321	0.0687258	0.128687	0.0294457
á	0.000317041	0.00220709	0.00669796	0.00913291	0.0652589	0.0625654	0.17714	0.262223	0.172364	0.0441402	0.047894	0.150059
</S>	0.00321958	0.00515301	0.00996813	0.0210935	0.0292355	0.0502567	0.0329813	0.220888	0.358791	0.081024	0.0279205	0.159468
