 	il	est	arrivé	à	grimper	jusqu'	en	haut	du	palmier	</S>
w	0.752737	0.140652	0.0579996	0.0258832	0.00465065	0.00185949	0.00631054	0.00294557	0.0061164	0.000653505	0.000192114
a	0.645685	0.153931	0.0768514	0.094374	0.0084901	0.000384294	0.0112104	0.000614816	0.00664971	0.00177228	3.62295e-05
á	0.181381	0.458103	0.233168	0.0823686	0.0215529	0.00119704	0.0135203	0.000928833	0.00567976	0.000330516	0.00176982
b	0.0978863	0.235615	0.181173	0.176926	0.0840905	0.0270941	0.0702733	0.0519863	0.0259309	0.00309291	0.0459317
h	0.05334	0.181966	0.138929	0.419716	0.0297986	0.0164004	0.0283496	0.0240307	0.0101023	0.0161071	0.0812599
e	0.0557831	0.176024	0.146211	0.479183	0.0420996	0.0329016	0.0186023	0.0334766	0.0042009	0.00357223	0.00794507
r	0.0161832	0.163485	0.155693	0.235106	0.0902985	0.0699475	0.029132	0.0402951	0.0224034	0.030603	0.146853
i	0.0843854	0.235001	0.36356	0.153069	0.0867295	0.00770686	0.0184163	0.00319826	0.01892	0.00106403	0.0279506
o	0.0596505	0.182884	0.288912	0.291558	0.0846466	0.0596736	0.00945537	0.00275284	0.00676156	0.0063573	0.00734754
l	0.00762568	0.0205157	0.0472294	0.382709	0.333954	0.141005	0.0108031	0.0385027	0.00334438	0.00909003	0.00522158
é	0.00218073	0.0205123	0.0823084	0.287085	0.439899	0.072671	0.0166797	0.0310504	0.00939218	0.00264277	0.0355788
á	0.00274761	0.0450856	0.148819	0.259447	0.218432	0.159995	0.0279686	0.0127053	0.0205645	0.00201512	0.10222
t	0.0160985	0.0470974	0.149585	0.20905	0.262074	0.186235	0.0754566	0.00883066	0.0163729	0.00264433	0.0265555
í	0.00110185	0.00515885	0.0219885	0.037548	0.0386692	0.842191	0.0189683	0.0206501	0.0028044	0.000396648	0.0105236
í	0.00398498	0.0246592	0.0856438	0.101807	0.103246	0.511333	0.0198991	0.0187242	0.0051028	0.00339003	0.12221
i	0.00362954	0.007959	0.029196	0.0616433	0.134577	0.199277	0.395116	0.0630269	0.0471664	0.0050398	0.0533688
k	0.00235103	0.00454978	0.00517811	0.0132541	0.0462756	0.101146	0.293641	0.451309	0.0572413	0.0066452	0.0184089
o	0.000196374	0.000742668	0.00182553	0.0126566	0.00835583	0.11012	0.112781	0.714598	0.0180509	0.00878307	0.0118904
ó	3.56087e-05	0.000238632	0.000550795	0.00653381	0.00462149	0.0379213	0.0384113	0.885838	0.00838635	0.00469752	0.0127651
l	0.00142415	0.00380726	0.00553514	0.0124534	0.0464767	0.0231131	0.369241	0.222355	0.18463	0.0199931	0.110971
á	0.00201486	0.00573084	0.0109035	0.0214317	0.0952448	0.0203872	0.217722	0.165599	0.161246	0.00577484	0.293945
i	0.0110505	0.0139443	0.0433106	0.0232915	0.0277853	0.00835053	0.231506	0.0677551	0.478287	0.0551365	0.0395824
b	0.00230212	0.00611661	0.00417736	0.00885976	0.0120654	0.00940693	0.0766523	0.448725	0.143565	0.214773	0.0733567
í	0.00020338	0.000989363	0.000455596	0.00335959	0.000542282	0.00186577	0.0274849	0.203269	0.0234738	0.732656	0.00569944
a	0.00154423	0.00338122	0.00410749	0.0131747	0.00479908	0.0192515	0.0851366	0.172321	0.129383	0.436256	0.130645
</S>	0.000608269	0.00288612	0.00564301	0.00777106	0.0113875	0.00729872	0.0856312	0.0589436	0.549586	0.141911	0.128333
