 	aucun	homme	n'	est	venu	hier	</S>
l	0.982391	0.0089015	0.00521953	0.00259005	0.000201018	0.000551879	0.000145382
a	0.755814	0.0930691	0.0736387	0.0441002	0.0208509	0.00465429	0.00787331
a	0.469047	0.162643	0.129251	0.0975956	0.0781268	0.0301654	0.033172
p	0.151341	0.411664	0.129539	0.0507158	0.0818374	0.0162114	0.158691
ó	0.0379081	0.256448	0.179928	0.0382848	0.0277067	0.0399924	0.419732
a	0.142738	0.353672	0.300617	0.0986417	0.0286726	0.0124652	0.0631925
s	0.0306791	0.569997	0.19193	0.175134	0.0109575	0.00259837	0.0187042
i	0.00405641	0.378022	0.189667	0.180327	0.0489154	0.00827278	0.19074
i	0.0439956	0.410509	0.162036	0.290147	0.0244449	0.0062762	0.0625918
b	0.0377419	0.356746	0.260552	0.0838216	0.0451189	0.0408418	0.175177
a	0.198816	0.29794	0.369529	0.0564192	0.0110307	0.00577429	0.0604903
a	0.0802398	0.224756	0.283325	0.102532	0.034045	0.00296132	0.27214
i	0.0038801	0.214037	0.145551	0.389551	0.127918	0.00434405	0.11472
p	0.00296944	0.072626	0.0889908	0.114487	0.373654	0.195202	0.152071
ω	0.00146068	0.0443499	0.0839256	0.0770107	0.110227	0.497334	0.185692
ώ	0.00357466	0.0803949	0.161767	0.231753	0.13544	0.152737	0.234333
í	0.00158923	0.0404304	0.0340919	0.285717	0.342596	0.101275	0.1943
d	0.00300286	0.0438979	0.0285226	0.101637	0.604396	0.107052	0.111492
z	0.000187962	0.011931	0.0072401	0.0307343	0.478983	0.0747023	0.396221
e	0.000253511	0.0261357	0.0387397	0.439116	0.121005	0.186949	0.187801
ω	0.00155582	0.0241269	0.0408642	0.168086	0.15106	0.0952611	0.519045
y	0.00225599	0.0168785	0.0124421	0.014603	0.312908	0.311514	0.329398
a	0.000114146	0.0128053	0.0109864	0.0355912	0.331298	0.334119	0.275086
a	3.25384e-05	0.00896518	0.00850513	0.0490276	0.0420672	0.169476	0.721926
k	0.000646095	0.0159782	0.0160508	0.06604	0.106349	0.0727982	0.722138
a	0.0889623	0.0354876	0.0522291	0.0333108	0.0394056	0.132267	0.618338
á	0.00321021	0.00840526	0.00993447	0.00710579	0.010154	0.0488542	0.912336
</S>	0.00233501	0.0408315	0.0335668	0.0645541	0.0695773	0.0772719	0.711863
