 	il	lui	est	arrivé	un	grand	malheur	</S>
w	0.691671	0.207223	0.0445094	0.0171786	0.00640532	0.0211579	0.0106976	0.00115702
a	0.716121	0.118795	0.00343351	0.0068646	0.00967834	0.0401353	0.104262	0.000710456
á	0.0580933	0.531606	0.314847	0.0562371	0.0155498	0.0142868	0.0049836	0.004396
m	0.0232856	0.183048	0.577984	0.138992	0.0341692	0.0236232	0.00747488	0.0114242
i	0.0127039	0.153436	0.368208	0.260079	0.0946049	0.0288542	0.0161251	0.0659893
b	0.00657665	0.0267329	0.261758	0.493918	0.128537	0.0234574	0.00816601	0.0508544
á	0.0120532	0.0390381	0.176757	0.290475	0.259655	0.0557415	0.0423071	0.123974
á	0.0174135	0.142272	0.334614	0.254067	0.107938	0.0250013	0.00929978	0.109395
n	0.0230864	0.0468206	0.146563	0.173376	0.20298	0.2825	0.115413	0.00926147
d	0.0721158	0.0512148	0.0114026	0.0363701	0.109682	0.080938	0.465048	0.173229
ω	0.0279502	0.0316426	0.0221207	0.0754088	0.168448	0.119063	0.375119	0.180247
ω	0.00270705	0.0149039	0.0067791	0.0218824	0.0455845	0.0411747	0.665639	0.201329
</S>	0.00118807	0.00356082	0.0179788	0.0377243	0.19689	0.21358	0.183315	0.345763
