 	cet	enfant	a	tué	un	oiseau	à	l'	aide	d'	un	arc	</S>
m	0.723558	0.260416	0.00176128	0.00126814	0.0021194	0.0064277	0.000829124	0.0014638	0.00134632	0.000363941	0.00012383	0.000248378	7.37759e-05
w	0.199891	0.794479	0.00274517	0.000821176	0.000172177	0.0012732	6.21557e-05	0.000233369	0.000231324	3.16091e-05	1.83862e-05	6.41318e-07	4.0148e-05
á	0.0134197	0.984752	0.000106094	0.000545715	0.000101671	0.000922186	1.49318e-05	3.96733e-05	1.78952e-05	3.82442e-06	6.66438e-06	5.50235e-05	1.46096e-05
n	0.156463	0.84179	0.000450795	6.9962e-05	7.02855e-05	0.000205332	6.27826e-05	0.000107886	6.03643e-05	3.11223e-05	2.304e-05	9.43656e-06	0.000656504
a	0.178074	0.675118	0.0470702	0.0142806	0.00419057	0.00680847	0.00449798	0.0146034	0.0130034	0.00432169	0.00375299	0.000583998	0.0336946
w	0.652434	0.0375587	0.23801	0.00386	0.00516389	0.00240189	0.0067486	0.0107973	0.0129048	0.0109195	0.00964908	0.00102337	0.00852877
ó	0.282122	0.160135	0.308479	0.0416122	0.039275	0.0353167	0.0109062	0.0285177	0.0224294	0.022632	0.0215831	0.00310083	0.0238907
á	0.0434089	0.00541587	0.86323	0.0194614	0.00706094	0.00145416	0.00722114	0.0102697	0.00783937	0.00860134	0.00782883	0.00041367	0.0177946
b	0.00129855	0.000159855	0.322008	0.537701	0.0413697	0.00710716	0.020713	0.00758938	0.00329572	0.00646097	0.0123751	0.00433116	0.0355901
o	0.000696944	0.000264802	0.21322	0.704374	0.0332946	0.00394263	0.0173295	0.00656777	0.00300195	0.00396429	0.00296088	0.00321645	0.00716544
m	0.000755992	4.99913e-05	0.102426	0.757116	0.0804517	0.0138275	0.0182731	0.00940373	0.00228224	0.00459814	0.00548539	0.000760249	0.00456956
i	0.00643307	9.91562e-05	0.0233882	0.108678	0.159007	0.00882967	0.215382	0.18183	0.0952831	0.0962389	0.0747859	0.00660704	0.0234388
n	0.00200192	0.00218596	0.0366069	0.018832	0.195832	0.317659	0.107331	0.145841	0.101742	0.0281216	0.0184314	0.019337	0.00607784
y	0.0041303	0.0011874	0.000897297	0.00100438	0.0267935	0.806838	0.0353317	0.0668554	0.0412546	0.00620656	0.00384837	0.00030088	0.00535178
ω	0.000913429	0.000566808	0.000250022	0.000562906	0.0232342	0.908813	0.0243184	0.0269247	0.00583566	0.00252574	0.00215328	0.00133076	0.00257071
s	6.61892e-05	5.47207e-05	0.000881328	0.00477621	0.0362481	0.899497	0.0125326	0.0239074	0.00757397	0.00298658	0.00853231	0.000397897	0.0025453
í	0.000229716	1.08215e-05	0.00137323	0.00451177	0.145298	0.03182	0.294409	0.224581	0.0841327	0.0958083	0.0543867	0.000416467	0.0630225
m	0.00115314	9.04607e-06	0.00783726	0.00256764	0.0525803	0.00703439	0.209195	0.174118	0.271802	0.145743	0.0845294	0.0265283	0.0169027
é	0.016015	0.000232368	0.00228518	0.00157453	0.0244545	0.00388608	0.109732	0.133801	0.275093	0.174127	0.0951744	0.00533419	0.158291
b	0.000929423	6.95794e-05	0.00433609	0.00385264	0.0209366	0.0157025	0.111882	0.0983048	0.0784048	0.115243	0.303221	0.182606	0.0645117
h	0.00125129	0.000117354	0.00214021	0.005225	0.0232009	0.00913264	0.0282626	0.0319461	0.00997428	0.0274381	0.0723542	0.76219	0.0267674
e	0.000130664	4.94777e-06	0.000182574	0.00427587	0.0149123	0.00284856	0.00684129	0.0100747	0.00220797	0.00629611	0.0195585	0.901057	0.0316097
r	0.000176371	1.23002e-06	0.000175555	0.000978759	0.0222365	0.00178847	0.0319427	0.0345593	0.0193925	0.0579258	0.0941213	0.537405	0.199296
á	0.000438539	1.17725e-05	0.000370851	0.00280943	0.01509	0.00306406	0.0503371	0.0813044	0.0440336	0.124101	0.192351	0.137798	0.34829
</S>	0.00733595	0.000255694	0.00485309	0.00143511	0.00898694	0.00650447	0.02558	0.0404758	0.0892546	0.0875692	0.0878579	0.0488231	0.591068
