 	les	enfants	ont	sali	leurs	vêtements	</S>
b	0.44876	0.539466	0.00518241	0.00417065	0.00204088	0.000236427	0.000143599
á	0.065597	0.932185	0.000827288	0.000610672	0.000673959	6.32274e-05	4.2929e-05
n	0.190565	0.801603	0.00476061	0.00109258	0.00163908	0.000197595	0.000142538
a	0.35236	0.625766	0.00452232	0.00448968	0.00155835	0.00183816	0.00946594
á	0.456766	0.185962	0.20811	0.0555402	0.0633427	0.00229247	0.0279861
b	0.0624275	0.0204046	0.460289	0.371147	0.0519683	0.0110993	0.0226646
h	0.0108781	0.0247966	0.207567	0.643397	0.0625888	0.0241943	0.0265788
í	0.0570571	0.00406082	0.0416635	0.844739	0.0347564	0.00717438	0.010549
n	0.0124975	0.00209116	0.0608412	0.700925	0.0776203	0.0687749	0.0772502
d	0.0494944	0.0020258	0.136804	0.686141	0.0821227	0.00631853	0.0370939
i	0.0169972	0.00123831	0.16527	0.592025	0.136408	0.0157426	0.0723192
s	0.015434	0.00198929	0.190148	0.15151	0.566205	0.0219817	0.0527314
i	0.00992848	0.000182285	0.0532445	0.337557	0.394879	0.0573444	0.146864
i	0.0210064	0.000406271	0.0802938	0.030935	0.731182	0.104254	0.0319225
k	0.00149448	0.00178337	0.00969253	0.0508276	0.134117	0.744858	0.0572268
á	0.000523774	0.000124354	0.00179252	0.0256633	0.0288948	0.915199	0.0278026
n	0.00802955	0.000434803	0.013527	0.140312	0.210967	0.594901	0.031829
d	0.001643	0.000287977	0.0124262	0.0834061	0.052293	0.701054	0.14889
á	0.0120933	0.00275891	0.0106523	0.0933107	0.0421465	0.651333	0.187705
á	0.00310717	0.000218987	0.00988035	0.0101756	0.12129	0.327923	0.527404
b	0.0139663	0.000237425	0.0287192	0.0486781	0.402486	0.209585	0.296328
á	0.0100311	0.00075869	0.0150564	0.0378114	0.509818	0.364842	0.0616825
a	0.0142592	0.00030568	0.0100492	0.0106701	0.489001	0.323008	0.152708
</S>	0.00125767	5.80305e-05	0.00637786	0.00893125	0.0358906	0.333666	0.613818
