 	sa	joue	s'	est	contusionnée	suite	à	la	giffle	qu'	il	a	reçue	</S>
w	0.60137	0.368733	0.018342	0.00802717	0.00128059	0.000561908	0.00030506	0.000380395	0.000168887	0.000607714	7.25935e-05	0.000112746	2.3897e-05	1.44815e-05
á	0.299212	0.673736	0.0200147	0.00407368	0.000783807	0.000101309	0.000481279	0.000569063	5.56996e-05	0.000109717	0.000146788	0.000266152	0.000442311	7.14774e-06
o	0.288471	0.576629	0.0844003	0.0242146	0.00435789	0.00228346	0.00377419	0.00266309	0.00111484	0.00342346	0.00140484	0.00123514	0.00365458	0.00237361
b	0.114002	0.340098	0.268063	0.130407	0.0702875	0.021686	0.00942915	0.00519306	0.00559314	0.00801555	0.00316663	0.0034267	0.00548587	0.0151466
á	0.0455299	0.169131	0.301395	0.0983568	0.240394	0.0262736	0.0132504	0.0128062	0.0561999	0.00778873	0.0150977	0.00716241	0.00288927	0.00372642
n	0.0458342	0.339795	0.407095	0.0526017	0.0259698	0.00396778	0.0165022	0.0107033	0.00927212	0.00536329	0.0103657	0.00465448	0.00746	0.0604152
g	0.225553	0.5704	0.109114	0.0603612	0.00831397	0.000328757	0.00269742	0.00163525	0.000285164	0.000770565	0.000906544	0.000386027	0.011024	0.00822405
á	0.126103	0.800322	0.0356313	0.0224766	0.00218317	0.000133987	0.00113528	0.00100666	0.000161339	0.000166893	0.000380517	0.000143881	0.00796423	0.00219169
ó	0.153618	0.0932362	0.365701	0.195277	0.0519129	0.0173081	0.0150123	0.0131181	0.0190927	0.0252507	0.0108448	0.0189358	0.00382834	0.0168639
b	0.000788474	0.00222931	0.120236	0.593157	0.246227	0.0336289	0.00225477	0.000301555	9.09365e-05	0.000184408	0.000166171	0.000308083	0.000153554	0.000273144
h	0.000751627	0.00173038	0.0845178	0.299839	0.560033	0.0430198	0.004062	0.00176678	0.000861122	0.000805881	0.00119017	0.000744678	0.00015982	0.000517707
í	0.00204623	0.00385283	0.0913754	0.414198	0.405582	0.0733537	0.00316718	0.00140165	0.00174851	0.000420512	0.000734815	0.000553686	0.000612673	0.000952824
b	0.007958	0.017144	0.139236	0.347769	0.269399	0.142489	0.0183779	0.00890215	0.00947384	0.00216926	0.00398114	0.00422618	0.00293898	0.0259355
h	0.0127118	0.0704814	0.141395	0.366951	0.301432	0.0469126	0.0265307	0.011769	0.00915283	0.00216383	0.0043137	0.0012697	0.00176108	0.00315538
i	0.0146305	0.0329656	0.126646	0.237433	0.169951	0.23971	0.0275037	0.0189015	0.0138937	0.00424414	0.0103488	0.00590353	0.0213607	0.0765076
l	0.0117484	0.0189809	0.12427	0.211371	0.237338	0.171733	0.0793312	0.0392428	0.0203411	0.00658914	0.0100302	0.00570234	0.00767224	0.0556496
i	0.00510444	0.00295188	0.0343065	0.116785	0.121503	0.224625	0.0987787	0.0547456	0.00677752	0.0297549	0.0336162	0.0233245	0.0401203	0.207607
m	0.00993089	0.00820998	0.0432289	0.0752057	0.0618621	0.469368	0.158542	0.0557586	0.0107219	0.0124812	0.0120756	0.0191921	0.0248713	0.0385512
ó	0.0221938	0.00332799	0.00926657	0.00766887	0.0150824	0.185101	0.236712	0.283324	0.0634212	0.0331727	0.0505695	0.0287129	0.00922664	0.0522197
l	0.00356298	0.00152058	0.00866259	0.0136129	0.00962292	0.574654	0.219686	0.108076	0.0233944	0.00921062	0.00783126	0.00742222	0.00389581	0.00884772
e	0.0019798	0.00225015	0.0305342	0.0353638	0.0360063	0.135911	0.365028	0.159473	0.0175532	0.0173641	0.0280865	0.0219557	0.0429334	0.105561
b	0.000773558	0.00020961	0.00338398	0.00808899	0.00605625	0.408126	0.337063	0.110742	0.00892002	0.00636664	0.00906069	0.0124713	0.0370409	0.0516971
á	0.00418462	0.00136801	0.00903687	0.0224228	0.0190839	0.350844	0.34124	0.119387	0.041812	0.0209808	0.0284004	0.00886555	0.0022986	0.0300747
m	0.00175914	0.000735342	0.00617811	0.00617365	0.00505196	0.0718533	0.2493	0.173772	0.190776	0.0480011	0.0462333	0.0474618	0.00698458	0.145719
b	0.0129041	0.000977446	0.00195557	0.00210425	0.000636373	0.0103539	0.2858	0.300009	0.0487276	0.139305	0.0962406	0.0538957	0.0118026	0.0352878
á	0.00919163	0.00367438	0.00280561	0.00493486	0.000812477	0.00566221	0.324795	0.394791	0.05164	0.0236537	0.070196	0.0127653	0.0514174	0.043661
l	0.00315136	0.000549948	0.00334921	0.00188312	0.000834672	0.00402784	0.193469	0.289367	0.183721	0.135074	0.0755754	0.0560892	0.0135343	0.0393737
á	0.000818491	0.000716139	0.00976154	0.0190075	0.00858304	0.00844908	0.208687	0.179059	0.019532	0.0555186	0.0785456	0.0469757	0.163698	0.200649
l	0.0043533	0.00125536	0.00504524	0.00554604	0.0015824	0.00571078	0.0526345	0.11779	0.072819	0.167954	0.118246	0.176978	0.222655	0.04743
í	0.00516894	0.00389894	0.0096041	0.0101968	0.00555674	0.00323665	0.0481128	0.0544142	0.00998106	0.0262491	0.0700845	0.0554113	0.564852	0.133233
í	0.00274566	0.0010626	0.00268453	0.00195758	0.000429985	0.00136562	0.031533	0.0576001	0.0171988	0.0547877	0.0672781	0.0924413	0.617238	0.0516768
n	0.00110873	0.00055177	0.00652137	0.0113173	0.00640296	0.0100261	0.0369144	0.0284113	0.0417624	0.045992	0.107386	0.265034	0.314224	0.124348
ώ	0.00411514	0.0059366	0.00290603	0.00395668	0.000451465	0.00020205	0.00670931	0.00742495	0.00133135	0.00409467	0.0169494	0.0204373	0.887437	0.0380478
n	0.000265767	0.000862556	0.00150177	0.0011077	0.000545384	0.0004747	0.0445559	0.0445444	0.00661072	0.0160113	0.0509063	0.0626127	0.547169	0.222832
g	0.00142389	0.000658671	0.000679247	0.000965741	0.000174356	0.000683738	0.0237653	0.0312638	0.00210585	0.0226571	0.0747787	0.0551747	0.623822	0.161847
í	0.000382468	0.000883488	0.000223447	0.000324098	2.85326e-05	0.000128239	0.0196426	0.036695	0.00358448	0.0141265	0.0474401	0.0254651	0.800655	0.0504211
w	0.000129224	1.29559e-05	8.4549e-05	9.13038e-05	1.26436e-05	0.000336675	0.0196028	0.0597192	0.0620914	0.175747	0.219242	0.185134	0.118723	0.159073
a	0.00161059	0.000253773	0.000863369	0.00082701	0.00047433	0.000993337	0.04582	0.0838313	0.109708	0.214842	0.327504	0.144538	0.0286283	0.0401054
</S>	0.000333591	9.86226e-05	0.00031969	0.00020525	0.000111609	0.000797275	0.00686309	0.0126488	0.0376452	0.0642065	0.0840995	0.158688	0.405244	0.228739
