 	je	garde	rancune	contre	les	habitants	de	ce	village	qui	ont	refusé	de	m'	emmener	à	l'	hopital	lorsque	j'	étais	malade	</S>
n	0.913018	0.0227085	0.00294686	0.0208248	0.00790151	0.00906144	0.00209664	0.00572189	0.00112577	0.00532192	0.00275921	0.000755915	0.00321798	0.000459223	0.000309539	0.000298519	0.000443411	0.000164122	0.000303498	0.000196739	2.81998e-05	0.000329348	7.01733e-06
g	0.99713	0.00199802	7.48187e-06	0.000100598	3.47818e-05	3.26978e-05	1.65406e-05	2.37694e-05	1.47845e-06	4.78687e-05	1.2325e-05	0.000101594	3.60897e-05	0.000218729	3.28661e-06	7.32555e-06	9.59303e-06	1.06312e-06	2.13943e-06	0.00020685	1.12142e-06	5.42447e-06	8.75282e-07
á	0.989726	0.00795825	5.30411e-05	0.000121806	8.99967e-05	7.44498e-05	2.67773e-05	4.62841e-05	1.77248e-05	4.54928e-05	3.55371e-05	0.000622973	0.000138345	0.000793254	1.6579e-05	9.93613e-06	4.13035e-05	5.18135e-06	2.75284e-05	8.95266e-05	5.329e-06	5.22615e-05	2.09887e-06
i	0.133132	0.428375	0.00528518	0.0371425	0.016788	0.0114273	0.0148541	0.0353242	0.00369671	0.0199251	0.0130879	0.0138977	0.0270991	0.0293505	0.00929167	0.0216245	0.0336544	0.00133347	0.0212124	0.0434968	0.00882627	0.00534003	0.0658361
d	0.0149359	0.37048	0.461677	0.0213323	0.00831317	0.00421123	0.00469787	0.00271383	0.00056338	0.000536915	0.0036807	0.0150071	0.00444091	0.00361625	0.00600871	0.00919928	0.00828835	0.00528852	0.00461954	0.00205603	0.00928872	0.0108806	0.0281645
í	0.0133524	0.901786	0.00356179	0.00903423	0.00667381	0.00683929	0.002116	0.000749769	0.000204097	0.000401728	0.00702263	0.00867098	0.00350581	0.00805733	0.00255917	0.00443245	0.00314982	0.000205155	0.0018254	0.00506369	0.0025847	0.000204805	0.00799887
l	0.00842754	0.392322	0.0535187	0.0495186	0.0365541	0.00845045	0.0197317	0.0155376	0.00354616	0.0216053	0.0417225	0.0134717	0.0492343	0.0310727	0.0195575	0.0739903	0.04517	0.00126316	0.0259902	0.02982	0.02345	0.00145968	0.0345855
o	0.00651787	0.277732	0.0650102	0.0762624	0.0634816	0.0242023	0.0310884	0.0364067	0.00671041	0.0146816	0.0263333	0.0189109	0.0272027	0.0451759	0.0163145	0.059197	0.0451421	0.00231763	0.0208078	0.0291013	0.0233079	0.00177975	0.0823155
l	0.0026292	0.231899	0.308761	0.0511364	0.0368368	0.00950343	0.00826653	0.00514666	0.0310476	0.00584638	0.00385103	0.035977	0.0416146	0.0374967	0.0197933	0.0279458	0.0164538	0.0161684	0.0263658	0.0147885	0.0176247	0.0110047	0.0398435
ε	0.000131114	0.0187366	0.72701	0.0727103	0.02262	0.00518598	0.00304346	0.000452281	0.00258623	0.00115847	0.00167353	0.0422683	0.0137593	0.00348957	0.00515844	0.00926632	0.00715761	0.00330472	0.0239714	0.00332928	0.00803083	0.00962534	0.0153308
n	0.000127401	0.0195722	0.255814	0.128258	0.0552408	0.0120134	0.0103137	0.00385073	0.00304704	0.00948774	0.00587487	0.0523297	0.0813685	0.0314879	0.0125143	0.0388632	0.0423474	0.00544667	0.095469	0.0291328	0.0249781	0.0120457	0.0704172
d	0.00228015	0.0438746	0.528056	0.17419	0.0610787	0.00842615	0.0129763	0.00862158	0.0026411	0.00626632	0.003266	0.0154676	0.0165577	0.0168326	0.00630982	0.0160548	0.0153446	0.00241706	0.0115133	0.00959494	0.00745583	0.00591096	0.0248639
i	0.028134	0.0372522	0.235484	0.220307	0.123151	0.0286055	0.0232579	0.0210035	0.00337817	0.0143443	0.00469167	0.0443582	0.0241259	0.0751663	0.00684899	0.0145109	0.0164075	0.00168842	0.0106458	0.0258489	0.00391674	0.0040801	0.0327931
m	0.000424665	0.0077607	0.0351874	0.227744	0.347548	0.148375	0.0679528	0.0669015	0.0120344	0.0195644	0.00380122	0.00281505	0.00628361	0.00320819	0.00417461	0.01073	0.00664029	0.000862296	0.00412236	0.00169913	0.00340404	0.0012628	0.0175027
á	9.76398e-05	0.004651	0.000449765	0.0343263	0.143919	0.634527	0.0684418	0.0659867	0.00128954	0.00494255	0.0040874	0.000607958	0.00631726	0.00914229	0.00212354	0.00530211	0.00190768	9.47428e-05	0.000996686	0.000518208	0.000492992	2.4902e-05	0.00975287
b	0.000452765	0.00461219	0.00365088	0.0369818	0.16519	0.194815	0.0820704	0.0152302	0.261061	0.0199321	0.0401893	0.0289509	0.025561	0.0101584	0.0247983	0.0187815	0.0107451	0.00591332	0.0105063	0.00527363	0.0104527	0.00582494	0.0188486
a	0.00399828	0.00120638	0.0125255	0.0826938	0.167077	0.149325	0.136246	0.0166247	0.0268636	0.0115724	0.0656015	0.0412938	0.0363295	0.00530946	0.139448	0.0285986	0.0117154	0.0092343	0.0256008	0.00187728	0.00256892	0.00979684	0.0144928
r	0.000381868	0.00025382	0.00336961	0.0490971	0.0920822	0.214727	0.122867	0.019446	0.0171397	0.00643688	0.0426475	0.0328424	0.0369829	0.0253236	0.195907	0.0332114	0.0149357	0.000931462	0.0159666	0.0116895	0.0036702	0.00405542	0.0560358
e	0.000191845	0.00123157	0.0136188	0.0451682	0.182253	0.108719	0.122588	0.0561844	0.0315204	0.0279993	0.0164373	0.0418157	0.0255876	0.0316009	0.032611	0.0324357	0.0229996	0.00198593	0.0185484	0.0117115	0.0113951	0.0107121	0.152684
b	0.000575649	0.00208027	0.00305109	0.0384339	0.113853	0.174127	0.224801	0.0947186	0.0266544	0.117254	0.0601174	0.0432673	0.0280012	0.00621993	0.0276983	0.0107285	0.00593954	0.000698145	0.00329574	0.00444557	0.00361711	0.000332156	0.0100907
á	0.00288804	0.0043936	0.00389809	0.0427498	0.0372855	0.0289953	0.161069	0.080172	0.00514435	0.046552	0.209227	0.0841675	0.0705069	0.0203513	0.118484	0.0362263	0.0160798	0.00172027	0.00790179	0.00337055	0.00340777	0.0015075	0.0139023
p	0.00168667	0.000351228	0.000531586	0.00611734	0.00817389	0.0178675	0.0441741	0.0384452	0.20956	0.0616029	0.158894	0.0943379	0.0968657	0.0437588	0.116799	0.0199859	0.0161288	0.0030645	0.0144209	0.014918	0.00671626	0.00381389	0.0217857
o	0.000105579	6.82645e-05	0.00455352	0.00103711	0.00260071	0.00186076	0.0154526	0.00578163	0.706145	0.0133976	0.0604167	0.0508421	0.0141885	0.000585412	0.0189416	0.0039221	0.00248478	0.080942	0.00518022	0.000309475	0.00329314	0.00536655	0.00252446
o	0.000137671	0.000512403	0.00316006	0.00551242	0.0147719	0.0266576	0.0399737	0.0116966	0.422192	0.0206538	0.0524991	0.217783	0.0642107	0.0015171	0.0467074	0.00397519	0.00334066	0.0452943	0.00701202	0.000252851	0.0025834	0.00666061	0.00289637
