 	soyez	la	bienvenue	</S>
l	0.82522	0.0860301	0.0870838	0.00166569
ε	0.937599	0.0245024	0.00115174	0.0367464
y	0.670422	0.0941025	0.00265626	0.232819
a	0.306498	0.127581	0.0185094	0.547411
a	0.206686	0.145321	0.00540282	0.64259
m	0.0343502	0.603164	0.161715	0.200771
ó	0.0104581	0.371488	0.0102116	0.607842
ω	0.0495658	0.231755	0.180089	0.53859
b	0.00288272	0.0955761	0.456688	0.444853
v	0.00180454	0.0346238	0.906496	0.0570756
έ	0.00372786	0.0420001	0.927967	0.0263049
</S>	0.00347095	0.107671	0.0725559	0.816302
