 	il	y	a	belle	lurette	qu'	on	s'	est	vu	toi	et	moi	</S>
b	0.106044	0.249321	0.108053	0.209536	0.113801	0.0492314	0.0283522	0.0299116	0.0162835	0.0121774	0.00698233	0.0667396	0.00174055	0.00182622
í	0.0555864	0.0369665	0.00968692	0.111883	0.316948	0.0422654	0.104962	0.0676976	0.0269401	0.0306988	0.0884724	0.0560495	0.0135599	0.0382835
s	0.0135532	0.00826668	0.00423027	0.0908059	0.734442	0.0340999	0.0628699	0.0162272	0.00653792	0.00476764	0.00785348	0.00927028	0.00176961	0.00530568
í	0.0239577	0.00368713	0.00505293	0.0736109	0.436053	0.123159	0.0944722	0.0441816	0.0217225	0.00602775	0.0265274	0.081738	0.045928	0.0138819
l	0.0244454	0.0179669	0.0587366	0.0428312	0.300843	0.15585	0.0801274	0.0465444	0.0336921	0.0239836	0.00877449	0.0194417	0.0202252	0.166538
a	0.00282395	0.00334355	0.00617608	0.00563112	0.0528429	0.0718525	0.13751	0.0504043	0.0323385	0.029389	0.0602875	0.040634	0.100006	0.406761
n	0.0019783	0.00542403	0.00430277	0.00799819	0.0323533	0.0589776	0.13929	0.186382	0.041976	0.0338012	0.0297579	0.0195353	0.357782	0.0804411
ω	0.0010415	0.00267113	0.00279428	0.0106464	0.0221076	0.0559279	0.186754	0.105705	0.0371305	0.0217387	0.097761	0.0229841	0.308025	0.124713
l	0.00435334	0.0226486	0.0229803	0.016971	0.0164594	0.0310764	0.0906194	0.193352	0.12639	0.161645	0.0609551	0.0796419	0.0817409	0.0911665
é	0.0101537	0.00272924	0.00917633	0.0028287	0.00310013	0.0896956	0.10244	0.157649	0.129558	0.129191	0.036816	0.0466626	0.0454017	0.234597
m	0.00607441	0.00224055	0.00770521	0.00315059	0.0124624	0.0850123	0.112231	0.102177	0.110713	0.0912999	0.0229514	0.0417406	0.247904	0.154337
i	0.00299817	0.00092895	0.00576998	0.0026287	0.00306827	0.0834297	0.106032	0.191175	0.121347	0.0185827	0.00367676	0.0212756	0.116573	0.322513
y	0.00129343	0.00021948	0.00095895	0.000427512	0.00034365	0.0146593	0.0465589	0.158777	0.111776	0.0347192	0.0146915	0.0514526	0.0785408	0.485582
á	0.000334042	0.00125307	0.00257813	0.00248194	0.00123495	0.0279868	0.0349824	0.0876194	0.122454	0.231288	0.0641848	0.0573664	0.178358	0.187878
n	0.00146918	0.000685368	0.00502662	0.00327457	0.00512027	0.0219459	0.0362505	0.0444077	0.123713	0.221446	0.0927324	0.0991077	0.109411	0.23541
a	0.000614341	0.00079355	0.000808293	0.00289157	0.00194291	0.00261062	0.0144796	0.0168711	0.0289555	0.0619956	0.308617	0.0403075	0.401905	0.117207
a	0.000265398	0.00100872	0.00239196	0.00153716	0.00146276	0.00924212	0.0253859	0.0460657	0.0708991	0.119869	0.0845158	0.162695	0.0815423	0.393119
</S>	0.00092376	0.00273384	0.00459026	0.00245611	0.00174337	0.0093747	0.0121865	0.0410831	0.0634349	0.0657244	0.129991	0.244087	0.145649	0.276022
