 	il	se	tut	avant	sa	colère	</S>
w	0.863241	0.111907	0.0130972	0.00189519	0.00607494	0.00347875	0.000305624
a	0.88601	0.0876205	0.000412055	0.00145914	0.0213795	0.00288928	0.000229394
a	0.0691404	0.614769	0.239493	0.0248587	0.0355551	0.0055078	0.0106758
s	0.0444753	0.520883	0.23988	0.113754	0.032367	0.0110827	0.0375584
ú	0.00888929	0.504684	0.330421	0.0638013	0.00999911	0.00215154	0.0800533
ú	0.0776503	0.148275	0.425094	0.0782389	0.0918842	0.0243037	0.154555
p	0.0265031	0.1893	0.302128	0.086843	0.163552	0.0859662	0.145707
í	0.0151715	0.0680407	0.535768	0.0896751	0.0477121	0.117087	0.126546
a	0.027863	0.126678	0.419303	0.0778801	0.0566074	0.0676573	0.224012
p	0.0219139	0.0927377	0.0436257	0.0882548	0.530207	0.0577815	0.165479
ε	0.00893859	0.0220932	0.150252	0.117539	0.158334	0.375466	0.167377
r	0.0149315	0.0237013	0.274519	0.05651	0.214916	0.291316	0.124106
í	0.00686615	0.0364481	0.137802	0.0680827	0.204598	0.321717	0.224486
o	0.010968	0.0370806	0.0289	0.0139822	0.436703	0.12147	0.350896
t	0.00279977	0.011046	0.02327	0.146293	0.239633	0.448138	0.12882
é	0.000588401	0.00777548	0.0314241	0.120857	0.21376	0.495977	0.129618
m	0.000318252	0.00306554	0.0608909	0.0893111	0.156091	0.339693	0.35063
a	0.00165485	0.00164456	0.00249817	0.0545399	0.497578	0.310595	0.131489
</S>	0.00512869	0.00743556	0.00640028	0.00418329	0.237458	0.125203	0.614191
