 	dans	ce	village	on	va	élire	le	chef	de	village	aujourd'	hui	</S>
s	0.473823	0.288431	0.142324	0.080465	0.00267846	0.00404559	0.00355575	0.000379711	0.00196751	0.000188149	0.0017808	0.000341255	1.97117e-05
á	0.138272	0.209795	0.637396	0.0075271	0.000779233	0.00350373	0.00118898	7.39123e-05	0.000387742	1.56331e-05	0.000562005	7.43373e-05	0.000424465
p	0.0371109	0.0943651	0.860784	0.00282902	0.000951488	0.00265542	0.000459618	0.000172751	9.52846e-05	0.000444554	1.75226e-05	5.3579e-05	6.06962e-05
o	0.00895115	0.00957108	0.86073	0.014023	0.0296492	0.00103116	0.000982859	0.0176981	7.79489e-05	0.0481419	0.000260093	0.00405924	0.00482459
o	0.104558	0.0655192	0.717001	0.0633014	0.0275667	0.00198874	0.00165991	0.00513913	0.000282445	0.00461329	0.00035759	0.00124119	0.00677097
y	0.129996	0.217763	0.0201148	0.531573	0.0343714	0.0296185	0.0138468	0.00193668	0.00720028	0.000458267	0.00272353	0.000266545	0.010131
é	0.0958098	0.193367	0.0480949	0.380195	0.138612	0.099282	0.0171544	0.000893115	0.00855212	0.00198856	0.00156563	0.00013078	0.0143554
b	0.213201	0.204997	0.0311637	0.229045	0.0907706	0.168038	0.0303621	0.0040025	0.00907478	0.00350679	0.00123151	0.000205969	0.0144017
á	0.0622698	0.121229	0.00428337	0.164511	0.383336	0.0713815	0.0768631	0.0717857	0.0152709	0.00102531	0.0117909	0.00301464	0.0132395
a	0.0273493	0.0660251	0.01748	0.279512	0.357039	0.108481	0.0386452	0.00952674	0.0068468	0.00184337	0.00890051	0.0209855	0.0573664
p	0.00807898	0.00689062	0.00234447	0.220346	0.400974	0.274402	0.0613318	0.010096	0.00312684	0.00137446	0.00273924	0.00106526	0.00723014
á	0.00214857	0.0037636	0.0122761	0.0424546	0.731356	0.0604516	0.0439382	0.0593717	0.00120267	0.0259732	0.00234254	0.00316546	0.0115553
m	0.00495907	0.00612525	0.0100864	0.102673	0.600533	0.0775351	0.0299938	0.0211615	0.00246487	0.0174888	0.00514868	0.0146655	0.107165
á	0.024235	0.0360623	0.000315496	0.0405155	0.282053	0.287069	0.267055	0.0211278	0.0232257	0.000552976	0.00621555	0.000590494	0.0109822
o	0.00587339	0.00678745	0.00189202	0.0549758	0.0563819	0.281963	0.326418	0.0932991	0.0905685	0.0236509	0.0255725	0.0105488	0.0220692
k	0.00349057	0.00187861	0.000860187	0.000717027	0.0521335	0.0359684	0.0607231	0.765342	0.00342943	0.0669488	0.0019405	0.00314805	0.00341951
o	8.51532e-05	7.80472e-05	0.000259077	0.000334765	0.0185993	0.00463366	0.012258	0.931593	0.00054228	0.0218858	0.00135358	0.00420645	0.00417103
n	0.000250279	0.000252976	0.00121958	0.000629816	0.0291752	0.00791059	0.0259209	0.878223	0.00291616	0.0414388	0.00439581	0.00377212	0.00389488
d	0.00318287	0.00263615	0.00684496	0.00406373	0.0849913	0.0164104	0.0482619	0.751208	0.00235614	0.0524877	0.00295902	0.00102752	0.0235702
z	0.00367158	0.00637756	0.00194647	0.0127645	0.0356299	0.065575	0.104359	0.674843	0.0181132	0.0213526	0.0101569	0.00395463	0.0412562
i	0.000340747	0.000510204	0.000916055	0.0056434	0.0367301	0.0116545	0.0495577	0.743946	0.00696151	0.0867631	0.0084014	0.0130336	0.0355416
y	0.0182704	0.00884822	0.00038801	0.0204381	0.00900955	0.0391921	0.129338	0.110098	0.332608	0.0152472	0.193181	0.0193428	0.104039
a	0.0166664	0.0441303	0.00374465	0.0400529	0.0236762	0.132525	0.0807729	0.0197318	0.135271	0.123558	0.138027	0.0874057	0.154438
p	0.00373803	0.00928167	0.00442609	0.00872896	0.00210473	0.0283492	0.0187613	0.0138083	0.0653268	0.666274	0.030828	0.116923	0.0314501
o	0.000459233	0.00151666	0.00153411	0.0033426	0.00215579	0.00427597	0.00572883	0.0251323	0.00503876	0.405011	0.0158208	0.513986	0.015998
o	0.000138483	0.000248736	0.000390185	0.00030207	0.00246741	0.00182629	0.00251721	0.0488625	0.00260648	0.650438	0.0107556	0.255327	0.0241198
p	0.00341095	0.00466777	0.000230759	0.00383369	0.00128446	0.00997616	0.014423	0.00204307	0.221253	0.00870825	0.372086	0.0754143	0.282669
á	0.0018817	0.00323238	0.000972563	0.0048802	0.00365374	0.00276816	0.0078703	0.0104799	0.00979169	0.0647207	0.0453421	0.745285	0.0991219
b	0.000958164	0.00159566	0.000117131	0.00095874	0.000573339	0.00157763	0.00140189	0.00155812	0.00588392	0.0137842	0.0228127	0.718085	0.230693
h	0.000217808	0.000487525	2.23465e-05	0.000591801	0.000421992	0.000679309	0.00297289	0.0170155	0.0149611	0.00378956	0.0741523	0.6074	0.277288
a	0.0123562	0.00672808	0.00148529	0.00320643	0.00356251	0.00504042	0.0102833	0.0523616	0.0272954	0.0322247	0.0366022	0.525489	0.283365
</S>	0.00408699	0.0041325	0.000736161	0.00337655	0.00323355	0.00507051	0.024596	0.0139662	0.0819273	0.0101203	0.17451	0.182255	0.491989
