 	la	nourriture	qu'	il	a	préparée	me	donne	la	nausée	</S>
b	0.36879	0.520119	0.0622649	0.0246541	0.0129782	0.00505563	0.00254241	0.000407405	0.00283499	8.72905e-05	0.000265621
e	0.119203	0.830033	0.011482	0.0119101	0.00935241	0.00983236	0.00171802	0.000783754	0.00424637	0.00100991	0.000429193
a	0.00539758	0.896145	0.0367496	0.0357383	0.00755688	0.0125057	0.000791817	0.00207141	0.000275366	0.00161123	0.00115689
b	0.170422	0.442111	0.156508	0.0804266	0.0621158	0.0241277	0.0117431	0.00647223	0.00514542	0.000609819	0.0403188
í	0.055129	0.316093	0.263387	0.169583	0.110507	0.0146255	0.0136335	0.0133002	0.00765408	0.00317532	0.0329121
í	0.05251	0.186731	0.11873	0.151196	0.0927803	0.133132	0.0504336	0.00901796	0.0415035	0.00192366	0.162042
l	0.00243317	0.0043757	0.0154868	0.0214225	0.0575939	0.743921	0.0739059	0.0263383	0.00813628	0.00142184	0.0449642
á	0.00522675	0.00582107	0.015525	0.0391842	0.065796	0.476648	0.169778	0.016686	0.0228357	0.0139306	0.168569
m	0.0202701	0.0150457	0.0651918	0.0914484	0.0906694	0.438704	0.114966	0.019379	0.0196338	0.00970644	0.114985
b	0.0317992	0.0070152	0.15187	0.307797	0.251461	0.165557	0.0482879	0.00687545	0.00377905	0.0119658	0.0135924
í	0.0450199	0.0113611	0.17395	0.220743	0.213721	0.131445	0.0736289	0.019292	0.0408895	0.0136949	0.0562548
w	0.0211725	0.0130855	0.25944	0.278121	0.156271	0.142568	0.0702036	0.0212979	0.0147956	0.0026593	0.020386
a	0.017848	0.0208421	0.210078	0.481753	0.174095	0.036046	0.0101342	0.0125288	0.00905792	0.017885	0.0097328
b	0.00517538	0.00272728	0.174732	0.306618	0.214656	0.129865	0.0897965	0.0147483	0.0263614	0.0107268	0.0245927
í	0.0286239	0.184443	0.0623118	0.0780268	0.067626	0.169485	0.0339658	0.192388	0.0264764	0.127343	0.0293102
i	0.00911287	0.0510807	0.0985075	0.120233	0.0581329	0.208035	0.0998477	0.197997	0.0368961	0.0589957	0.0611621
y	0.000168648	0.00182945	0.00145865	0.00352474	0.0145022	0.0455914	0.1804	0.628287	0.0240201	0.0438624	0.0563549
ε	0.00223872	0.000182942	0.00484424	0.0101205	0.0249063	0.0258279	0.285598	0.184713	0.110418	0.258859	0.0922913
l	0.000647677	0.000249863	0.00514735	0.00940755	0.0326428	0.016524	0.257989	0.225385	0.148467	0.12311	0.18043
í	0.00754724	0.0034391	0.0386076	0.0505425	0.043944	0.0350999	0.196535	0.272178	0.213733	0.0661117	0.072263
s	0.00210171	0.00143436	0.0281645	0.0209447	0.0365149	0.0162435	0.24309	0.0624719	0.398382	0.0273583	0.163295
έ	0.00849615	0.00269776	0.0146869	0.00462766	0.00742235	0.00433315	0.203565	0.301005	0.14791	0.206095	0.0991622
n	0.00553125	0.000965331	0.0306851	0.0128926	0.0187231	0.00771997	0.230487	0.0197703	0.421637	0.0893694	0.162219
g	0.00247805	0.000213625	0.00241684	0.00171521	0.00196854	0.00593722	0.474592	0.00982794	0.366686	0.0357849	0.0983795
á	0.000717886	0.000182279	0.00221131	0.00576641	0.00825087	0.00817939	0.417361	0.00439302	0.322633	0.0784091	0.151896
m	0.00472723	0.00177519	0.0100085	0.00554472	0.00860645	0.00130385	0.087612	0.0451914	0.329509	0.307106	0.198616
w	0.0173916	0.0181765	0.0222791	0.00862122	0.0134106	0.00196626	0.0159769	0.0296129	0.0676785	0.354961	0.449926
ε	0.0227196	0.0148047	0.0190235	0.0123549	0.00440829	0.00430821	0.00863797	0.0465088	0.0219315	0.811462	0.0338407
</S>	6.31606e-05	4.74061e-05	0.000106701	0.00011029	0.000386844	0.000138814	0.00628502	0.13781	0.0159875	0.230493	0.608572
