 	la	brebis	a	mis	bas	un	agnelet	</S>
e	0.898822	0.0801663	0.010854	0.00299187	0.00216153	0.00479326	0.000107062	0.000104042
m	0.027014	0.970939	0.0012964	0.000455585	0.000170693	7.71805e-05	1.52295e-05	3.17463e-05
b	0.0627942	0.785985	0.0926589	0.0137633	0.0065136	0.00247849	0.0101048	0.025702
ω	0.00185816	0.990301	0.00252255	0.00180219	0.00204558	0.000133468	0.000867687	0.000468909
m	0.028987	0.896549	0.0444973	0.0137646	0.00859677	0.000758384	0.00329802	0.00354852
b	0.0708246	0.328431	0.15558	0.0261732	0.060941	0.00396767	0.00296314	0.35112
ω	0.127396	0.553852	0.0697384	0.0476589	0.0945277	0.00729479	0.00481197	0.0947205
é	0.086073	0.00935813	0.882896	0.00879653	0.00436648	0.003531	0.000856821	0.00412166
m	0.0139382	0.00220749	0.331262	0.499219	0.0981064	0.0277576	0.00333465	0.0241747
i	0.0400688	0.00336033	0.182383	0.176456	0.353202	0.160139	0.0295221	0.0548689
b	0.000661831	0.00155441	0.00976019	0.771567	0.201363	0.00829035	0.00236897	0.00443421
ó	0.000317053	0.00108396	0.00346239	0.513547	0.451707	0.0110666	0.0100342	0.00878161
r	0.000452154	0.00763076	0.0025586	0.528534	0.444105	0.00539364	0.00124289	0.0100832
á	0.00711593	0.0391702	0.0211495	0.290388	0.4468	0.0253518	0.00557912	0.164445
m	0.00718073	0.00163218	0.0177303	0.0723857	0.279762	0.469003	0.137165	0.015141
w	0.00196142	0.000578762	0.0015379	0.00156257	0.0464983	0.153787	0.728854	0.0652203
á	0.00024321	9.11949e-05	0.000143399	0.000503608	0.0243571	0.0101723	0.959923	0.00456603
n	0.00543928	0.000102931	0.000998872	0.0042463	0.05264	0.186963	0.632481	0.117128
a	0.001858	0.00326853	0.00340214	0.0105116	0.0266589	0.0391727	0.451787	0.463341
</S>	0.00822694	0.00895018	0.0238926	0.0362502	0.0667294	0.354237	0.22674	0.274974
