 	dans	la	ville	de	boundji	une	gerbe	d'	arachide	coûte	cent	francs	</S>
s	0.480463	0.325384	0.0401761	0.0560675	0.0238146	0.055271	0.00217066	0.012423	0.00121104	0.00067198	0.001594	0.00071197	4.13313e-05
e	0.216753	0.376264	0.200574	0.0634595	0.0685874	0.0139557	0.00306868	0.00521426	0.0167176	0.00163912	0.0275524	0.00218027	0.00403355
b	0.0954562	0.305764	0.225592	0.0316909	0.0596525	0.0189323	0.149083	0.0141795	0.0746803	0.00900299	0.00507474	0.00172986	0.00916146
ω	0.0380482	0.154675	0.0262352	0.15128	0.433087	0.0590445	0.012534	0.0313513	0.011353	0.0188927	0.0154231	0.00731695	0.0407583
n	0.0351387	0.156665	0.0663512	0.21353	0.424718	0.035914	0.0130394	0.01486	0.00444835	0.0144378	0.00606814	0.00150796	0.0133218
g	0.155947	0.331048	0.266699	0.0689574	0.0453428	0.0221722	0.03014	0.0216274	0.020438	0.0129144	0.0094748	0.000892686	0.0143461
ω	0.0658605	0.129898	0.695383	0.0514546	0.0254655	0.00656331	0.00743313	0.00415765	0.00607755	0.000882912	0.00185132	3.52803e-05	0.00493645
e	0.0656661	0.058256	0.170572	0.516978	0.0416258	0.0866391	0.0163908	0.0178247	0.005146	0.00819086	0.0055436	0.000626795	0.00654057
s	0.0359496	0.0578346	0.0964787	0.193074	0.318699	0.137213	0.0759164	0.0230046	0.0122715	0.0185685	0.00865418	0.00316557	0.0191694
a	0.0278155	0.0439474	0.0956829	0.114431	0.163979	0.0961453	0.402058	0.0107809	0.0128217	0.0138223	0.00624403	0.000498188	0.0117742
a	0.0186414	0.0202008	0.0947245	0.163636	0.114594	0.196786	0.188637	0.0221333	0.0238699	0.0283035	0.0207149	0.00182213	0.105937
m	0.00661984	0.00558416	0.0670644	0.293368	0.0628622	0.378842	0.0880849	0.0484926	0.0101577	0.0118339	0.0135777	0.00184278	0.0116699
i	0.0199283	0.0138656	0.0279166	0.127088	0.303962	0.268128	0.0183696	0.0733411	0.0589096	0.0232231	0.0120914	0.00267501	0.0505021
y	0.00393502	0.017173	0.011488	0.0991917	0.274597	0.363351	0.0892301	0.0698049	0.031932	0.0130161	0.00678574	0.00357695	0.0159187
