 	les	bagages	étaient	lourds	</S>
m	0.837708	0.144446	0.0163087	0.00111746	0.000419804
y	0.310597	0.429125	0.172576	0.0267197	0.0609823
e	0.13736	0.785653	0.0196938	0.0510879	0.00620517
r	0.0499019	0.151741	0.0125856	0.54415	0.241622
é	0.325279	0.578543	0.0416242	0.0237225	0.0308309
m	0.535162	0.205002	0.201701	0.00776675	0.0503677
á	0.358417	0.36777	0.224155	0.00321947	0.046438
a	0.469823	0.312506	0.127376	0.0197473	0.0705481
b	0.0745054	0.276748	0.465639	0.113027	0.0700796
h	0.0647678	0.620199	0.101602	0.109706	0.103725
é	0.091145	0.788585	0.0318861	0.0253207	0.0630638
m	0.0618517	0.32992	0.124876	0.155322	0.32803
b	0.204966	0.280048	0.259541	0.145638	0.109808
i	0.281838	0.286776	0.098511	0.0637553	0.26912
á	0.080512	0.0410318	0.726424	0.0392864	0.112745
d	0.0186563	0.0336517	0.435545	0.371145	0.141001
z	0.00364196	0.00386476	0.10246	0.335226	0.554808
á	0.00389936	0.0058524	0.0911347	0.850859	0.0482543
l	0.00945454	0.00451845	0.165267	0.262583	0.558177
a	0.00538386	0.00874498	0.0661907	0.158446	0.761235
o	0.0235447	0.0170884	0.219351	0.278638	0.461378
d	0.0148915	0.0675025	0.148598	0.670495	0.0985138
u	0.00425486	0.0211364	0.0866442	0.776872	0.111093
r	0.0117037	0.0112263	0.415937	0.18748	0.373653
u	0.0264639	0.0128504	0.203211	0.484049	0.273426
</S>	0.0099105	0.00464604	0.131706	0.0432781	0.810459
