 	l'	habit	a	séché	au	soleil	</S>
o	0.786503	0.210888	0.00205108	5.07189e-05	0.000401414	6.14975e-05	4.49058e-05
k	0.0139129	0.973113	0.00667158	0.0058824	0.000169046	7.02462e-05	0.000180885
á	0.0105575	0.981643	0.000660298	0.00457818	0.000394604	0.00046773	0.00169906
n	0.00404369	0.979752	0.0022117	0.00979227	0.000868442	0.000538745	0.00279331
d	0.0699588	0.92786	0.00127054	0.000344055	0.000143125	6.36311e-05	0.000359826
á	0.102681	0.84877	0.0130062	0.00579425	0.000581396	0.000389729	0.0287771
á	0.149248	0.0481093	0.730145	0.0461939	0.0127402	0.000954883	0.0126088
m	0.0125872	0.013325	0.360862	0.540529	0.0477503	0.004852	0.020094
i	0.0089728	0.00127678	0.393615	0.449782	0.100927	0.00752683	0.0379001
w	0.000303587	0.00105186	0.047954	0.935019	0.00975239	0.000705869	0.00521281
ó	0.000577649	0.00155382	0.025667	0.901467	0.0470409	0.0103676	0.0133264
m	0.000409237	0.00223723	0.0302154	0.892756	0.0335604	0.00342644	0.037395
á	0.0693539	0.00606249	0.145199	0.258149	0.19532	0.177851	0.148065
ó	0.00543108	0.00115685	0.028232	0.0850764	0.641834	0.214839	0.0234306
m	0.00148138	0.00102611	0.00861199	0.499628	0.29682	0.164585	0.0278469
w	0.00467676	0.000342506	0.0581635	0.0642812	0.230764	0.352704	0.289067
é	0.000237924	9.48485e-05	0.00859502	0.0508773	0.0394607	0.789681	0.111053
s	0.00299503	9.02488e-05	0.00825527	0.177525	0.220844	0.263931	0.32636
é	0.00275889	0.00239823	0.00571865	0.0412262	0.124538	0.643366	0.179994
</S>	0.00251072	0.000873692	0.011558	0.0354732	0.293671	0.142667	0.513247
