 	si	tu	abandonnes	tes	études	tant	pis	pour	toi	</S>
w	0.985312	0.00683974	0.00110304	0.00108798	0.0010431	0.00212429	0.00205759	0.000400899	2.57076e-05	5.73663e-06
á	0.914852	0.0701055	0.00175398	0.00793202	0.000438036	0.00335039	0.000812873	0.000400972	0.000343764	9.96433e-06
á	0.440151	0.146652	0.0589757	0.0639338	0.0462318	0.0379016	0.0269175	0.0169199	0.00826762	0.15405
n	0.299332	0.28312	0.191812	0.021949	0.042411	0.0458219	0.0214634	0.0182188	0.0106979	0.0651735
ω	0.312206	0.41868	0.0119896	0.0828783	0.0183534	0.0270917	0.0149033	0.0186008	0.0198812	0.0754166
o	0.0452157	0.460363	0.101056	0.0811537	0.0329845	0.0356387	0.0230454	0.0145794	0.0161926	0.189771
t	0.00231356	0.0464028	0.879485	0.021137	0.0400009	0.00302493	0.00396201	0.00053249	0.000212469	0.0029291
ó	0.000552132	0.0177718	0.898819	0.0142735	0.0518106	0.00773092	0.00172672	0.000585279	0.000678254	0.00605138
n	0.00607428	0.100996	0.658697	0.0528814	0.12639	0.0225634	0.0055016	0.00198718	0.00132925	0.0235802
í	0.0323689	0.240709	0.44704	0.152943	0.0666795	0.0168465	0.00888431	0.00365071	0.00169144	0.029186
l	0.0407553	0.122928	0.0237074	0.494043	0.166877	0.0794599	0.0357848	0.0266928	0.00236487	0.00738646
e	0.00466939	0.159961	0.0140589	0.230293	0.343307	0.0958687	0.00790057	0.0303302	0.00780312	0.105808
k	0.00227603	0.0496124	0.0386723	0.260085	0.398549	0.105215	0.0423659	0.0170229	0.0241117	0.0620889
ώ	0.000667754	0.00618657	0.0235207	0.0379331	0.775975	0.130759	0.00680178	0.00203344	0.00553321	0.0105901
ώ	0.000121189	0.00526238	0.0224791	0.0516274	0.714629	0.120152	0.0220054	0.0117103	0.0304244	0.0215896
l	0.000892084	0.0169565	0.00317804	0.296489	0.230979	0.330763	0.0578474	0.0419636	0.00277776	0.0181534
i	0.000849809	0.0111386	0.00616516	0.104748	0.2286	0.253584	0.0421494	0.0502981	0.0383202	0.264147
m	0.000815339	0.0126048	0.00200133	0.0607149	0.081837	0.577713	0.0989952	0.0779719	0.0209438	0.0664027
b	0.00017698	0.000314681	0.000666603	0.0243143	0.00107796	0.00207573	0.809844	0.06759	0.025315	0.0686249
o	5.08216e-05	2.76202e-05	0.000135968	0.00708114	0.0039786	0.00428557	0.928005	0.013296	0.0405251	0.00261388
b	0.000686465	0.00288745	0.0212753	0.0348271	0.0207781	0.00965818	0.86467	0.00619683	0.00648183	0.0325393
h	0.00159498	0.00112339	0.00895051	0.0583071	0.122913	0.102133	0.238486	0.0679707	0.0729147	0.325607
ó	0.000473325	0.00155528	0.0035593	0.0771806	0.240276	0.130263	0.209682	0.060762	0.191098	0.0851498
</S>	0.00075125	0.00555831	0.00110717	0.0426607	0.0646478	0.244488	0.131635	0.162666	0.0137106	0.332775
