 	ibara	a	coupé	le	palmier	</S>
i	0.948364	0.050033	0.000317099	0.000839675	0.000373762	7.27245e-05
b	0.970621	0.0280573	0.000802825	0.000148936	0.000345986	2.42085e-05
a	0.959769	0.0384822	0.00111678	3.44355e-05	0.000563136	3.43477e-05
r	0.930539	0.0543025	0.00839184	0.00143146	0.000873909	0.00446109
a	0.988762	0.00703921	0.00148349	0.000369233	5.57465e-05	0.00229066
á	0.0745521	0.807998	0.0595528	0.043678	0.00220347	0.0120159
k	0.00299136	0.174503	0.781238	0.0236475	0.00366986	0.0139506
y	0.000835508	0.0341071	0.899655	0.0418691	0.00753869	0.0159947
é	0.00272633	0.0328622	0.92406	0.026819	0.00260156	0.010931
n	0.00268852	0.0951899	0.722307	0.0923378	0.0529131	0.0345634
i	0.00188696	0.172128	0.607651	0.176291	0.029237	0.0128073
i	0.00066667	0.136692	0.101204	0.55142	0.138355	0.0716625
b	0.000289264	0.0181708	0.0499657	0.427334	0.409604	0.094637
í	0.000416386	0.00361619	0.011042	0.0510466	0.926738	0.00714067
a	0.00103509	0.00491793	0.0231004	0.0395632	0.737943	0.19344
</S>	0.00014805	0.0029242	0.022841	0.166772	0.21398	0.593335
