 	mange	d'	abord	tu	partiras	ensuite	</S>
b	0.87891	0.0614325	0.0517601	0.00324492	0.00403416	0.000529494	8.92055e-05
á	0.373447	0.0354202	0.223846	0.248682	0.114885	0.00238249	0.00133843
á	0.261649	0.239537	0.323751	0.146766	0.0126221	0.003236	0.0124394
n	0.062382	0.253311	0.594011	0.0485435	0.0148759	0.00142412	0.0254529
d	0.0198243	0.144963	0.511684	0.278877	0.00247693	0.00415325	0.0380215
á	0.0464518	0.163112	0.605021	0.119731	0.00140925	0.0141768	0.0500977
o	0.032703	0.239123	0.27796	0.14361	0.127718	0.0145556	0.16433
d	0.0516256	0.121475	0.0537224	0.0367245	0.630839	0.0925241	0.0130898
z	0.156777	0.324051	0.0837879	0.0250698	0.229175	0.06066	0.120481
á	0.378297	0.352929	0.151098	0.0434854	0.0270527	0.0256292	0.0215095
a	0.0113241	0.139612	0.0453132	0.0867309	0.199802	0.080544	0.436674
b	0.00468941	0.0587956	0.0904839	0.371755	0.35782	0.0599546	0.0565019
a	0.00348312	0.0268927	0.00755577	0.0926923	0.638366	0.102873	0.128137
á	0.00330921	0.0283805	0.0129729	0.214467	0.28235	0.0868325	0.371687
l	0.00444184	0.0255112	0.0733173	0.441818	0.0829007	0.0968276	0.275184
ώ	0.00525262	0.0126756	0.00635618	0.0483651	0.0137162	0.476481	0.437153
ω	0.000696685	0.00594721	0.00239981	0.0126235	0.0157529	0.75232	0.21026
d	0.00483511	0.0105837	0.00266519	0.023186	0.0933696	0.608526	0.256835
z	0.00963405	0.0209783	0.00265994	0.0169682	0.0202145	0.49884	0.430705
w	0.0157858	0.0186913	0.00507915	0.014312	0.00652392	0.841774	0.0978338
á	0.00177826	0.00925407	0.00198097	0.0161341	0.0267779	0.541873	0.402202
ω	0.000492248	0.00659117	0.00150896	0.0484032	0.00739635	0.209439	0.726169
n	0.00546359	0.0240939	0.003311	0.0269763	0.100339	0.414425	0.425392
g	0.00956373	0.0575955	0.00661727	0.0876621	0.0107125	0.375662	0.452187
ω	0.00169583	0.0051565	0.00284891	0.0303724	0.00260764	0.639125	0.318194
n	0.000400148	0.00135765	0.00150862	0.0230174	0.00580879	0.486212	0.481696
g	0.00185873	0.0018235	0.000446566	0.00689679	0.00724402	0.531478	0.450253
ω	0.000909716	0.00665041	0.00223971	0.0850753	0.00429495	0.329259	0.571571
</S>	0.00354529	0.00455182	0.00133397	0.00742955	0.0112678	0.185898	0.785973
